ticker,date,open,high,low,close
AAVE,2020-10-10,51.08,51.08,51.08,51.08
AAVE,2020-10-11,51.08,51.08,51.08,51.08
AAVE,2020-10-12,51.08,52.4,48.34,51.42
AAVE,2020-10-13,51.42,53.04,49.76,51.6
AAVE,2020-10-14,51.6,57.02,51.6,52.59
AAVE,2020-10-15,52.88,53.09,42.82,42.98
AAVE,2020-10-16,42.98,43.84,39.14,39.31
AAVE,2020-10-17,39.31,43.27,38.25,41.41
AAVE,2020-10-18,41.41,41.47,39.47,40.8
AAVE,2020-10-19,40.8,41.04,35.95,36.02
AAVE,2020-10-20,36.02,36.44,32.03,32.21
AAVE,2020-10-21,32.21,37.21,32.06,35.15
AAVE,2020-10-22,35.15,40.4,33.3,37.77
AAVE,2020-10-23,37.77,42.69,37.05,41.6
AAVE,2020-10-24,41.6,42.67,38.55,39.47
AAVE,2020-10-25,39.47,41.04,37.25,37.94
AAVE,2020-10-26,37.94,39.23,34.89,35.97
AAVE,2020-10-27,35.97,39.0,34.37,35.03
AAVE,2020-10-28,35.03,35.67,32.0,32.42
AAVE,2020-10-29,32.42,33.21,28.13,29.24
AAVE,2020-10-30,29.24,32.03,27.76,31.12
AAVE,2020-10-31,31.12,32.93,29.52,29.7
AAVE,2020-11-01,29.7,31.12,28.21,30.76
AAVE,2020-11-02,30.76,34.5,29.2,29.69
AAVE,2020-11-03,29.69,30.1,27.49,28.15
AAVE,2020-11-04,28.15,28.47,26.1,27.72
AAVE,2020-11-05,27.72,32.99,25.94,30.98
AAVE,2020-11-06,30.98,41.0,30.84,38.55
AAVE,2020-11-07,38.55,51.87,38.55,44.62
AAVE,2020-11-08,44.62,54.87,42.68,53.98
AAVE,2020-11-09,53.98,59.0,49.46,54.9
AAVE,2020-11-10,54.9,70.89,52.9,67.06
AAVE,2020-11-11,67.06,69.33,53.35,54.49
AAVE,2020-11-12,54.49,60.0,50.4,51.79
AAVE,2020-11-13,51.79,66.88,51.05,63.46
AAVE,2020-11-14,63.46,68.87,57.79,66.79
AAVE,2020-11-15,66.79,71.48,58.84,64.32
AAVE,2020-11-16,64.32,74.5,60.9,72.97
AAVE,2020-11-17,72.97,80.08,68.59,79.28
AAVE,2020-11-18,79.28,80.0,67.03,75.16
AAVE,2020-11-19,75.16,81.52,70.34,76.37
AAVE,2020-11-20,76.37,82.43,74.4,74.95
AAVE,2020-11-21,74.95,77.01,67.66,70.37
AAVE,2020-11-22,70.37,74.7,62.97,68.72
AAVE,2020-11-23,68.72,73.94,65.6,72.29
AAVE,2020-11-24,72.29,75.34,66.05,66.87
AAVE,2020-11-25,66.87,67.52,59.18,61.69
AAVE,2020-11-26,61.69,65.31,50.19,64.42
AAVE,2020-11-27,64.42,69.11,56.33,60.87
AAVE,2020-11-28,60.87,66.45,58.87,64.01
AAVE,2020-11-29,64.01,69.83,61.88,68.89
AAVE,2020-11-30,68.89,79.88,68.82,76.03
AAVE,2020-12-01,76.03,79.06,69.59,74.4
AAVE,2020-12-02,74.4,90.78,71.74,86.87
AAVE,2020-12-03,86.87,94.81,83.09,91.65
AAVE,2020-12-04,91.7,91.7,79.29,81.04
AAVE,2020-12-05,81.04,92.93,81.04,92.8
AAVE,2020-12-06,92.73,93.01,84.74,87.94
AAVE,2020-12-07,87.94,95.0,86.77,90.79
AAVE,2020-12-08,90.79,91.17,77.89,80.15
AAVE,2020-12-09,80.15,86.13,74.79,82.77
AAVE,2020-12-10,82.77,83.07,75.77,76.43
AAVE,2020-12-11,76.43,79.61,70.65,74.66
AAVE,2020-12-12,74.66,80.34,74.66,77.9
AAVE,2020-12-13,77.9,84.94,76.65,83.9
AAVE,2020-12-14,83.9,91.56,79.64,86.29
AAVE,2020-12-15,86.29,88.98,84.42,87.19
AAVE,2020-12-16,87.19,89.74,80.36,87.51
AAVE,2020-12-17,87.51,89.87,82.94,85.01
AAVE,2020-12-18,85.01,90.51,81.97,90.38
AAVE,2020-12-19,90.38,96.27,88.12,88.95
AAVE,2020-12-20,88.95,89.86,83.87,85.6
AAVE,2020-12-21,85.6,87.72,77.59,80.88
AAVE,2020-12-22,80.88,86.54,75.7,84.31
AAVE,2020-12-23,84.31,84.42,63.5,75.73
AAVE,2020-12-24,75.73,80.49,71.15,80.33
AAVE,2020-12-25,80.33,81.84,75.93,79.77
AAVE,2020-12-26,79.77,79.77,73.73,74.91
AAVE,2020-12-27,74.91,81.81,72.7,76.73
AAVE,2020-12-28,76.73,85.84,75.96,81.77
AAVE,2020-12-29,81.77,82.81,74.92,78.01
AAVE,2020-12-30,78.01,85.9,77.2,81.14
AAVE,2020-12-31,81.14,88.62,78.39,88.35
AAVE,2021-01-01,88.35,90.86,84.93,90.77
AAVE,2021-01-02,90.77,91.88,82.52,85.79
AAVE,2021-01-03,85.79,94.91,81.53,93.59
AAVE,2021-01-04,93.59,115.38,86.27,113.89
AAVE,2021-01-05,113.89,123.55,98.71,119.56
AAVE,2021-01-06,119.56,120.11,108.21,115.06
AAVE,2021-01-07,115.06,128.8,107.89,114.73
AAVE,2021-01-08,114.73,118.77,100.52,110.5
AAVE,2021-01-09,110.5,119.6,106.5,118.13
AAVE,2021-01-10,118.13,135.42,111.57,126.95
AAVE,2021-01-11,126.95,127.4,94.18,114.43
AAVE,2021-01-12,114.43,135.87,109.27,127.53
AAVE,2021-01-13,127.53,147.87,119.88,146.97
AAVE,2021-01-14,146.97,154.7,139.09,147.43
AAVE,2021-01-15,147.43,168.65,139.62,166.6
AAVE,2021-01-16,166.6,203.22,166.36,181.43
AAVE,2021-01-17,181.43,198.83,174.41,186.59
AAVE,2021-01-18,186.59,200.21,180.72,200.17
AAVE,2021-01-19,200.17,209.82,184.8,186.54
AAVE,2021-01-20,186.54,199.39,171.74,197.41
AAVE,2021-01-21,197.41,198.71,155.45,160.36
AAVE,2021-01-22,160.36,199.41,147.64,190.29
AAVE,2021-01-23,190.29,220.18,185.84,213.95
AAVE,2021-01-24,213.53,342.99,212.4,264.24
AAVE,2021-01-25,264.24,283.05,238.13,248.26
AAVE,2021-01-26,248.26,293.95,240.62,277.72
AAVE,2021-01-27,277.74,299.09,255.69,287.5
AAVE,2021-01-28,287.5,309.26,275.63,297.32
AAVE,2021-01-29,297.65,309.85,270.77,288.08
AAVE,2021-01-30,287.69,323.96,282.43,316.55
AAVE,2021-01-31,316.55,319.21,291.04,300.36
AAVE,2021-02-01,300.36,307.51,284.12,295.29
