ticker,date,open,high,low,close
AUDIO,2021-01-08,0.1806,0.192,0.1766,0.1917
AUDIO,2021-01-09,0.1917,0.1951,0.1744,0.1833
AUDIO,2021-01-10,0.1833,0.2095,0.1822,0.1931
AUDIO,2021-01-11,0.1931,0.1954,0.1612,0.1681
AUDIO,2021-01-12,0.1681,0.1812,0.166,0.1694
AUDIO,2021-01-13,0.1694,0.178,0.1626,0.1741
AUDIO,2021-01-14,0.1741,0.1822,0.1684,0.1745
AUDIO,2021-01-15,0.1745,0.1898,0.1668,0.1835
AUDIO,2021-01-16,0.1835,0.2,0.178,0.1879
AUDIO,2021-01-17,0.1879,0.19,0.1683,0.1827
AUDIO,2021-01-18,0.1827,0.2152,0.1806,0.2082
AUDIO,2021-01-19,0.2082,0.2147,0.187,0.1943
AUDIO,2021-01-20,0.1943,0.1956,0.1748,0.1873
AUDIO,2021-01-21,0.1873,0.22,0.1801,0.2073
AUDIO,2021-01-22,0.2073,0.2402,0.2012,0.2152
AUDIO,2021-01-23,0.2152,0.2191,0.1995,0.2048
AUDIO,2021-01-24,0.2048,0.2161,0.1997,0.2067
AUDIO,2021-01-25,0.2067,0.21,0.196,0.1968
AUDIO,2021-01-26,0.1968,0.2563,0.1892,0.2487
AUDIO,2021-01-27,0.2487,0.2864,0.2141,0.217
AUDIO,2021-01-28,0.217,0.244,0.2099,0.2224
AUDIO,2021-01-29,0.2224,0.2239,0.2025,0.209
AUDIO,2021-01-30,0.209,0.2202,0.207,0.2144
AUDIO,2021-01-31,0.2144,0.2292,0.2075,0.2137
AUDIO,2021-02-01,0.2137,0.2173,0.2051,0.2121
AUDIO,2021-02-02,0.2121,0.2204,0.2054,0.2146
AUDIO,2021-02-03,0.2146,0.2352,0.2113,0.2264
AUDIO,2021-02-04,0.2264,0.2572,0.2202,0.2456
AUDIO,2021-02-05,0.2456,0.282,0.2452,0.275
AUDIO,2021-02-06,0.275,0.2773,0.2446,0.2494
AUDIO,2021-02-07,0.2494,0.3331,0.2475,0.2945
AUDIO,2021-02-08,0.2945,0.3556,0.2873,0.2991
AUDIO,2021-02-09,0.2991,0.3408,0.2907,0.3212
AUDIO,2021-02-10,0.3212,0.4004,0.3153,0.3831
AUDIO,2021-02-11,0.3831,0.4033,0.373,0.3903
AUDIO,2021-02-12,0.3903,0.4079,0.3607,0.4
AUDIO,2021-02-13,0.4,0.4257,0.3926,0.4006
AUDIO,2021-02-14,0.4006,0.4036,0.3527,0.3594
AUDIO,2021-02-15,0.3594,0.3647,0.3186,0.3494
AUDIO,2021-02-16,0.3494,0.3568,0.339,0.3464
AUDIO,2021-02-17,0.3464,0.3642,0.3375,0.3582
AUDIO,2021-02-18,0.3582,0.4536,0.34,0.446
AUDIO,2021-02-19,0.446,0.5,0.4262,0.4559
AUDIO,2021-02-20,0.4559,0.4572,0.401,0.4087
AUDIO,2021-02-21,0.4087,0.4453,0.4068,0.4245
AUDIO,2021-02-22,0.4245,0.4493,0.3395,0.413
AUDIO,2021-02-23,0.413,0.4154,0.3607,0.3843
AUDIO,2021-02-24,0.3843,0.4294,0.3765,0.426
AUDIO,2021-02-25,0.426,0.4885,0.4247,0.465
AUDIO,2021-02-26,0.465,0.5399,0.4454,0.4567
AUDIO,2021-02-27,0.4567,0.4724,0.3917,0.406
AUDIO,2021-02-28,0.406,0.4083,0.3477,0.3804
AUDIO,2021-03-01,0.3804,0.42,0.375,0.4027
AUDIO,2021-03-02,0.4027,0.4581,0.4013,0.4571
AUDIO,2021-03-03,0.4571,0.5268,0.4558,0.4983
AUDIO,2021-03-04,0.4983,0.79,0.4568,0.6087
AUDIO,2021-03-05,0.6087,0.7307,0.5477,0.6006
AUDIO,2021-03-06,0.6006,1.259,0.5981,1.026
AUDIO,2021-03-07,1.026,1.029,0.8451,0.879
AUDIO,2021-03-08,0.879,0.963,0.8667,0.9427
AUDIO,2021-03-09,0.9427,1.374,0.9161,1.087
AUDIO,2021-03-10,1.087,1.155,0.9415,1.013
AUDIO,2021-03-11,1.013,1.13,0.9371,1.078
AUDIO,2021-03-12,1.078,1.137,0.9546,1.012
AUDIO,2021-03-13,1.012,1.598,0.9762,1.463
