ticker,date,open,high,low,close
BAT,2017-06-01,0.234,0.2893,0.1303,0.1656
BAT,2017-06-02,0.1711,0.1885,0.1495,0.1555
BAT,2017-06-03,0.1588,0.1858,0.1527,0.1652
BAT,2017-06-04,0.1638,0.367,0.1624,0.2847
BAT,2017-06-05,0.3051,0.3473,0.274,0.2905
BAT,2017-06-06,0.3083,0.3089,0.2443,0.2566
BAT,2017-06-07,0.2406,0.2743,0.2057,0.2395
BAT,2017-06-08,0.2491,0.2653,0.2105,0.216
BAT,2017-06-09,0.217,0.2393,0.212,0.2235
BAT,2017-06-10,0.2305,0.2421,0.1896,0.1939
BAT,2017-06-11,0.1987,0.2215,0.1685,0.1822
BAT,2017-06-12,0.1628,0.1934,0.1533,0.1793
BAT,2017-06-13,0.1831,0.202,0.1717,0.1913
BAT,2017-06-14,0.174,0.177,0.1621,0.166
BAT,2017-06-15,0.1643,0.2189,0.1598,0.2124
BAT,2017-06-16,0.2181,0.2493,0.1938,0.2296
BAT,2017-06-17,0.243,0.243,0.2101,0.2131
BAT,2017-06-18,0.2038,0.21,0.1927,0.1949
BAT,2017-06-19,0.2009,0.2108,0.1829,0.1845
BAT,2017-06-20,0.1942,0.2095,0.191,0.2057
BAT,2017-06-21,0.2,0.2069,0.1871,0.1921
BAT,2017-06-22,0.1953,0.1966,0.1848,0.1885
BAT,2017-06-23,0.1876,0.2041,0.1807,0.2016
BAT,2017-06-24,0.1926,0.1969,0.1813,0.1844
BAT,2017-06-25,0.1809,0.1854,0.1562,0.1681
BAT,2017-06-26,0.1617,0.1675,0.1382,0.1525
BAT,2017-06-27,0.1611,0.1651,0.1293,0.1563
BAT,2017-06-28,0.156,0.1773,0.1463,0.1752
BAT,2017-06-29,0.1739,0.1758,0.151,0.1568
BAT,2017-06-30,0.152,0.1536,0.1338,0.1346
BAT,2017-07-01,0.1316,0.1431,0.1091,0.1283
BAT,2017-07-02,0.1343,0.1404,0.1015,0.1263
BAT,2017-07-03,0.1281,0.1345,0.1247,0.1305
BAT,2017-07-04,0.1328,0.1428,0.1291,0.1309
BAT,2017-07-05,0.1314,0.1369,0.125,0.1309
BAT,2017-07-06,0.1302,0.1332,0.1172,0.1218
BAT,2017-07-07,0.1171,0.1215,0.1018,0.1084
BAT,2017-07-08,0.1106,0.1144,0.09687,0.1058
BAT,2017-07-09,0.1036,0.113,0.09925,0.1076
BAT,2017-07-10,0.1004,0.1073,0.0879,0.08942
BAT,2017-07-11,0.08867,0.09557,0.07996,0.08818
BAT,2017-07-12,0.09117,0.1057,0.08466,0.1031
BAT,2017-07-13,0.1014,0.1025,0.088,0.09199
BAT,2017-07-14,0.087,0.09417,0.08358,0.08749
BAT,2017-07-15,0.07734,0.08003,0.07456,0.07738
BAT,2017-07-16,0.07499,0.07522,0.06904,0.07168
BAT,2017-07-17,0.08364,0.09302,0.08252,0.08916
BAT,2017-07-18,0.09262,0.102,0.08436,0.09701
BAT,2017-07-19,0.09543,0.1002,0.07731,0.08256
BAT,2017-07-20,0.1037,0.1118,0.1001,0.101
BAT,2017-07-21,0.09424,0.107,0.09339,0.1037
