ticker,date,open,high,low,close
BCH,2017-08-01,421.0,488.8,218.39,439.27
BCH,2017-08-02,439.27,974.71,362.02,551.59
BCH,2017-08-03,551.59,635.73,381.08,405.92
BCH,2017-08-04,405.92,414.38,252.57,253.13
BCH,2017-08-05,253.13,294.84,206.64,220.3
BCH,2017-08-06,220.3,241.87,210.13,241.87
BCH,2017-08-07,241.87,411.56,239.47,322.6
BCH,2017-08-08,322.6,388.34,310.51,343.43
BCH,2017-08-09,343.43,349.93,289.74,301.17
BCH,2017-08-10,301.17,312.53,268.44,274.48
BCH,2017-08-11,274.48,352.53,271.46,326.26
BCH,2017-08-12,326.26,344.59,311.04,316.0
BCH,2017-08-13,316.0,317.69,293.93,295.15
BCH,2017-08-14,295.15,329.77,291.25,300.03
BCH,2017-08-15,300.03,307.42,290.02,297.36
BCH,2017-08-16,297.36,309.36,285.48,299.68
BCH,2017-08-17,299.68,449.75,292.4,445.19
BCH,2017-08-18,445.19,777.54,437.81,689.83
BCH,2017-08-19,689.83,965.48,604.03,738.54
BCH,2017-08-20,738.54,849.16,677.96,719.27
BCH,2017-08-21,719.27,749.65,557.92,605.22
BCH,2017-08-22,605.22,734.16,566.86,684.6
BCH,2017-08-23,684.6,710.85,651.32,674.08
BCH,2017-08-24,674.08,701.11,601.6,619.83
BCH,2017-08-25,619.83,664.74,615.09,632.48
BCH,2017-08-26,632.48,638.56,612.25,621.43
BCH,2017-08-27,621.43,651.88,581.68,616.29
BCH,2017-08-28,616.29,626.64,581.81,591.11
BCH,2017-08-29,591.11,596.56,524.32,544.74
BCH,2017-08-30,544.74,613.18,529.64,580.34
BCH,2017-08-31,580.34,609.23,570.5,592.59
BCH,2017-09-01,592.59,653.56,586.63,628.73
BCH,2017-09-02,628.73,645.8,560.98,572.65
BCH,2017-09-03,572.65,622.73,559.22,609.85
BCH,2017-09-04,609.85,611.5,496.84,519.3
BCH,2017-09-05,519.3,560.22,472.51,546.74
BCH,2017-09-06,546.74,657.3,539.13,647.64
BCH,2017-09-07,647.64,718.92,604.32,667.56
BCH,2017-09-08,667.56,698.49,573.09,605.66
BCH,2017-09-09,605.66,610.28,565.57,586.24
BCH,2017-09-10,586.24,586.81,524.98,556.9
BCH,2017-09-11,556.9,590.17,550.1,556.02
BCH,2017-09-12,556.02,577.62,530.07,536.96
BCH,2017-09-13,536.96,538.98,471.08,506.49
BCH,2017-09-14,506.49,515.58,385.45,386.49
BCH,2017-09-15,386.49,454.21,301.55,428.88
BCH,2017-09-16,428.88,470.7,411.53,443.21
BCH,2017-09-17,443.21,450.88,407.81,439.07
BCH,2017-09-18,439.07,492.49,438.38,486.03
BCH,2017-09-19,486.03,548.13,454.77,530.6
BCH,2017-09-20,530.6,530.64,475.32,477.25
BCH,2017-09-21,477.25,484.72,413.8,416.13
BCH,2017-09-22,416.13,434.17,395.09,409.63
BCH,2017-09-23,409.63,436.14,403.33,430.31
BCH,2017-09-24,430.31,434.34,416.62,421.19
BCH,2017-09-25,421.19,458.18,420.14,450.85
BCH,2017-09-26,450.85,463.55,448.95,449.56
BCH,2017-09-27,449.56,468.64,439.9,464.14
BCH,2017-09-28,464.14,481.59,442.15,458.15
BCH,2017-09-29,458.15,459.63,430.44,440.55
BCH,2017-09-30,440.55,454.85,433.77,435.95
BCH,2017-10-01,435.95,440.56,417.1,418.05
BCH,2017-10-02,418.05,432.22,410.32,419.68
BCH,2017-10-03,419.68,420.69,393.03,401.41
BCH,2017-10-04,401.41,403.22,351.3,355.75
BCH,2017-10-05,355.75,368.14,343.72,354.4
BCH,2017-10-06,354.4,374.54,352.91,363.22
BCH,2017-10-07,363.22,368.17,354.21,359.81
BCH,2017-10-08,359.81,363.79,335.7,343.52
BCH,2017-10-09,343.52,343.95,282.18,312.43
BCH,2017-10-10,312.43,350.11,304.52,317.19
BCH,2017-10-11,317.19,320.54,309.23,314.21
BCH,2017-10-12,314.21,331.11,306.25,310.56
BCH,2017-10-13,310.56,324.32,291.98,320.11
BCH,2017-10-14,320.11,327.54,314.65,321.67
BCH,2017-10-15,321.67,323.38,307.61,314.1
BCH,2017-10-16,314.05,317.85,310.07,313.94
BCH,2017-10-17,313.99,399.86,308.23,367.84
BCH,2017-10-18,367.94,374.16,305.96,338.72
BCH,2017-10-19,338.77,339.0,323.81,329.66
BCH,2017-10-20,329.6,333.91,320.67,326.03
BCH,2017-10-21,326.15,329.13,313.13,322.12
BCH,2017-10-22,321.94,358.27,318.36,325.88
BCH,2017-10-23,324.88,329.97,300.26,312.05
BCH,2017-10-24,312.05,337.42,303.73,322.28
BCH,2017-10-25,322.72,331.41,315.28,329.47
BCH,2017-10-26,329.31,350.73,325.66,335.68
BCH,2017-10-27,335.75,373.46,335.63,363.84
BCH,2017-10-28,363.82,420.87,363.13,417.22
