ticker,date,open,high,low,close
BNB,2017-09-08,1.3,1.31,0.8887,1.01
BNB,2017-09-09,1.01,1.04,0.8627,0.9706
BNB,2017-09-10,0.9507,0.9889,0.8747,0.9468
BNB,2017-09-11,0.9406,1.11,0.9149,1.05
BNB,2017-09-12,1.03,1.16,0.9898,1.04
BNB,2017-09-13,0.9664,0.9664,0.8631,0.9374
BNB,2017-09-14,0.7855,0.792,0.6583,0.6882
BNB,2017-09-15,0.7881,0.8467,0.6481,0.8025
BNB,2017-09-16,0.7993,0.9062,0.7509,0.7997
BNB,2017-09-17,0.7977,0.8169,0.7652,0.7914
BNB,2017-09-18,0.8795,0.9431,0.8619,0.9053
BNB,2017-09-19,0.8629,0.8754,0.7816,0.8254
BNB,2017-09-20,0.8199,0.8199,0.7415,0.7764
BNB,2017-09-21,0.7235,0.7314,0.68,0.7018
BNB,2017-09-22,0.6986,0.7166,0.6798,0.7158
BNB,2017-09-23,0.7534,0.7803,0.7493,0.7716
BNB,2017-09-24,0.7471,0.7848,0.7335,0.7848
BNB,2017-09-25,0.8416,0.9344,0.8129,0.9262
BNB,2017-09-26,0.9167,0.9342,0.8568,0.8642
BNB,2017-09-27,0.9351,1.22,0.9267,1.15
BNB,2017-09-28,1.15,1.44,1.14,1.38
BNB,2017-09-29,1.37,1.39,1.16,1.27
BNB,2017-09-30,1.33,1.37,1.25,1.29
BNB,2017-10-01,1.3,1.54,1.28,1.52
BNB,2017-10-02,1.52,1.98,1.51,1.97
BNB,2017-10-03,1.93,1.98,1.68,1.84
BNB,2017-10-04,1.8,1.82,1.52,1.64
BNB,2017-10-05,1.68,1.75,1.46,1.69
BNB,2017-10-06,1.71,1.75,1.53,1.61
BNB,2017-10-07,1.64,1.64,1.52,1.59
BNB,2017-10-08,1.66,1.68,1.16,1.2
BNB,2017-10-09,1.24,1.62,1.23,1.44
BNB,2017-10-10,1.44,1.47,1.32,1.41
BNB,2017-10-11,1.43,1.52,1.38,1.44
BNB,2017-10-12,1.62,1.62,1.29,1.35
BNB,2017-10-13,1.4,1.52,1.15,1.45
BNB,2017-10-14,1.5,1.57,1.46,1.54
BNB,2017-10-15,1.51,1.64,1.37,1.56
BNB,2017-10-16,1.58,1.63,1.4,1.45
BNB,2017-10-17,1.41,1.44,1.35,1.39
BNB,2017-10-18,1.39,1.45,1.3,1.32
BNB,2017-10-19,1.35,1.38,1.25,1.29
BNB,2017-10-20,1.35,1.44,1.21,1.24
BNB,2017-10-21,1.24,1.26,1.16,1.26
BNB,2017-10-22,1.26,1.32,1.2,1.24
BNB,2017-10-23,1.19,1.26,1.12,1.18
BNB,2017-10-24,1.1,1.35,1.08,1.25
BNB,2017-10-25,1.3,1.32,1.23,1.25
BNB,2017-10-26,1.31,1.31,1.12,1.22
BNB,2017-10-27,1.19,1.21,1.08,1.19
BNB,2017-10-28,1.19,1.2,1.13,1.2
BNB,2017-10-29,1.27,1.28,1.18,1.24
BNB,2017-10-30,1.23,1.38,1.2,1.34
