ticker,date,open,high,low,close
BUSD,2019-10-21,1.015,1.023,0.988,1.002
BUSD,2019-10-22,1.002,1.025,0.9982,1.002
BUSD,2019-10-23,1.002,1.058,0.9477,1.002
BUSD,2019-10-24,1.002,1.02,0.9887,1.0
BUSD,2019-10-25,1.0,1.033,0.8853,1.0
BUSD,2019-10-26,1.0,1.103,0.9674,1.001
BUSD,2019-10-27,1.001,1.027,0.9613,1.001
BUSD,2019-10-28,1.001,1.001,0.9945,1.0
BUSD,2019-10-29,1.0,1.017,0.9576,1.007
BUSD,2019-10-30,1.007,1.048,0.9842,1.001
BUSD,2019-10-31,1.001,1.017,0.9767,1.001
BUSD,2019-11-01,1.001,1.011,0.9719,1.003
BUSD,2019-11-02,1.003,1.018,0.9972,1.003
BUSD,2019-11-03,1.003,1.018,0.9863,1.001
BUSD,2019-11-04,1.001,1.019,0.9712,1.002
BUSD,2019-11-05,1.002,1.019,0.9681,1.002
BUSD,2019-11-06,1.002,1.018,0.9843,1.001
BUSD,2019-11-07,1.001,1.031,0.9899,1.001
BUSD,2019-11-08,1.001,1.025,0.9862,1.002
BUSD,2019-11-09,1.002,1.003,0.9882,1.0
BUSD,2019-11-10,1.0,1.015,0.9718,1.001
BUSD,2019-11-11,1.001,1.031,0.9974,1.002
BUSD,2019-11-12,1.002,1.003,0.9768,1.002
BUSD,2019-11-13,1.002,1.01,0.9872,1.002
BUSD,2019-11-14,1.002,1.023,0.9922,1.001
BUSD,2019-11-15,1.001,1.039,0.988,1.002
BUSD,2019-11-16,1.002,1.006,0.9832,1.001
BUSD,2019-11-17,1.001,1.015,0.9825,1.003
BUSD,2019-11-18,1.003,1.036,0.9836,1.002
BUSD,2019-11-19,1.002,1.016,0.9848,1.002
BUSD,2019-11-20,1.002,1.018,0.9959,1.002
BUSD,2019-11-21,1.002,1.094,0.974,1.003
BUSD,2019-11-22,1.003,1.087,0.9239,1.003
BUSD,2019-11-23,1.003,1.019,0.9665,1.004
BUSD,2019-11-24,1.004,1.095,0.9951,1.003
BUSD,2019-11-25,1.003,1.041,0.9082,1.002
BUSD,2019-11-26,1.002,1.016,0.975,1.002
BUSD,2019-11-27,1.002,1.019,0.9242,1.0
BUSD,2019-11-28,1.0,1.027,0.9926,1.003
BUSD,2019-11-29,1.003,1.023,0.977,1.003
BUSD,2019-11-30,1.003,1.028,0.9918,1.005
BUSD,2019-12-01,1.005,1.012,0.9693,1.002
BUSD,2019-12-02,1.002,1.021,0.9906,1.004
BUSD,2019-12-03,1.004,1.02,0.9928,1.002
BUSD,2019-12-04,1.002,1.052,0.9895,1.004
BUSD,2019-12-05,1.004,1.011,0.9767,1.005
BUSD,2019-12-06,1.005,1.009,0.9853,1.003
BUSD,2019-12-07,1.003,1.015,0.9989,1.0
BUSD,2019-12-08,1.0,1.01,0.9745,1.002
BUSD,2019-12-09,1.002,1.028,0.9972,1.002
BUSD,2019-12-10,1.002,1.019,0.9904,1.002
BUSD,2019-12-11,1.002,1.026,0.9975,1.005
BUSD,2019-12-12,1.005,1.01,0.9649,1.003
BUSD,2019-12-13,1.003,1.007,0.9921,1.004
BUSD,2019-12-14,1.004,1.025,0.9986,1.003
BUSD,2019-12-15,1.003,1.013,0.9864,1.003
BUSD,2019-12-16,1.003,1.079,0.9805,1.001
BUSD,2019-12-17,1.001,1.091,0.9853,1.003
BUSD,2019-12-18,1.003,1.013,0.8766,1.0
BUSD,2019-12-19,1.0,1.045,0.9809,0.9988
BUSD,2019-12-20,0.9988,1.011,0.9832,1.004
BUSD,2019-12-21,1.004,1.014,1.0,1.005
BUSD,2019-12-22,1.005,1.009,0.9637,1.003
BUSD,2019-12-23,1.003,1.057,0.9876,1.001
BUSD,2019-12-24,1.001,1.015,0.994,1.002
BUSD,2019-12-25,1.002,1.027,0.9915,1.003
BUSD,2019-12-26,1.003,1.054,0.9918,1.002
BUSD,2019-12-27,1.002,1.005,0.9695,1.001
BUSD,2019-12-28,1.001,1.017,0.9883,1.004
BUSD,2019-12-29,1.004,1.028,0.9511,1.002
BUSD,2019-12-30,1.002,1.038,0.993,1.002
BUSD,2019-12-31,1.002,1.037,0.9944,1.001
BUSD,2020-01-01,1.001,1.02,0.9859,1.002
BUSD,2020-01-02,1.002,1.029,0.9964,1.002
BUSD,2020-01-03,1.002,1.009,0.9421,1.004
BUSD,2020-01-04,1.004,1.013,0.99,1.001
BUSD,2020-01-05,1.001,1.026,0.9948,1.003
BUSD,2020-01-06,1.003,1.003,0.938,1.002
BUSD,2020-01-07,1.002,1.016,0.9728,1.002
BUSD,2020-01-08,1.002,1.053,0.9764,1.001
BUSD,2020-01-09,1.001,1.026,0.9822,1.0
BUSD,2020-01-10,1.0,1.003,0.9361,1.001
BUSD,2020-01-11,1.001,1.039,0.998,1.002
BUSD,2020-01-12,1.002,1.006,0.9733,1.005
BUSD,2020-01-13,1.005,1.024,0.9905,1.0
BUSD,2020-01-14,1.0,1.026,0.8654,0.999
BUSD,2020-01-15,0.999,1.032,0.9579,1.0
BUSD,2020-01-16,1.0,1.02,0.9675,1.001
BUSD,2020-01-17,1.001,1.023,0.9523,0.9965
BUSD,2020-01-18,0.9965,1.03,0.9491,1.0
BUSD,2020-01-19,1.0,1.067,0.9702,1.002
BUSD,2020-01-20,1.002,1.016,0.9673,1.001
BUSD,2020-01-21,1.001,1.003,0.9735,0.9999
BUSD,2020-01-22,0.9999,1.02,0.9887,1.001
BUSD,2020-01-23,1.001,1.032,0.9767,0.9995
BUSD,2020-01-24,0.9995,1.013,0.9578,1.002
BUSD,2020-01-25,1.002,1.016,0.9845,1.001
BUSD,2020-01-26,1.001,1.002,0.9515,1.001
BUSD,2020-01-27,1.001,1.012,0.9733,1.001
BUSD,2020-01-28,1.001,1.004,0.9675,1.002
BUSD,2020-01-29,1.002,1.03,1.0,1.002
BUSD,2020-01-30,1.002,1.013,0.9259,1.001
BUSD,2020-01-31,1.001,1.032,0.9747,1.0
BUSD,2020-02-01,1.0,1.003,0.9765,1.001
BUSD,2020-02-02,1.001,1.028,0.9531,1.001
BUSD,2020-02-03,1.001,1.03,0.9853,1.002
BUSD,2020-02-04,1.002,1.016,0.98,1.0
BUSD,2020-02-05,1.0,1.019,0.922,1.0
BUSD,2020-02-06,1.0,1.016,0.9444,1.0
BUSD,2020-02-07,1.0,1.006,0.9552,1.001
BUSD,2020-02-08,1.001,1.02,0.9556,0.9995
BUSD,2020-02-09,0.9995,1.008,0.9749,0.9992
BUSD,2020-02-10,0.9992,1.029,0.9721,1.001
BUSD,2020-02-11,1.001,1.008,0.9176,1.001
BUSD,2020-02-12,1.001,1.034,0.8931,0.9999
BUSD,2020-02-13,0.9999,1.034,0.954,1.001
BUSD,2020-02-14,1.001,1.005,0.9104,1.0
BUSD,2020-02-15,1.0,1.09,0.991,1.001
BUSD,2020-02-16,1.001,1.056,0.9161,1.001
BUSD,2020-02-17,1.001,1.004,0.9072,1.001
BUSD,2020-02-18,1.001,1.011,0.9165,0.9993
BUSD,2020-02-19,0.9993,1.11,0.9823,1.001
BUSD,2020-02-20,1.001,1.025,0.9544,1.0
BUSD,2020-02-21,1.0,1.012,0.9585,1.001
BUSD,2020-02-22,1.001,1.018,0.9785,1.0
BUSD,2020-02-23,1.0,1.004,0.9514,1.002
BUSD,2020-02-24,1.002,1.048,0.9676,1.001
BUSD,2020-02-25,1.001,1.08,0.9934,1.001
BUSD,2020-02-26,1.001,1.119,0.9662,1.001
BUSD,2020-02-27,1.001,1.047,0.9234,0.9999
BUSD,2020-02-28,0.9999,1.033,0.942,1.002
BUSD,2020-02-29,1.002,1.073,1.0,1.001
BUSD,2020-03-01,1.001,1.049,0.978,1.003
BUSD,2020-03-02,1.003,1.012,0.9318,1.0
BUSD,2020-03-03,1.0,1.042,0.9852,1.001
