ticker,date,open,high,low,close
CRO,2019-03-16,0.09904,0.1045,0.07869,0.08415
CRO,2019-03-17,0.08415,0.08487,0.06438,0.06661
CRO,2019-03-18,0.06661,0.08621,0.06552,0.06967
CRO,2019-03-19,0.06967,0.07631,0.06522,0.07059
CRO,2019-03-20,0.07058,0.08409,0.06697,0.07252
CRO,2019-03-21,0.07249,0.0729,0.06138,0.06763
CRO,2019-03-22,0.06763,0.0693,0.06266,0.06703
CRO,2019-03-23,0.06702,0.07508,0.06572,0.06684
CRO,2019-03-24,0.06683,0.06891,0.06395,0.0651
CRO,2019-03-25,0.0651,0.0655,0.05223,0.05402
CRO,2019-03-26,0.05402,0.05441,0.04924,0.04932
CRO,2019-03-27,0.04932,0.0583,0.04923,0.05347
CRO,2019-03-28,0.05346,0.05492,0.04884,0.05078
CRO,2019-03-29,0.05079,0.05733,0.04534,0.04632
CRO,2019-03-30,0.04632,0.0477,0.04509,0.04718
CRO,2019-03-31,0.04717,0.04743,0.04281,0.04454
CRO,2019-04-01,0.04454,0.04782,0.04297,0.04513
CRO,2019-04-02,0.04512,0.05482,0.04399,0.05083
CRO,2019-04-03,0.05082,0.05378,0.04535,0.04994
CRO,2019-04-04,0.04996,0.051,0.04141,0.04554
CRO,2019-04-05,0.04553,0.05728,0.04442,0.04884
CRO,2019-04-06,0.04884,0.05469,0.04536,0.04637
CRO,2019-04-07,0.04636,0.05436,0.04631,0.05387
CRO,2019-04-08,0.05387,0.05825,0.05116,0.05702
CRO,2019-04-09,0.05703,0.06087,0.05302,0.06064
CRO,2019-04-10,0.06064,0.07037,0.0538,0.07004
CRO,2019-04-11,0.07003,0.09248,0.06601,0.07609
CRO,2019-04-12,0.0761,0.1064,0.07403,0.07711
CRO,2019-04-13,0.07711,0.08779,0.06852,0.083
CRO,2019-04-14,0.08303,0.08684,0.07816,0.08622
CRO,2019-04-15,0.08624,0.08743,0.07442,0.07605
CRO,2019-04-16,0.07605,0.09166,0.07444,0.08462
CRO,2019-04-17,0.0846,0.0872,0.0801,0.08495
CRO,2019-04-18,0.08495,0.08776,0.08316,0.08552
CRO,2019-04-19,0.08552,0.08617,0.0813,0.08304
CRO,2019-04-20,0.08305,0.09262,0.08242,0.08582
CRO,2019-04-21,0.08586,0.09207,0.08104,0.08331
CRO,2019-04-22,0.08331,0.08466,0.07677,0.07997
CRO,2019-04-23,0.07995,0.08237,0.07616,0.07916
