ticker,date,open,high,low,close
DAO,2022-05-13,1.95448,1.95467,1.95428,1.95428
DAO,2022-05-14,1.91614,2.08401,1.90317,2.03072
DAO,2022-05-15,2.02816,2.03288,1.9836,2.01201
DAO,2022-05-16,2.0114,2.02539,1.90042,1.94752
DAO,2022-05-17,1.94808,1.96384,1.83461,1.83579
DAO,2022-05-18,1.83779,1.85877,1.62089,1.62389
DAO,2022-05-19,1.62389,1.64951,1.49351,1.64851
DAO,2022-05-20,1.64638,1.67798,1.55042,1.6778
DAO,2022-05-21,1.67337,1.82793,1.61381,1.78558
DAO,2022-05-22,1.78689,1.86211,1.74119,1.85223
DAO,2022-05-23,1.85832,1.88771,1.8186,1.84263
DAO,2022-05-24,1.84609,1.84647,1.71905,1.80017
DAO,2022-05-25,1.79436,1.89019,1.79349,1.86055
DAO,2022-05-26,1.86181,1.93376,1.71046,1.80175
DAO,2022-05-27,1.79979,1.84853,1.73586,1.83845
DAO,2022-05-28,1.83078,1.86846,1.77965,1.82018
DAO,2022-05-29,1.82136,1.88598,1.7901,1.84664
DAO,2022-05-30,1.84885,2.24046,1.84885,2.10194
DAO,2022-05-31,2.10351,2.23003,2.04374,2.10119
DAO,2022-06-01,2.09821,2.14034,1.9839,1.99205
DAO,2022-06-02,1.98711,2.03,1.94862,2.02647
DAO,2022-06-03,2.02684,2.0326,1.95924,1.979
DAO,2022-06-04,1.97924,1.99493,1.96267,1.96601
DAO,2022-06-05,1.96375,2.0027,1.95188,1.98442
DAO,2022-06-06,1.99346,2.0111,1.94487,1.98929
DAO,2022-06-07,2.00165,2.01024,1.90089,1.99149
DAO,2022-06-08,1.98444,2.00261,1.94934,1.97372
DAO,2022-06-09,1.97344,7.9944,1.92592,1.98783
DAO,2022-06-10,1.98845,1.98845,1.84818,1.88149
DAO,2022-06-11,1.88473,1.88481,1.7977,1.79869
DAO,2022-06-12,1.79797,1.80708,1.69803,1.73597
DAO,2022-06-13,1.7334,1.73343,1.47486,1.55783
DAO,2022-06-14,1.55782,1.61203,1.44383,1.51418
DAO,2022-06-15,1.51417,1.57817,1.29468,1.43784
DAO,2022-06-16,1.44797,1.47338,1.37335,1.39405
DAO,2022-06-17,1.37911,1.40868,1.35382,1.37535
DAO,2022-06-18,1.37336,1.37837,1.24087,1.24297
DAO,2022-06-19,1.24298,1.35637,1.21605,1.3354
DAO,2022-06-20,1.32218,1.33461,1.28348,1.30236
DAO,2022-06-21,1.30319,1.38699,1.30117,1.34315
DAO,2022-06-22,1.34185,1.34521,1.25444,1.25923
DAO,2022-06-23,1.25774,1.32268,1.25762,1.30769
DAO,2022-06-24,1.30969,1.38681,1.26486,1.29897
DAO,2022-06-25,1.2987,1.34611,1.2967,1.33007
DAO,2022-06-26,1.33004,1.38506,1.32908,1.34718
DAO,2022-06-27,1.35118,1.36522,1.3139,1.33981
DAO,2022-06-28,1.3387,1.37657,1.27766,1.29646
DAO,2022-06-29,1.29459,1.29836,1.26223,1.28544
DAO,2022-06-30,1.28544,1.29245,1.22317,1.23751
DAO,2022-07-01,1.23751,1.27434,1.21729,1.25062
DAO,2022-07-02,1.25762,1.33939,1.21454,1.29045
DAO,2022-07-03,1.29045,1.29045,1.20056,1.23739
DAO,2022-07-04,1.23739,1.26491,1.20555,1.22553
DAO,2022-07-05,1.22253,1.27959,1.20955,1.25762
DAO,2022-07-06,1.25762,1.29058,1.21866,1.28858
