ticker,date,open,high,low,close
DOT,2020-08-21,2.913,3.011,2.82,2.957
DOT,2020-08-22,2.957,4.49,2.957,4.49
DOT,2020-08-23,4.49,4.511,3.717,3.981
DOT,2020-08-24,3.981,4.78,3.806,4.574
DOT,2020-08-25,4.574,5.758,4.485,5.559
DOT,2020-08-26,5.559,6.581,5.108,6.089
DOT,2020-08-27,6.089,6.809,5.249,5.658
DOT,2020-08-28,5.658,6.352,5.502,6.183
DOT,2020-08-29,6.183,6.563,6.021,6.146
DOT,2020-08-30,6.146,6.227,5.721,5.897
DOT,2020-08-31,5.897,6.464,5.765,6.28
DOT,2020-09-01,6.28,6.849,6.141,6.25
DOT,2020-09-02,6.25,6.445,5.65,6.145
DOT,2020-09-03,6.145,6.329,5.643,5.721
DOT,2020-09-04,5.721,5.991,4.553,5.114
DOT,2020-09-05,5.114,5.317,3.596,4.152
DOT,2020-09-06,4.152,4.914,3.741,4.787
DOT,2020-09-07,4.787,4.838,4.015,4.598
DOT,2020-09-08,4.598,4.628,4.115,4.272
DOT,2020-09-09,4.272,4.785,4.142,4.699
DOT,2020-09-10,4.699,4.883,4.423,4.571
DOT,2020-09-11,4.571,4.727,4.319,4.641
DOT,2020-09-12,4.641,5.281,4.496,5.128
DOT,2020-09-13,5.128,5.459,4.776,5.318
DOT,2020-09-14,5.318,5.565,5.098,5.358
DOT,2020-09-15,5.358,5.443,5.046,5.057
DOT,2020-09-16,5.057,5.276,4.97,5.07
DOT,2020-09-17,5.07,5.407,5.04,5.321
DOT,2020-09-18,5.321,5.422,5.07,5.227
DOT,2020-09-19,5.227,5.242,4.778,4.894
DOT,2020-09-20,4.894,4.956,4.426,4.645
DOT,2020-09-21,4.645,4.688,3.927,4.069
DOT,2020-09-22,4.069,4.204,3.904,4.16
DOT,2020-09-23,4.16,4.309,3.939,4.01
DOT,2020-09-24,4.01,4.454,3.966,4.374
DOT,2020-09-25,4.374,4.517,4.233,4.401
DOT,2020-09-26,4.401,4.477,4.23,4.322
DOT,2020-09-27,4.322,4.36,4.124,4.282
DOT,2020-09-28,4.282,4.569,4.227,4.412
DOT,2020-09-29,4.412,4.59,4.342,4.484
DOT,2020-09-30,4.484,4.486,4.222,4.322
DOT,2020-10-01,4.322,4.549,4.23,4.325
DOT,2020-10-02,4.325,4.346,3.897,4.12
DOT,2020-10-03,4.12,4.122,4.024,4.047
DOT,2020-10-04,4.047,4.172,3.998,4.155
DOT,2020-10-05,4.155,4.221,4.092,4.152
