ticker,date,open,high,low,close
ENS,2022-05-14,10.4822,10.8704,8.49298,9.36687
ENS,2022-05-15,9.3469,9.9081,8.89753,9.87714
ENS,2022-05-16,9.87714,10.776,8.81852,10.756
ENS,2022-05-17,10.726,12.5449,10.2966,12.5337
ENS,2022-05-18,12.5137,12.9045,10.7549,10.8159
ENS,2022-05-19,10.8448,12.4688,10.0669,12.1978
ENS,2022-05-20,12.199,13.6749,11.8258,12.4138
ENS,2022-05-21,12.4351,13.6436,12.3452,12.5836
ENS,2022-05-22,12.5824,13.063,12.0343,12.3651
ENS,2022-05-23,12.3751,14.0559,12.1167,13.0343
ENS,2022-05-24,13.0031,13.1242,11.3963,12.2041
ENS,2022-05-25,12.2241,13.0656,11.9069,12.5062
ENS,2022-05-26,12.515,12.736,10.008,10.7692
ENS,2022-05-27,10.7692,10.8691,9.50953,9.84015
ENS,2022-05-28,9.79882,10.3389,9.51904,10.1849
ENS,2022-05-29,10.1684,10.3735,9.75433,10.086
ENS,2022-05-30,10.1127,12.8448,10.0102,12.6362
ENS,2022-05-31,12.6659,13.3643,11.3775,11.9201
ENS,2022-06-01,11.8945,12.2273,10.4121,10.5904
ENS,2022-06-02,10.5915,11.2758,10.3531,11.1468
ENS,2022-06-03,11.1535,11.4458,10.4612,10.9262
ENS,2022-06-04,10.9249,11.1559,10.4485,10.9153
ENS,2022-06-05,10.9103,11.3167,10.6874,11.153
ENS,2022-06-06,11.1525,12.9295,10.9851,11.9898
ENS,2022-06-07,11.9798,12.43,11.0212,12.3499
ENS,2022-06-08,12.3501,12.5326,11.3317,11.6624
ENS,2022-06-09,11.6724,12.0796,11.2811,11.5803
ENS,2022-06-10,11.5602,11.8402,10.3779,10.6365
ENS,2022-06-11,10.6465,10.788,9.08872,9.52922
ENS,2022-06-12,9.53911,9.82662,8.2883,8.95427
ENS,2022-06-13,8.94628,8.94628,7.38949,7.97897
ENS,2022-06-14,7.98896,8.58701,7.36923,7.78065
ENS,2022-06-15,7.78065,9.17805,7.44657,9.08635
ENS,2022-06-16,9.09713,9.24574,7.91419,8.27849
ENS,2022-06-17,8.05978,8.47495,7.88011,8.2411
ENS,2022-06-18,8.24,8.44596,7.46573,8.39638
ENS,2022-06-19,8.37641,9.08908,8.04799,8.87933
ENS,2022-06-20,8.85847,9.30272,8.42903,8.83049
ENS,2022-06-21,8.77326,9.74592,8.72789,9.22484
ENS,2022-06-22,9.20986,9.45753,8.60123,8.76902
ENS,2022-06-23,8.76473,9.1945,8.44615,9.07322
ENS,2022-06-24,9.07262,10.3298,9.07262,10.1192
ENS,2022-06-25,10.1141,10.3321,9.33356,9.89307
ENS,2022-06-26,9.88308,10.263,9.40435,9.68409
ENS,2022-06-27,9.69399,9.78523,9.1241,9.31569
ENS,2022-06-28,9.3184,9.63692,8.93159,9.04406
ENS,2022-06-29,9.03848,9.03978,8.61671,8.84447
ENS,2022-06-30,8.84527,8.89741,8.01115,8.18407
ENS,2022-07-01,8.19316,8.85455,8.1555,8.46
ENS,2022-07-05,9.27735,9.72209,9.01877,9.42328
ENS,2022-07-06,9.42722,10.3445,9.06052,10.189
ENS,2022-07-07,10.1894,10.6475,10.0335,10.3619
ENS,2022-07-08,10.368,10.6206,9.85848,10.1183
ENS,2022-07-09,10.1146,10.3285,9.9982,10.0596
ENS,2022-07-10,10.0596,10.1076,9.28939,9.44053
ENS,2022-07-11,9.43643,9.43643,8.61994,8.71515
ENS,2022-07-12,8.714,8.714,8.30695,8.45713
ENS,2022-07-13,8.4502,8.81847,8.11736,8.64704
ENS,2022-07-14,8.6543,9.328,8.44574,9.07465
ENS,2022-07-15,9.07745,9.43574,9.05266,9.26189
ENS,2022-07-16,9.26382,9.87314,9.02939,9.6778
ENS,2022-07-17,9.68146,9.85415,9.29119,9.46964
ENS,2022-07-18,9.49103,11.7537,9.31604,10.9748
ENS,2022-07-19,10.9767,11.4856,10.5093,11.2518
ENS,2022-07-20,11.22,11.8833,10.569,11.5506
ENS,2022-07-21,11.5232,13.5226,11.0379,13.2533
ENS,2022-07-22,13.2633,13.4511,12.0323,12.1027
ENS,2022-07-23,12.12,12.8799,11.9014,12.5941
ENS,2022-07-24,12.5946,13.5748,12.4719,12.9897
ENS,2022-07-25,12.9964,13.4155,12.2559,12.8057
ENS,2022-07-26,12.8061,12.8801,11.4744,12.1171
ENS,2022-07-27,12.1126,15.6764,12.1069,15.3625
ENS,2022-07-28,15.3574,16.5,14.1533,15.5435
ENS,2022-07-29,15.5463,15.9727,14.3353,14.9779
ENS,2022-07-30,14.9487,15.9798,14.4719,14.5852
ENS,2022-07-31,14.5869,15.3279,14.3828,14.8326
ENS,2022-08-01,14.8338,15.2337,13.6836,13.9861
ENS,2022-08-02,13.9889,15.2894,13.2622,15.0736
ENS,2022-08-03,15.0775,16.7617,14.4395,16.0931
ENS,2022-08-04,16.1009,17.3236,15.4222,15.6658
ENS,2022-08-05,15.6731,17.8353,15.5315,17.0465
ENS,2022-08-06,17.0429,18.1908,16.8423,17.1014
ENS,2022-08-07,17.0901,17.2233,16.4726,17.1103
ENS,2022-08-08,17.107,17.4514,16.4664,16.6186
ENS,2022-08-09,16.5926,16.7808,15.3237,15.8911
ENS,2022-08-10,15.8952,16.8368,14.8539,15.947
ENS,2022-08-11,15.9514,16.8153,15.8065,15.925
ENS,2022-08-12,15.9242,16.0142,15.2724,15.6421
