ticker,date,open,high,low,close
EOS,2017-06-29,0.85,0.9845,0.6,0.85
EOS,2017-06-30,0.85,1.91,0.65,0.912
EOS,2017-07-01,0.912,1.35,0.8,1.05
EOS,2017-07-02,1.05,3.88,1.05,3.0
EOS,2017-07-03,3.0,6.9,2.5,4.2
EOS,2017-07-04,4.2,4.45,2.56,3.24
EOS,2017-07-05,3.24,3.35,2.61,2.86
EOS,2017-07-06,2.86,3.55,2.83,3.23
EOS,2017-07-07,3.23,3.33,2.62,2.65
EOS,2017-07-08,2.65,2.76,2.05,2.37
EOS,2017-07-09,2.37,2.51,2.07,2.22
EOS,2017-07-10,2.22,2.25,1.44,1.7
EOS,2017-07-11,1.7,1.84,1.4,1.53
EOS,2017-07-12,1.53,2.07,1.41,1.96
EOS,2017-07-13,1.96,2.02,1.58,1.71
EOS,2017-07-14,1.71,1.71,1.46,1.51
EOS,2017-07-15,1.51,1.52,1.28,1.29
EOS,2017-07-16,1.29,1.37,1.12,1.22
EOS,2017-07-17,1.22,1.59,1.2,1.51
EOS,2017-07-18,1.51,1.78,1.44,1.67
EOS,2017-07-19,1.67,1.8,1.39,1.45
EOS,2017-07-20,1.45,1.79,1.41,1.71
EOS,2017-07-21,1.71,1.98,1.68,1.79
EOS,2017-07-22,1.79,2.08,1.77,2.03
EOS,2017-07-23,2.03,2.18,1.8,1.91
EOS,2017-07-24,1.91,1.99,1.81,1.9
EOS,2017-07-25,1.9,1.91,1.53,1.67
EOS,2017-07-26,1.67,1.74,1.49,1.66
EOS,2017-07-27,1.66,1.94,1.64,1.91
EOS,2017-07-28,1.91,1.98,1.77,1.8
EOS,2017-07-29,1.8,1.87,1.6,1.81
EOS,2017-07-30,1.81,1.89,1.69,1.79
EOS,2017-07-31,1.79,1.81,1.64,1.72
EOS,2017-08-01,1.72,1.83,1.68,1.77
EOS,2017-08-02,1.77,1.93,1.69,1.76
EOS,2017-08-03,1.76,1.81,1.69,1.78
EOS,2017-08-04,1.78,1.85,1.7,1.78
EOS,2017-08-05,1.78,1.96,1.72,1.86
EOS,2017-08-06,1.86,1.88,1.75,1.76
EOS,2017-08-07,1.76,1.87,1.7,1.83
EOS,2017-08-08,1.83,1.98,1.79,1.86
EOS,2017-08-09,1.86,1.98,1.78,1.82
EOS,2017-08-10,1.82,1.91,1.79,1.84
EOS,2017-08-11,1.84,1.87,1.7,1.76
EOS,2017-08-12,1.76,1.83,1.6,1.65
EOS,2017-08-13,1.65,1.69,1.51,1.59
EOS,2017-08-14,1.59,1.69,1.51,1.61
EOS,2017-08-15,1.61,1.72,1.57,1.62
EOS,2017-08-16,1.62,1.64,1.55,1.59
EOS,2017-08-17,1.59,1.61,1.49,1.52
EOS,2017-08-18,1.52,1.53,1.35,1.4
EOS,2017-08-19,1.4,1.44,1.29,1.39
EOS,2017-08-20,1.39,1.42,1.33,1.36
EOS,2017-08-21,1.36,1.39,1.31,1.33
EOS,2017-08-22,1.33,1.33,1.24,1.27
EOS,2017-08-23,1.27,1.54,1.26,1.42
EOS,2017-08-24,1.42,1.42,1.33,1.37
EOS,2017-08-25,1.37,1.44,1.33,1.37
EOS,2017-08-26,1.37,1.39,1.33,1.36
EOS,2017-08-27,1.36,1.38,1.32,1.34
EOS,2017-08-28,1.34,1.36,1.29,1.33
EOS,2017-08-29,1.33,1.38,1.31,1.32
EOS,2017-08-30,1.32,1.35,1.22,1.25
EOS,2017-08-31,1.25,1.35,1.25,1.34
EOS,2017-09-01,1.34,1.35,1.28,1.32
EOS,2017-09-02,1.32,1.44,1.19,1.24
EOS,2017-09-03,1.24,1.33,1.21,1.3
EOS,2017-09-04,1.3,1.3,0.8219,0.9142
EOS,2017-09-05,0.9142,0.9777,0.7502,0.923
EOS,2017-09-06,0.923,1.16,0.856,0.9106
EOS,2017-09-07,0.9106,1.02,0.852,0.9828
EOS,2017-09-08,0.9828,0.9912,0.7804,0.8421
EOS,2017-09-09,0.8421,0.8487,0.7577,0.8174
EOS,2017-09-10,0.8174,0.8193,0.6992,0.745
EOS,2017-09-11,0.745,0.764,0.7101,0.735
EOS,2017-09-12,0.735,0.8944,0.729,0.859
EOS,2017-09-13,0.859,0.8595,0.6603,0.7272
EOS,2017-09-14,0.7272,0.7642,0.5207,0.5806
EOS,2017-09-15,0.5806,0.6782,0.5149,0.6511
EOS,2017-09-16,0.6511,0.6798,0.5781,0.624
EOS,2017-09-17,0.624,0.649,0.5678,0.6233
EOS,2017-09-18,0.6233,0.7075,0.6229,0.7049
EOS,2017-09-19,0.7049,0.7128,0.6465,0.6493
EOS,2017-09-20,0.6493,0.6673,0.6152,0.6166
EOS,2017-09-21,0.6166,0.6293,0.5434,0.5671
EOS,2017-09-22,0.5671,0.5793,0.5312,0.5659
EOS,2017-09-23,0.5659,0.6048,0.5579,0.578
EOS,2017-09-24,0.578,0.5861,0.5415,0.5454
EOS,2017-09-25,0.5454,0.5779,0.5245,0.5688
EOS,2017-09-26,0.5688,0.5854,0.5511,0.5614
EOS,2017-09-27,0.5614,0.6438,0.5569,0.6314
EOS,2017-09-28,0.6314,0.8237,0.6292,0.8085
EOS,2017-09-29,0.8085,0.8435,0.6979,0.7146
EOS,2017-09-30,0.7146,0.7585,0.7061,0.7274
EOS,2017-10-01,0.7274,0.7285,0.6631,0.7085
EOS,2017-10-02,0.7085,0.719,0.6331,0.6549
EOS,2017-10-03,0.6549,0.669,0.6057,0.6308
EOS,2017-10-04,0.6308,0.6347,0.5829,0.6008
EOS,2017-10-05,0.6008,0.6214,0.5752,0.6054
EOS,2017-10-06,0.6054,0.61,0.5862,0.6005
EOS,2017-10-07,0.6005,0.6075,0.5712,0.5895
EOS,2017-10-08,0.5895,0.6174,0.5754,0.606
EOS,2017-10-09,0.606,0.6061,0.5248,0.558
EOS,2017-10-10,0.558,0.5892,0.5474,0.552
EOS,2017-10-11,0.552,0.6278,0.5468,0.6076
EOS,2017-10-12,0.6076,0.642,0.5814,0.5947
EOS,2017-10-13,0.5947,0.6169,0.5483,0.5872
EOS,2017-10-14,0.5872,0.6185,0.5768,0.5836
EOS,2017-10-15,0.5836,0.5918,0.5629,0.5738
EOS,2017-10-16,0.574,0.5853,0.5593,0.5608
EOS,2017-10-17,0.5612,0.5675,0.5374,0.5501
EOS,2017-10-18,0.5519,0.5679,0.511,0.5432
EOS,2017-10-19,0.5434,0.5946,0.5424,0.5663
EOS,2017-10-20,0.5665,0.5888,0.5395,0.5395
EOS,2017-10-21,0.5396,0.541,0.5122,0.5284
EOS,2017-10-22,0.5282,0.5415,0.4979,0.5192
EOS,2017-10-23,0.5189,0.5239,0.4793,0.4924
EOS,2017-10-24,0.4925,0.5512,0.4776,0.5176
EOS,2017-10-25,0.5173,0.5278,0.4856,0.5041
EOS,2017-10-26,0.5038,0.5284,0.5023,0.5189
EOS,2017-10-27,0.5189,0.5237,0.5011,0.5213
EOS,2017-10-28,0.5218,0.5409,0.5165,0.5339
EOS,2017-10-29,0.5336,0.6793,0.5327,0.6668
EOS,2017-10-30,0.6671,0.747,0.6409,0.7125
EOS,2017-10-31,0.7125,0.7826,0.6676,0.7826
EOS,2017-11-01,0.7822,1.33,0.7522,1.05
EOS,2017-11-02,1.05,1.3,0.916,1.11
EOS,2017-11-03,1.11,1.42,1.06,1.2
EOS,2017-11-04,1.2,1.3,1.04,1.11
EOS,2017-11-05,1.11,1.18,0.973,1.09
EOS,2017-11-06,1.09,1.09,0.9015,0.9124
EOS,2017-11-07,0.9123,0.9937,0.9107,0.9518
EOS,2017-11-08,0.9517,1.19,0.9434,1.12
EOS,2017-11-09,1.12,1.21,1.12,1.18
EOS,2017-11-10,1.18,1.19,0.9844,1.03
EOS,2017-11-11,1.03,1.19,1.0,1.16
EOS,2017-11-12,1.16,1.19,1.02,1.09
EOS,2017-11-13,1.09,1.19,1.08,1.18
EOS,2017-11-14,1.18,1.69,1.18,1.68
EOS,2017-11-15,1.68,1.73,1.51,1.67
EOS,2017-11-16,1.67,1.87,1.56,1.67
EOS,2017-11-17,1.67,1.82,1.58,1.74
EOS,2017-11-18,1.74,1.99,1.65,1.92
EOS,2017-11-19,1.91,2.06,1.75,1.88
EOS,2017-11-20,1.88,2.05,1.83,1.99
EOS,2017-11-21,1.99,2.12,1.84,1.91
EOS,2017-11-22,1.91,1.99,1.76,1.89
EOS,2017-11-23,1.89,1.98,1.85,1.88
EOS,2017-11-24,1.88,1.91,1.71,1.88
EOS,2017-11-25,1.88,2.07,1.78,2.05
EOS,2017-11-26,2.05,2.71,1.93,2.46
EOS,2017-11-27,2.46,2.96,2.35,2.86
EOS,2017-11-28,2.86,3.06,2.71,2.76
EOS,2017-11-29,2.76,3.36,2.48,2.71
EOS,2017-11-30,2.71,2.98,2.44,2.84
EOS,2017-12-01,2.84,3.25,2.69,3.22
EOS,2017-12-02,3.22,3.98,3.16,3.91
EOS,2017-12-03,3.91,4.12,3.4,3.58
EOS,2017-12-04,3.58,4.2,3.41,4.04
EOS,2017-12-05,4.04,4.57,3.65,4.19
EOS,2017-12-06,4.19,5.12,4.16,4.47
EOS,2017-12-07,4.47,4.47,3.28,3.89
EOS,2017-12-08,3.89,4.5,3.53,4.22
EOS,2017-12-09,4.22,4.63,3.68,3.98
EOS,2017-12-10,3.98,4.01,3.4,3.67
EOS,2017-12-11,3.67,4.48,3.65,4.39
EOS,2017-12-12,4.39,5.88,4.23,5.08
EOS,2017-12-13,5.08,7.28,4.69,7.28
EOS,2017-12-14,7.28,8.7,7.04,8.2
EOS,2017-12-15,8.2,8.36,6.52,7.93
EOS,2017-12-16,7.93,9.29,7.89,8.35
EOS,2017-12-17,8.35,8.99,7.81,7.97
