ticker,date,open,high,low,close
ETC,2016-07-27,2.2,2.3,1.0,1.6
ETC,2016-07-28,1.6,2.11,1.36,1.68
ETC,2016-07-29,1.68,1.79,1.52,1.64
ETC,2016-07-30,1.64,1.7,1.55,1.57
ETC,2016-07-31,1.57,1.92,1.41,1.79
ETC,2016-08-01,1.79,2.29,1.7,2.29
ETC,2016-08-02,2.29,3.64,2.07,2.6
ETC,2016-08-03,2.6,3.2,2.18,2.56
ETC,2016-08-04,2.56,2.77,2.1,2.28
ETC,2016-08-05,2.28,2.65,2.28,2.56
ETC,2016-08-06,2.56,2.88,2.5,2.67
ETC,2016-08-07,2.67,2.76,2.07,2.1
ETC,2016-08-08,2.1,2.4,1.95,2.13
ETC,2016-08-09,2.13,2.3,1.72,1.93
ETC,2016-08-10,1.93,2.06,1.6,1.69
ETC,2016-08-11,1.69,1.96,1.56,1.86
ETC,2016-08-12,1.86,2.09,1.81,1.82
ETC,2016-08-13,1.82,1.92,1.81,1.86
ETC,2016-08-14,1.86,1.99,1.86,1.92
ETC,2016-08-15,1.92,2.0,1.85,1.86
ETC,2016-08-16,1.86,1.89,1.8,1.86
ETC,2016-08-17,1.86,1.88,1.71,1.74
ETC,2016-08-18,1.74,1.78,1.63,1.69
ETC,2016-08-19,1.69,1.8,1.61,1.75
ETC,2016-08-20,1.75,1.76,1.69,1.74
ETC,2016-08-21,1.74,1.77,1.7,1.71
ETC,2016-08-22,1.71,1.74,1.62,1.66
ETC,2016-08-23,1.66,1.68,1.57,1.61
ETC,2016-08-24,1.61,1.79,1.42,1.47
ETC,2016-08-25,1.47,1.47,1.26,1.38
ETC,2016-08-26,1.38,1.46,1.32,1.43
ETC,2016-08-27,1.43,1.46,1.34,1.36
ETC,2016-08-28,1.36,1.36,1.3,1.36
ETC,2016-08-29,1.36,1.36,1.24,1.24
ETC,2016-08-30,1.24,1.31,1.15,1.24
ETC,2016-08-31,1.24,1.27,1.16,1.19
ETC,2016-09-01,1.19,1.49,1.17,1.48
ETC,2016-09-02,1.48,1.48,1.37,1.4
ETC,2016-09-03,1.4,1.41,1.32,1.36
ETC,2016-09-04,1.36,1.45,1.3,1.44
ETC,2016-09-05,1.44,1.55,1.44,1.46
ETC,2016-09-06,1.46,1.5,1.44,1.48
ETC,2016-09-07,1.48,1.49,1.45,1.48
ETC,2016-09-08,1.48,1.54,1.46,1.47
ETC,2016-09-09,1.47,1.47,1.38,1.41
ETC,2016-09-10,1.41,1.45,1.4,1.42
ETC,2016-09-11,1.42,1.43,1.33,1.34
ETC,2016-09-12,1.34,1.35,1.31,1.33
ETC,2016-09-13,1.33,1.33,1.29,1.29
ETC,2016-09-14,1.29,1.32,1.26,1.3
ETC,2016-09-15,1.3,1.31,1.27,1.28
ETC,2016-09-16,1.28,1.34,1.28,1.33
ETC,2016-09-17,1.33,1.33,1.31,1.32
ETC,2016-09-18,1.32,1.55,1.32,1.33
ETC,2016-09-19,1.33,1.34,1.25,1.28
ETC,2016-09-20,1.28,1.28,1.24,1.25
ETC,2016-09-21,1.25,1.26,1.21,1.23
ETC,2016-09-22,1.23,1.33,1.12,1.26
