ticker,date,open,high,low,close
FIL,2018-02-12,20.09,20.33,19.86,19.88
FIL,2018-02-13,19.88,20.96,19.76,20.93
FIL,2018-02-14,20.93,21.31,19.8,20.93
FIL,2018-02-15,21.32,22.49,20.92,22.46
FIL,2018-02-16,22.18,22.18,22.18,22.18
FIL,2018-02-17,22.18,22.62,21.97,22.46
FIL,2018-02-18,22.46,23.83,21.24,22.39
FIL,2018-02-19,22.39,23.0,21.5,23.0
FIL,2018-02-20,23.0,23.19,21.49,21.49
FIL,2018-02-21,21.49,21.61,19.88,19.88
FIL,2018-02-22,19.88,21.69,18.45,19.7
FIL,2018-02-23,19.7,19.97,18.51,19.57
FIL,2018-02-24,19.66,19.94,18.2,18.79
FIL,2018-02-25,18.53,19.26,17.39,18.32
FIL,2018-02-26,18.32,19.21,17.08,18.48
FIL,2018-02-27,18.48,19.21,18.05,19.21
FIL,2018-02-28,19.21,19.55,18.4,18.77
FIL,2018-03-01,18.77,19.55,17.34,18.73
FIL,2018-03-02,19.05,20.34,18.0,18.34
FIL,2018-03-03,18.34,18.78,17.82,18.25
FIL,2018-03-04,18.57,19.11,17.85,18.43
FIL,2018-03-05,18.43,18.75,17.39,18.52
FIL,2018-03-06,18.52,18.52,16.8,16.8
FIL,2018-03-07,16.8,17.3,15.32,15.32
FIL,2018-03-08,15.2,15.9,13.01,13.37
FIL,2018-03-09,13.37,14.26,12.19,14.18
FIL,2018-03-10,14.18,14.26,13.11,13.11
FIL,2018-03-11,13.39,14.26,12.51,14.17
FIL,2018-03-12,14.17,14.26,13.5,13.5
FIL,2018-03-13,13.5,14.03,13.08,13.09
FIL,2018-03-14,13.0,13.0,11.92,12.94
FIL,2018-03-15,12.94,12.97,11.43,11.63
FIL,2018-03-16,11.87,13.0,11.7,12.0
FIL,2018-03-17,12.0,12.41,10.0,11.02
FIL,2018-03-18,11.02,11.02,5.236,10.16
FIL,2018-03-19,10.16,10.22,8.2,9.22
FIL,2018-03-20,9.22,9.29,8.54,9.16
FIL,2018-03-21,9.16,11.2,9.1,9.3
FIL,2018-03-22,9.3,9.98,9.02,9.41
FIL,2018-03-23,9.41,9.57,9.0,9.27
FIL,2018-03-24,9.27,9.58,9.23,9.48
FIL,2018-03-25,9.48,9.48,9.11,9.14
FIL,2018-03-26,9.14,9.42,8.4,8.93
FIL,2018-03-27,8.61,9.07,8.5,9.0
FIL,2018-03-28,9.0,9.36,8.8,8.85
FIL,2018-03-29,8.85,9.319,8.481,8.551
FIL,2018-03-30,8.551,9.507,8.551,9.373
FIL,2018-03-31,9.27,9.455,9.013,9.177
FIL,2018-04-01,9.177,9.177,8.0,8.84
FIL,2018-04-02,8.84,9.54,8.52,8.93
FIL,2018-04-03,8.93,9.24,8.75,9.07
FIL,2018-04-04,9.07,9.21,8.76,8.8
FIL,2018-04-05,8.8,8.9,8.61,8.9
FIL,2018-04-06,8.9,9.01,8.6,8.94
FIL,2018-04-07,8.94,9.77,8.81,9.34
FIL,2018-04-08,9.34,10.51,9.054,10.18
FIL,2018-04-09,10.18,13.1,10.0,11.49
FIL,2018-04-10,11.46,11.62,10.33,11.3
FIL,2018-04-11,11.3,11.7,9.998,10.96
FIL,2018-04-12,10.96,13.59,10.95,13.11
FIL,2018-04-13,12.96,13.57,12.45,12.86
FIL,2018-04-14,12.86,13.74,12.33,13.33
FIL,2018-04-15,13.35,17.2,13.27,14.78
FIL,2018-04-16,14.78,14.83,13.47,13.98
FIL,2018-04-17,14.0,14.95,13.99,14.43
FIL,2018-04-18,14.43,16.65,14.43,16.5
FIL,2018-04-19,16.5,18.93,16.2,18.55
FIL,2018-04-20,18.55,18.9,17.5,18.44
FIL,2018-04-21,18.44,18.91,15.5,16.5
FIL,2018-04-22,16.5,17.5,15.89,16.0
FIL,2018-05-03,15.5,15.62,14.48,15.1
FIL,2018-05-04,14.75,15.74,14.75,15.31
FIL,2018-05-05,15.31,16.27,15.05,15.44
FIL,2018-05-06,15.44,16.78,14.41,15.2
FIL,2018-05-07,15.2,15.44,14.27,14.85
FIL,2018-05-08,14.85,15.59,14.45,14.76
FIL,2018-05-09,14.76,14.84,13.14,14.25
FIL,2018-05-10,14.25,15.48,13.81,14.52
FIL,2018-05-11,14.52,14.82,12.93,13.39
FIL,2018-05-12,13.39,13.98,10.88,13.11
FIL,2018-05-13,13.11,13.73,12.8,13.45
FIL,2018-05-14,13.45,14.33,12.75,14.08
FIL,2018-05-15,14.08,14.48,13.32,13.49
FIL,2018-05-16,13.5,13.54,12.6,13.1
FIL,2018-05-17,13.1,14.02,12.95,13.11
FIL,2018-05-18,13.11,13.52,12.16,13.47
FIL,2018-05-19,13.47,13.94,12.39,13.76
FIL,2018-05-20,13.76,13.99,13.38,13.99
FIL,2018-05-21,13.99,14.03,12.88,13.21
FIL,2018-05-22,13.21,13.45,12.5,12.65
FIL,2018-05-23,12.65,12.94,10.6,10.92
FIL,2018-05-24,10.92,11.98,10.92,11.79
FIL,2018-05-25,11.79,12.04,11.51,11.78
FIL,2018-05-26,11.78,11.87,11.18,11.55
FIL,2018-05-27,11.55,11.76,11.43,11.52
FIL,2018-05-28,11.52,11.69,10.87,10.87
FIL,2018-05-29,10.87,11.86,10.66,11.33
FIL,2018-05-30,11.33,11.78,11.29,11.32
FIL,2018-05-31,11.32,11.9,11.29,11.39
FIL,2018-06-01,11.39,12.09,11.39,11.94
FIL,2018-06-02,11.94,12.5,11.63,12.15
FIL,2018-06-03,12.15,12.23,11.77,12.02
FIL,2018-06-04,12.02,12.19,10.8,11.68
FIL,2018-06-05,11.68,11.94,10.99,11.68
FIL,2018-06-06,11.68,11.85,11.12,11.4
FIL,2018-06-07,11.4,11.81,11.17,11.59
FIL,2018-06-08,11.59,11.64,11.25,11.34
FIL,2018-06-09,11.34,11.63,11.08,11.19
FIL,2018-06-10,11.19,11.26,9.98,10.19
FIL,2018-06-11,10.19,10.32,9.62,10.13
FIL,2018-06-12,10.13,10.6,9.15,9.15
FIL,2018-06-13,9.15,11.56,9.15,9.75
FIL,2018-06-14,9.75,10.17,9.51,9.93
FIL,2018-06-15,9.93,10.1,9.51,9.72
FIL,2018-06-16,9.72,10.1,9.656,9.757
FIL,2018-06-17,9.757,9.92,9.66,9.75
FIL,2018-06-18,9.75,10.02,9.736,9.959
FIL,2018-06-19,9.959,10.19,9.56,9.7
FIL,2018-06-20,9.7,10.0,9.541,9.711
FIL,2018-06-21,9.711,9.938,9.548,9.668
FIL,2018-06-22,9.668,9.999,8.636,8.636
FIL,2018-06-23,8.636,9.74,7.98,8.49
FIL,2018-06-24,8.49,9.61,7.3,8.14
FIL,2018-06-25,8.14,8.61,7.82,8.6
FIL,2018-06-26,8.6,8.76,7.99,8.51
