ticker,date,open,high,low,close
GLMR,2022-04-02,4.34674,5.37801,4.22577,4.88966
GLMR,2022-04-03,4.89556,5.35214,4.41512,4.85085
GLMR,2022-04-04,4.85896,5.9912,4.81724,5.35531
GLMR,2022-04-05,5.35851,5.45944,4.4975,4.63083
GLMR,2022-04-06,4.63133,4.75075,3.81738,4.0188
GLMR,2022-04-07,4.017,4.18682,3.71,3.87329
GLMR,2022-04-08,3.87779,4.19592,3.70197,3.83653
GLMR,2022-04-09,3.84165,3.97309,3.68287,3.85916
GLMR,2022-04-10,3.85986,4.4908,3.85446,4.15083
GLMR,2022-04-11,4.14863,4.14931,3.43333,3.46644
GLMR,2022-04-12,3.46739,3.78726,3.36841,3.52966
GLMR,2022-04-13,3.52906,4.23655,3.43429,3.9957
GLMR,2022-04-14,3.9967,4.17845,3.70541,3.83507
GLMR,2022-04-15,3.83557,4.14983,3.75215,3.9961
GLMR,2022-04-16,3.9954,4.31216,3.96419,4.13973
GLMR,2022-04-17,4.13713,4.28086,3.86787,3.93549
GLMR,2022-04-18,3.93659,4.16125,3.65507,4.06452
GLMR,2022-04-19,4.06272,4.31086,3.9979,4.15783
GLMR,2022-04-20,4.15913,4.49045,4.0254,4.12562
GLMR,2022-04-21,4.12502,4.24942,3.80778,3.88238
GLMR,2022-04-22,3.88239,3.9807,3.63983,3.75758
GLMR,2022-04-23,3.75575,3.77916,3.57071,3.70544
GLMR,2022-04-24,3.70664,3.71454,3.33487,3.34827
GLMR,2022-04-25,3.34927,3.45069,3.0691,3.40438
GLMR,2022-04-26,3.40378,3.58112,3.0268,3.06261
GLMR,2022-04-27,3.06411,3.10469,2.9185,2.9851
GLMR,2022-04-28,2.9864,3.22842,2.9703,2.9973
GLMR,2022-04-29,3.0053,3.0298,2.58366,2.58796
GLMR,2022-04-30,2.58486,2.82158,2.47195,2.5112
GLMR,2022-05-01,2.5102,2.55526,2.3088,2.4822
GLMR,2022-05-02,2.48235,2.65617,2.43824,2.536
GLMR,2022-05-03,2.53645,2.58026,2.41342,2.44696
GLMR,2022-05-04,2.44696,2.8523,2.41752,2.7504
GLMR,2022-05-05,2.75427,2.91002,2.34963,2.43591
GLMR,2022-05-06,2.43606,2.44746,2.25787,2.32517
GLMR,2022-05-07,2.32517,2.35206,2.21246,2.21356
GLMR,2022-05-08,2.21696,2.23268,2.08367,2.15945
GLMR,2022-05-09,2.15895,2.15895,1.72018,1.84293
GLMR,2022-05-10,1.82913,1.9815,1.61651,1.72501
GLMR,2022-05-11,1.72251,1.79,1.06922,1.11873
