ticker,date,open,high,low,close
GT,2022-05-11,5.45221,5.46134,4.73787,4.85607
GT,2022-05-12,4.84829,5.51558,4.69749,5.38676
GT,2022-05-13,5.38488,5.77704,5.33931,5.57091
GT,2022-05-14,5.58349,5.61783,5.28967,5.50618
GT,2022-05-15,5.50648,5.59735,5.41157,5.52746
GT,2022-05-16,5.52856,5.56805,5.36429,5.42803
GT,2022-05-17,5.42274,5.7419,5.41101,5.73633
GT,2022-05-18,5.73653,5.75411,5.46349,5.57934
GT,2022-05-19,5.57968,5.64555,5.43882,5.57162
GT,2022-05-20,5.57202,5.69514,5.51518,5.61186
GT,2022-05-21,5.61186,5.75551,5.59598,5.74962
GT,2022-05-22,5.74942,5.81613,5.73111,5.75549
GT,2022-05-23,5.75558,5.85885,5.72629,5.7621
GT,2022-05-24,5.76278,5.76278,5.42448,5.61249
GT,2022-05-25,5.6071,5.67565,5.51303,5.60936
GT,2022-05-26,5.61096,5.69543,5.35081,5.48811
GT,2022-05-27,5.47432,5.4993,5.17482,5.27512
GT,2022-05-28,5.27272,5.34741,5.2153,5.32696
GT,2022-05-29,5.32665,5.42016,5.29965,5.34511
GT,2022-05-30,5.34631,5.67243,5.33602,5.64148
GT,2022-05-31,5.64375,5.73081,5.55421,5.64042
GT,2022-06-01,5.64065,5.65987,5.37822,5.40289
GT,2022-06-02,5.40333,5.46498,5.3244,5.45249
GT,2022-06-03,5.44979,5.47377,5.32251,5.36143
GT,2022-06-04,5.36383,5.40197,5.33167,5.39245
GT,2022-06-05,5.39874,5.40607,5.37249,5.40502
GT,2022-06-06,5.40991,5.5414,5.38978,5.47384
GT,2022-06-07,5.47989,5.52562,5.34382,5.49499
GT,2022-06-08,5.49633,5.63853,5.3763,5.56783
GT,2022-06-09,5.57597,5.57603,5.46083,5.52685
GT,2022-06-10,5.53859,5.54707,5.37039,5.40473
GT,2022-06-11,5.40473,5.40559,5.22501,5.29471
GT,2022-06-12,5.29466,5.29974,4.88294,4.92134
GT,2022-06-13,4.90766,4.92104,4.09988,4.32618
GT,2022-06-14,4.32592,4.47446,4.03891,4.34508
GT,2022-06-15,4.35472,4.47074,3.9928,4.27118
GT,2022-06-16,4.38737,4.38987,3.91769,4.01657
GT,2022-06-17,3.9338,4.04447,3.91994,3.95535
GT,2022-06-18,3.96104,4.02879,3.34052,3.56648
GT,2022-06-19,3.53112,3.938,3.47087,3.8705
GT,2022-06-20,4.004,4.14,3.8035,4.005
GT,2022-06-21,4.05284,4.33466,4.04324,4.25382
GT,2022-06-22,4.25352,4.26963,4.03726,4.06663
GT,2022-06-23,4.05814,4.24115,4.05814,4.22077
GT,2022-06-24,4.22077,4.28434,4.20621,4.25828
GT,2022-06-25,4.25734,4.33132,4.24658,4.31238
GT,2022-06-26,4.31698,4.41341,4.30513,4.40621
GT,2022-06-27,4.35731,4.37068,4.18374,4.27879
GT,2022-06-28,4.27883,4.35528,4.19549,4.21531
GT,2022-06-29,4.21477,4.21477,4.03609,4.11352
GT,2022-06-30,4.11366,4.11685,3.85078,4.0215
GT,2022-07-01,4.106,4.157,3.884,4.0725
GT,2022-07-02,4.039,4.14,3.895,4.039
GT,2022-07-05,4.01228,4.06053,3.91089,4.00909
GT,2022-07-06,3.9997,4.082,3.95255,4.02377
GT,2022-07-07,4.02227,4.07225,3.96094,4.02628
GT,2022-07-08,4.03048,4.09303,3.94063,3.97012
GT,2022-07-09,3.96742,3.97122,3.90665,3.93764
GT,2022-07-10,3.93694,3.96752,3.88998,3.96482
GT,2022-07-11,3.96182,3.97781,3.89427,3.93026
GT,2022-07-12,3.92385,3.92626,3.78411,3.79021
GT,2022-07-13,3.78356,3.91657,3.71631,3.91657
GT,2022-07-14,3.91707,4.01609,3.8777,3.9932
GT,2022-07-15,3.9917,4.07796,3.96942,4.0051
GT,2022-07-16,3.9978,4.12876,3.98091,4.10478
GT,2022-07-17,4.10218,4.18525,4.09072,4.13918
GT,2022-07-18,4.13408,4.2374,4.08937,4.19523
GT,2022-07-19,4.19224,4.32219,4.08211,4.30054
GT,2022-07-20,4.2974,4.2993,4.09592,4.21961
GT,2022-07-21,4.21671,4.21971,4.09114,4.13128
GT,2022-07-22,4.13013,4.18114,4.06127,4.0971
GT,2022-07-23,4.09334,4.1384,4.04248,4.09482
GT,2022-07-24,4.09398,4.20106,4.08388,4.18424
GT,2022-07-25,4.18454,4.22905,4.06119,4.07193
GT,2022-07-26,4.07113,4.07113,3.9452,3.9806
GT,2022-07-27,3.9806,4.19882,3.94796,4.18122
GT,2022-07-28,4.1818,4.46964,4.17364,4.26435
GT,2022-07-29,4.2634,4.42823,4.2634,4.35894
GT,2022-07-30,4.35749,4.60046,4.35398,4.47162
GT,2022-07-31,4.46914,4.57951,4.43008,4.53274
GT,2022-08-01,4.53456,4.53678,4.36429,4.39207
GT,2022-08-02,4.39012,4.43995,4.2148,4.37574
GT,2022-08-03,4.37217,4.61271,4.30839,4.55499
GT,2022-08-04,4.54759,4.60983,4.47641,4.54784
GT,2022-08-05,4.54704,4.72094,4.51833,4.70039
GT,2022-08-06,4.70049,4.79996,4.69679,4.7974
GT,2022-08-07,4.79425,4.82091,4.75226,4.76526
GT,2022-08-08,4.7552,4.9962,4.74445,4.90919
GT,2022-08-09,4.90678,4.92208,4.69153,4.77676
GT,2022-08-10,4.77065,4.93813,4.67553,4.93813
GT,2022-08-11,4.93258,5.03276,4.89986,4.93782
GT,2022-08-12,4.93782,5.03951,4.90275,4.96738
GT,2022-08-13,4.96218,5.18544,4.96213,5.1244
GT,2022-08-14,5.1235,5.14671,5.03041,5.05382
GT,2022-08-15,5.05061,5.15914,4.91373,4.95759
GT,2022-08-16,4.95759,4.98965,4.83844,4.91164
GT,2022-08-17,4.91124,4.97715,4.80284,4.88804
GT,2022-08-18,4.88179,4.88819,4.82039,4.87495
GT,2022-08-19,4.87539,4.87789,4.446,4.4527
GT,2022-08-20,4.45318,4.55276,4.3698,4.40156
GT,2022-08-21,4.40387,4.56651,4.38339,4.56641
GT,2022-08-22,4.56651,4.57438,4.35074,4.49149
GT,2022-08-23,4.49233,4.59661,4.49233,4.53239
GT,2022-08-24,4.53185,4.57059,4.45048,4.49926
GT,2022-08-25,4.49676,4.57166,4.48574,4.57054
GT,2022-08-26,4.56755,4.62696,4.38394,4.41664
GT,2022-08-27,4.4167,4.42575,4.32359,4.33513
GT,2022-08-28,4.33123,4.40972,4.32673,4.38086
GT,2022-08-29,4.37806,4.41893,4.31996,4.38376
GT,2022-08-30,4.38484,4.43846,4.21401,4.25378
GT,2022-08-31,4.25414,4.36329,4.23945,4.33116
GT,2022-09-01,4.32956,4.33126,4.25073,4.29464
GT,2022-09-02,4.29259,4.33804,4.24592,4.25454
GT,2022-09-03,4.25528,4.26763,4.2357,4.247
GT,2022-09-04,4.2474,4.25183,4.1551,4.2033
GT,2022-09-05,4.2037,4.2132,3.94559,3.9852
GT,2022-09-06,3.9813,4.09731,3.94879,3.9673
GT,2022-09-07,3.96344,4.0119,3.90554,4.00808
GT,2022-09-08,4.00694,4.07579,3.97944,4.03415
GT,2022-09-09,4.0292,4.30128,4.0239,4.28736
GT,2022-09-10,4.27814,4.32947,4.2475,4.32266
GT,2022-09-11,4.32142,4.33166,4.26656,4.30493
GT,2022-09-12,4.30468,4.45859,4.30107,4.39239
GT,2022-09-13,4.39142,4.40113,4.17367,4.19378
GT,2022-09-14,4.19464,4.3285,4.11944,4.29957
GT,2022-09-15,4.30037,4.33327,4.20104,4.22832
GT,2022-09-16,4.22812,4.2611,4.16657,4.25977
GT,2022-09-17,4.26067,4.3048,4.2589,4.29133
GT,2022-09-18,4.2877,4.2914,4.11919,4.1344
GT,2022-09-19,4.13299,4.20084,4.0014,4.20084
GT,2022-09-20,4.20482,4.2161,4.11151,4.1665
GT,2022-09-21,4.1693,4.27836,4.1004,4.1157
GT,2022-09-22,4.11801,4.3,4.0882,4.251
GT,2022-09-23,4.24992,4.2791,4.1022,4.1925
GT,2022-09-24,4.19926,4.27421,4.17819,4.21434
GT,2022-09-25,4.215,4.2519,4.17063,4.1872
GT,2022-09-26,4.1882,4.2332,4.1596,4.21528
GT,2022-09-27,4.2173,4.34887,4.1441,4.20908
GT,2022-09-28,4.2052,4.2822,4.1132,4.2822
GT,2022-09-29,4.2787,4.3104,4.19462,4.29623
GT,2022-09-30,4.3036,4.35664,4.2226,4.252
GT,2022-10-01,4.24892,4.2914,4.2344,4.2818
GT,2022-10-02,4.2823,4.32993,4.267,4.298
GT,2022-10-03,4.2974,4.32983,4.2568,4.32973
GT,2022-10-04,4.32213,4.40102,4.28623,4.39192
GT,2022-10-05,4.39128,4.41134,4.32183,4.40338
GT,2022-10-06,4.39834,4.46338,4.39347,4.41425
GT,2022-10-07,4.41045,4.44058,4.32222,4.39676
GT,2022-10-08,4.39723,4.40477,4.32065,4.33377
GT,2022-10-09,4.33533,4.36594,4.3153,4.36274
GT,2022-10-10,4.35924,4.3908,4.31396,4.3885
GT,2022-10-11,4.38886,4.38886,4.28,4.35461
GT,2022-10-12,4.35273,4.40408,4.33939,4.40013
GT,2022-10-13,4.4007,4.40667,4.19992,4.37745
GT,2022-10-14,4.38269,4.43901,4.3503,4.37773
GT,2022-10-15,4.38418,4.39914,4.34662,4.39592
GT,2022-10-16,4.39716,4.44976,4.38416,4.42812
GT,2022-10-17,4.42589,4.46428,4.41495,4.46129
GT,2022-10-18,4.46274,4.47988,4.38974,4.40762
GT,2022-10-19,4.39842,4.41082,4.368,4.3837
GT,2022-10-20,4.38016,4.41562,4.35956,4.36046
GT,2022-10-21,4.3568,4.36581,4.29407,4.36111
GT,2022-10-22,4.36115,4.39496,4.34173,4.35315
GT,2022-10-23,4.35265,4.38366,4.33068,4.38351
GT,2022-10-24,4.38257,4.42316,4.38257,4.41282
GT,2022-10-25,4.41068,4.46196,4.38728,4.46127
GT,2022-10-26,4.45902,4.5013,4.4285,4.50126
GT,2022-10-27,4.50006,4.561,4.45053,4.49607
GT,2022-10-28,4.49602,4.53086,4.44194,4.51429
GT,2022-10-29,4.51026,4.60096,4.50594,4.59866
GT,2022-10-30,4.5995,4.62018,4.54589,4.58496
GT,2022-10-31,4.58327,4.67664,4.52801,4.64033
GT,2022-11-01,4.64052,4.71903,4.61257,4.63949
GT,2022-11-02,4.63944,4.66431,4.5677,4.58822
GT,2022-11-03,4.58857,4.67399,4.58857,4.65045
GT,2022-11-04,4.65175,4.85641,4.63951,4.82034
GT,2022-11-05,4.81679,4.84878,4.79524,4.83214
GT,2022-11-06,4.83209,4.88775,4.8174,4.83484
GT,2022-11-07,4.83034,4.8593,4.64929,4.69411
GT,2022-11-08,4.69391,4.71015,4.07441,4.29134
GT,2022-11-09,4.29023,4.37503,3.92374,3.97779
GT,2022-11-10,3.97839,4.62128,3.74167,4.06349
GT,2022-11-11,4.0647,4.78911,3.7216,3.7713
GT,2022-11-12,3.77033,3.80407,3.61468,3.68366
GT,2022-11-13,3.68096,3.72556,3.35383,3.52716
GT,2022-11-14,3.52576,3.68417,3.4617,3.63221
GT,2022-11-15,3.63424,3.73666,3.49545,3.6922
GT,2022-11-16,3.69137,3.74599,3.62288,3.68724
GT,2022-11-17,3.69021,3.74889,3.62471,3.63606
GT,2022-11-18,3.63627,3.65893,3.53235,3.56196
GT,2022-11-19,3.5584,3.58467,3.54989,3.58467
GT,2022-11-20,3.57894,3.59176,3.48064,3.48932
GT,2022-11-21,3.48632,3.49663,3.39069,3.39512
GT,2022-11-22,3.39519,3.49222,3.332,3.48664
GT,2022-11-23,3.48514,3.62572,3.48354,3.56757
GT,2022-11-24,3.56747,3.63863,3.56721,3.63038
GT,2022-11-25,3.62608,3.7342,3.55181,3.71242
GT,2022-11-26,3.71231,3.78154,3.62968,3.64875
GT,2022-11-27,3.64868,3.68957,3.64585,3.68328
GT,2022-11-28,3.68288,3.68378,3.55211,3.57164
GT,2022-11-29,3.56761,3.61678,3.54365,3.60706
GT,2022-11-30,3.60756,3.63901,3.58482,3.63328
GT,2022-12-01,3.63242,3.66744,3.5931,3.60232
GT,2022-12-02,3.60072,3.62642,3.58229,3.62212
GT,2022-12-03,3.62212,3.64944,3.61246,3.61246
GT,2022-12-04,3.61246,3.68817,3.59962,3.60572
GT,2022-12-05,3.60582,3.66603,3.60266,3.62221
GT,2022-12-06,3.62211,3.65533,3.61266,3.63313
GT,2022-12-07,3.6329,3.649,3.55814,3.56744
GT,2022-12-08,3.56837,3.61805,3.56006,3.56695
GT,2022-12-09,3.56565,3.60486,3.56456,3.58361
GT,2022-12-10,3.58154,3.59624,3.57297,3.59183
GT,2022-12-11,3.58996,3.61757,3.57776,3.60072
GT,2022-12-12,3.60052,3.60072,3.55752,3.55802
GT,2022-12-13,3.56032,3.68264,3.55672,3.65349
GT,2022-12-14,3.65422,3.68,3.58184,3.59482
GT,2022-12-15,3.59205,3.60072,3.44519,3.45229
GT,2022-12-16,3.45215,3.46875,3.40394,3.40394
GT,2022-12-17,3.40384,3.40428,3.33797,3.37044
GT,2022-12-18,3.37044,3.40544,3.36614,3.38431
GT,2022-12-19,3.3835,3.3966,3.3567,3.3606
GT,2022-12-20,3.36193,3.44833,3.35947,3.41464
GT,2022-12-21,3.41467,3.43154,3.3938,3.41624
GT,2022-12-22,3.41564,3.4538,3.40156,3.42625
GT,2022-12-23,3.42622,3.42622,3.36516,3.39153
GT,2022-12-24,3.38716,3.404,3.37296,3.3986
GT,2022-12-25,3.39866,3.40562,3.38463,3.39859
GT,2022-12-26,3.40223,3.47365,3.40223,3.43401
GT,2022-12-27,3.43365,3.44761,3.33073,3.37185
GT,2022-12-28,3.36925,3.37988,3.2162,3.23289
GT,2022-12-29,3.23212,3.26207,3.10769,3.12889
GT,2022-12-30,3.12899,3.15171,2.91997,3.01916
GT,2022-12-31,3.01906,3.05657,3.00705,3.01459
GT,2023-01-01,3.01729,3.03445,2.99844,3.01031
GT,2023-01-02,3.01021,3.10401,3.00981,3.10104
GT,2023-01-03,3.10121,3.29195,3.09451,3.21465
GT,2023-01-04,3.21485,3.27102,3.20522,3.26872
GT,2023-01-05,3.26772,3.26948,3.16722,3.21084
GT,2023-01-06,3.21094,3.21128,3.12191,3.17012
GT,2023-01-07,3.16985,3.18801,3.13482,3.16874
