ticker,date,open,high,low,close
HBAR,2019-09-20,0.05058,0.05638,0.04986,0.05159
HBAR,2019-09-21,0.05159,0.05484,0.04545,0.04814
HBAR,2019-09-22,0.04814,0.04858,0.03844,0.03924
HBAR,2019-09-23,0.03924,0.03924,0.03403,0.03791
HBAR,2019-09-24,0.03791,0.04041,0.0287,0.02947
HBAR,2019-09-25,0.02947,0.03075,0.02635,0.03024
HBAR,2019-09-26,0.03024,0.03024,0.02794,0.02899
HBAR,2019-09-27,0.02899,0.03805,0.0287,0.03764
HBAR,2019-09-28,0.03764,0.0426,0.03734,0.0398
HBAR,2019-09-29,0.0398,0.04154,0.03242,0.03565
HBAR,2019-09-30,0.03565,0.04465,0.03565,0.03808
HBAR,2019-10-01,0.03808,0.04005,0.03747,0.0388
HBAR,2019-10-02,0.0388,0.03986,0.03659,0.03759
HBAR,2019-10-03,0.03759,0.03909,0.03661,0.03769
HBAR,2019-10-04,0.03769,0.03929,0.03684,0.03872
HBAR,2019-10-05,0.03872,0.04282,0.03857,0.04209
HBAR,2019-10-06,0.04209,0.04209,0.03745,0.038
HBAR,2019-10-07,0.038,0.03968,0.03746,0.03828
HBAR,2019-10-08,0.03828,0.03924,0.03695,0.03891
HBAR,2019-10-09,0.03891,0.04185,0.03867,0.03918
HBAR,2019-10-10,0.03918,0.0392,0.03714,0.03843
HBAR,2019-10-11,0.03843,0.03843,0.03485,0.03584
HBAR,2019-10-12,0.03584,0.03634,0.03476,0.03518
HBAR,2019-10-13,0.03518,0.03534,0.0331,0.03319
HBAR,2019-10-14,0.03319,0.03839,0.0327,0.03705
HBAR,2019-10-15,0.03705,0.04079,0.03523,0.03801
HBAR,2019-10-16,0.03801,0.03801,0.03526,0.03751
HBAR,2019-10-17,0.03751,0.03783,0.03378,0.03516
HBAR,2019-10-18,0.03516,0.03596,0.03364,0.03396
HBAR,2019-10-19,0.03396,0.03429,0.03293,0.03365
HBAR,2019-10-20,0.03365,0.03513,0.03299,0.03324
HBAR,2019-10-21,0.03324,0.03437,0.03314,0.03339
HBAR,2019-10-22,0.03339,0.03339,0.03101,0.03158
HBAR,2019-10-23,0.03158,0.03158,0.02723,0.02805
HBAR,2019-10-24,0.02805,0.02978,0.02702,0.02866
HBAR,2019-10-25,0.02866,0.0352,0.02866,0.0307
HBAR,2019-10-26,0.0307,0.03463,0.02898,0.03055
