ticker,date,open,high,low,close
HNT,2020-04-02,0.4554,0.4599,0.4551,0.4598
HNT,2020-04-03,0.4598,0.4599,0.455,0.4567
HNT,2020-04-04,0.4567,0.4599,0.4551,0.4552
HNT,2020-04-05,0.4552,0.4599,0.455,0.4579
HNT,2020-04-06,0.4579,0.4599,0.455,0.4595
HNT,2020-04-07,0.4595,0.4599,0.455,0.4561
HNT,2020-04-08,0.4561,0.4599,0.455,0.4563
HNT,2020-04-09,0.4563,0.4598,0.3657,0.3683
HNT,2020-04-10,0.3683,0.3736,0.3349,0.3418
HNT,2020-04-11,0.3418,0.3474,0.3255,0.3388
HNT,2020-04-12,0.3388,0.4583,0.326,0.3429
HNT,2020-04-13,0.3429,0.4599,0.3296,0.4564
HNT,2020-04-14,0.4564,0.4599,0.4478,0.4579
HNT,2020-04-15,0.4579,0.4597,0.313,0.313
HNT,2020-04-16,0.313,0.3196,0.3079,0.3179
HNT,2020-04-17,0.3179,0.3198,0.3102,0.3174
HNT,2020-04-18,0.3174,0.3198,0.3102,0.3134
HNT,2020-04-19,0.3134,0.3198,0.31,0.3166
HNT,2020-04-20,0.3166,0.3195,0.2764,0.2795
HNT,2020-04-21,0.2795,0.2877,0.2753,0.2819
HNT,2020-04-22,0.2819,0.2925,0.27,0.2761
HNT,2020-04-23,0.2761,0.2798,0.27,0.276
HNT,2020-04-24,0.276,0.2798,0.2701,0.2717
HNT,2020-04-25,0.2717,0.2798,0.27,0.2761
HNT,2020-04-26,0.2761,0.2798,0.27,0.2712
HNT,2020-04-27,0.2712,0.2798,0.27,0.2794
HNT,2020-04-28,0.2794,0.2798,0.27,0.2709
HNT,2020-04-29,0.2709,0.2798,0.27,0.2708
HNT,2020-04-30,0.2708,0.2798,0.2589,0.2706
HNT,2020-05-01,0.2706,0.2761,0.2593,0.2697
HNT,2020-05-02,0.2697,0.2744,0.2405,0.2421
HNT,2020-05-03,0.2421,0.2497,0.24,0.2411
HNT,2020-05-04,0.2411,0.2792,0.2384,0.2767
HNT,2020-05-05,0.2767,0.3566,0.2666,0.3449
HNT,2020-05-06,0.3449,0.3681,0.3417,0.3641
HNT,2020-05-07,0.3641,0.3907,0.3495,0.3829
HNT,2020-05-08,0.3829,0.3928,0.3458,0.3804
HNT,2020-05-09,0.3804,0.3921,0.37,0.3705
HNT,2020-05-10,0.3705,0.3762,0.3203,0.3392
HNT,2020-05-11,0.3392,0.3531,0.3296,0.3319
HNT,2020-05-12,0.3319,0.4581,0.3264,0.3373
HNT,2020-05-13,0.3373,0.3594,0.3341,0.3534
HNT,2020-05-14,0.3534,0.3676,0.3448,0.3616
HNT,2020-05-15,0.3616,0.55,0.3461,0.3544
HNT,2020-05-16,0.3544,0.55,0.3477,0.3507
HNT,2020-05-17,0.3507,0.3738,0.3507,0.3661
HNT,2020-05-18,0.3661,0.3773,0.2964,0.3067
HNT,2020-05-19,0.3067,0.3113,0.2952,0.3022
HNT,2020-05-20,0.3022,0.4595,0.2171,0.4567
HNT,2020-05-21,0.4567,0.4599,0.455,0.4564
HNT,2020-05-22,0.4564,0.4599,0.4426,0.4495
HNT,2020-05-23,0.4495,0.4573,0.2178,0.4451
HNT,2020-05-24,0.4451,0.4566,0.4303,0.4303
HNT,2020-05-25,0.4303,0.4414,0.4199,0.4357
HNT,2020-05-26,0.4357,0.4581,0.4238,0.4308
HNT,2020-05-27,0.4308,0.4539,0.4268,0.4504
HNT,2020-05-28,0.4504,0.4599,0.4405,0.4591
HNT,2020-05-29,0.4591,0.4598,0.44,0.4583
HNT,2020-05-30,0.4583,0.4599,0.455,0.4592
HNT,2020-05-31,0.4592,0.4599,0.2171,0.2313
HNT,2020-06-01,0.2313,0.3193,0.2093,0.2622
HNT,2020-06-02,0.2622,0.3442,0.2227,0.2627
HNT,2020-06-03,0.2627,0.2663,0.2091,0.2112
HNT,2020-06-04,0.2112,0.3393,0.2112,0.2477
HNT,2020-06-05,0.2477,0.3408,0.2246,0.287
HNT,2020-06-06,0.287,0.4442,0.2845,0.2917
HNT,2020-06-07,0.2917,0.2991,0.2808,0.2901
HNT,2020-06-08,0.2901,0.4456,0.278,0.2786
HNT,2020-06-09,0.2786,0.4444,0.2771,0.2871
HNT,2020-06-10,0.2871,0.2928,0.2787,0.2877
HNT,2020-06-11,0.2877,0.2934,0.2658,0.269
HNT,2020-06-12,0.269,0.4439,0.2663,0.273
HNT,2020-06-13,0.273,0.2803,0.2699,0.2786
HNT,2020-06-14,0.2786,0.2797,0.2671,0.2713
HNT,2020-06-15,0.2713,0.2785,0.2588,0.2767
HNT,2020-06-16,0.2767,0.2826,0.2694,0.2725
HNT,2020-06-17,0.2725,0.2787,0.2644,0.273
HNT,2020-06-18,0.273,0.2745,0.2488,0.2499
HNT,2020-06-19,0.2499,0.254,0.2197,0.2284
HNT,2020-06-20,0.2284,0.4435,0.2148,0.2226
HNT,2020-06-21,0.2226,0.4452,0.2149,0.2233
HNT,2020-06-22,0.2233,0.4334,0.2156,0.2235
HNT,2020-06-23,0.2235,0.3984,0.2204,0.271
HNT,2020-06-24,0.271,0.3978,0.2539,0.2601
HNT,2020-06-25,0.2601,0.2631,0.2485,0.259
HNT,2020-06-26,0.259,0.2648,0.2427,0.2516
HNT,2020-06-27,0.2516,0.2531,0.2395,0.2483
HNT,2020-06-28,0.2483,0.4485,0.24,0.245
HNT,2020-06-29,0.245,0.2534,0.2401,0.2446
HNT,2020-06-30,0.2446,0.2528,0.2423,0.2502
HNT,2020-07-01,0.2502,0.4594,0.2421,0.2455
HNT,2020-07-02,0.2455,0.2457,0.2128,0.2161
HNT,2020-07-03,0.2161,0.2241,0.2137,0.2205
HNT,2020-07-04,0.2205,0.2271,0.2149,0.2175
HNT,2020-07-05,0.2175,0.2244,0.2003,0.2031
HNT,2020-07-06,0.2031,0.2098,0.2,0.2089
HNT,2020-07-07,0.2089,0.2098,0.2,0.2079
HNT,2020-07-08,0.2079,0.2098,0.2,0.203
HNT,2020-07-09,0.203,0.2168,0.2001,0.2045
HNT,2020-07-10,0.2045,0.2098,0.2,0.2087
HNT,2020-07-11,0.2087,0.2098,0.2001,0.2053
HNT,2020-07-12,0.2053,0.2098,0.2,0.2089
HNT,2020-07-13,0.2089,0.2198,0.2,0.2089
HNT,2020-07-14,0.2089,0.2175,0.2069,0.2069
HNT,2020-07-15,0.2069,0.2069,0.2069,0.2069
HNT,2020-07-16,0.2069,0.2069,0.2069,0.2069
HNT,2020-07-17,0.2069,0.2069,0.2069,0.2069
HNT,2020-07-18,0.2069,0.2069,0.2069,0.2069
HNT,2020-07-19,0.2069,0.2069,0.2069,0.2069
HNT,2020-07-20,0.2069,0.2069,0.2069,0.2069
HNT,2020-07-21,0.2069,0.2069,0.2069,0.2069
HNT,2020-07-22,0.2069,0.2069,0.2069,0.2069
HNT,2020-07-23,0.2069,0.2069,0.2069,0.2069
HNT,2020-07-24,0.2069,0.2069,0.2069,0.2069
HNT,2020-07-25,0.2069,0.2069,0.2069,0.2069
HNT,2020-07-26,0.2069,0.2069,0.2069,0.2069
HNT,2020-07-27,0.2069,0.2069,0.2069,0.2069
HNT,2020-07-28,0.2069,0.2069,0.2069,0.2069
HNT,2020-07-29,0.2069,0.2069,0.2069,0.2069
HNT,2020-07-30,0.2069,0.2069,0.2069,0.2069
HNT,2020-07-31,0.2069,0.2069,0.2069,0.2069
HNT,2020-08-01,0.2069,0.2069,0.2069,0.2069
HNT,2020-08-02,0.2069,0.2069,0.2069,0.2069
HNT,2020-08-03,0.2069,0.2069,0.2069,0.2069
HNT,2020-08-04,0.2069,0.2069,0.2069,0.2069
HNT,2020-08-05,0.2069,0.2069,0.2069,0.2069
HNT,2020-08-06,0.2069,0.2069,0.2069,0.2069
HNT,2020-08-07,0.2069,0.2069,0.2069,0.2069
HNT,2020-08-08,0.2069,0.2069,0.2069,0.2069
HNT,2020-08-09,0.2069,0.2069,0.2069,0.2069
HNT,2020-08-10,0.2664,0.2713,0.2379,0.2379
HNT,2020-08-11,0.2069,0.2069,0.2069,0.2069
HNT,2020-08-12,0.2278,0.2603,0.2278,0.2522
HNT,2020-08-13,0.2522,0.257,0.2522,0.257
HNT,2020-08-14,0.257,0.257,0.1177,0.1177
HNT,2020-08-15,0.1177,0.2574,0.1177,0.2574
HNT,2020-08-16,0.224,0.224,0.224,0.224
HNT,2020-08-17,0.224,0.224,0.224,0.224
HNT,2020-08-18,0.224,0.224,0.224,0.224
HNT,2020-08-19,0.2595,0.2595,0.254,0.254
