ticker,date,open,high,low,close
HT,2019-08-29,4.027,4.05,3.81,3.873
HT,2019-08-30,3.873,3.954,3.772,3.862
HT,2019-08-31,3.864,3.899,3.826,3.874
HT,2019-09-01,3.875,3.961,3.689,3.767
HT,2019-09-02,3.762,4.002,3.757,3.984
HT,2019-09-03,3.986,4.143,3.937,4.132
HT,2019-09-04,4.132,4.175,4.012,4.108
HT,2019-09-05,4.109,4.13,3.903,3.946
HT,2019-09-06,3.947,4.092,3.93,3.945
HT,2019-09-07,3.945,4.084,3.928,4.059
HT,2019-09-08,4.056,4.089,4.004,4.038
HT,2019-09-09,4.038,4.089,3.975,4.012
HT,2019-09-10,4.012,4.201,3.999,4.137
HT,2019-09-11,4.137,4.36,4.077,4.181
HT,2019-09-12,4.18,4.194,4.046,4.102
HT,2019-09-13,4.101,4.139,4.027,4.051
HT,2019-09-14,4.051,4.122,4.013,4.099
HT,2019-09-15,4.1,4.121,4.042,4.057
HT,2019-09-16,4.056,4.1,3.983,4.05
HT,2019-09-17,4.05,4.165,4.025,4.092
HT,2019-09-18,4.094,4.229,4.066,4.151
HT,2019-09-19,4.151,4.164,4.0,4.123
HT,2019-09-20,4.123,4.16,4.057,4.071
HT,2019-09-21,4.07,4.125,4.051,4.061
HT,2019-09-22,4.06,4.095,3.992,4.016
HT,2019-09-23,4.017,4.03,3.781,3.787
HT,2019-09-24,3.786,3.854,3.246,3.388
HT,2019-09-25,3.384,3.416,3.117,3.24
HT,2019-09-26,3.243,3.279,2.911,3.029
HT,2019-09-27,3.029,3.195,2.989,3.157
HT,2019-09-28,3.16,3.22,3.094,3.152
HT,2019-09-29,3.155,3.186,3.019,3.076
HT,2019-09-30,3.075,3.232,3.062,3.187
HT,2019-10-01,3.188,3.306,3.138,3.15
HT,2019-10-02,3.149,3.186,3.114,3.183
HT,2019-10-03,3.183,3.217,3.101,3.152
HT,2019-10-04,3.154,3.188,3.109,3.175
HT,2019-10-05,3.173,3.181,3.112,3.155
HT,2019-10-06,3.155,3.176,3.009,3.035
HT,2019-10-07,3.038,3.2,3.004,3.148
HT,2019-10-08,3.148,3.302,3.134,3.156
HT,2019-10-09,3.158,3.3,3.156,3.231
HT,2019-10-10,3.231,3.515,3.229,3.461
HT,2019-10-11,3.461,3.499,3.292,3.372
HT,2019-10-12,3.373,3.441,3.333,3.414
HT,2019-10-13,3.412,3.476,3.402,3.467
HT,2019-10-14,3.571,3.677,3.568,3.644
HT,2019-10-15,3.646,3.734,3.548,3.609
HT,2019-10-16,3.611,3.649,3.387,3.454
HT,2019-10-17,3.452,3.504,3.404,3.485
