ticker,date,open,high,low,close
ICX,2017-09-23,0.166,0.1714,0.09443,0.09729
ICX,2017-09-24,0.09608,0.1693,0.09608,0.1631
ICX,2017-09-25,0.1702,0.1702,0.1129,0.1474
ICX,2017-09-26,0.1443,0.517,0.1443,0.1443
ICX,2017-09-27,0.155,0.2557,0.155,0.2446
ICX,2017-09-28,0.2389,0.2389,0.1514,0.1968
ICX,2017-09-29,0.1902,0.1902,0.1463,0.1858
ICX,2017-09-30,0.1923,0.221,0.1789,0.221
ICX,2017-10-01,0.2219,0.3039,0.2158,0.3036
ICX,2017-10-02,0.2965,0.2968,0.1989,0.2466
ICX,2017-10-03,0.2425,0.2918,0.2224,0.2442
ICX,2017-10-04,0.2441,0.4081,0.2441,0.4081
ICX,2017-10-05,0.4127,0.4127,0.2891,0.295
ICX,2017-10-06,0.3083,0.4307,0.3083,0.4307
ICX,2017-10-07,0.4348,0.5572,0.4261,0.4859
ICX,2017-10-08,0.4831,0.619,0.4679,0.619
ICX,2017-10-09,0.5939,0.6533,0.3652,0.4885
ICX,2017-10-10,0.491,0.5781,0.3913,0.4984
ICX,2017-10-11,0.5058,0.5058,0.421,0.424
ICX,2017-10-12,0.424,0.4695,0.3686,0.3998
ICX,2017-10-13,0.4446,0.5696,0.3402,0.5696
ICX,2017-10-14,0.5729,0.6359,0.4642,0.517
ICX,2017-10-15,0.5136,0.5136,0.3938,0.4702
ICX,2017-10-16,0.3994,0.4596,0.3419,0.4596
ICX,2017-10-17,0.4347,0.6158,0.3705,0.6158
ICX,2017-10-18,0.4549,0.5644,0.4327,0.5644
ICX,2017-10-19,0.5533,0.5533,0.415,0.5069
ICX,2017-10-20,0.4998,0.5152,0.4195,0.4549
ICX,2017-10-21,0.4496,0.4496,0.3379,0.3379
ICX,2017-10-22,0.3317,0.3822,0.3317,0.3822
ICX,2017-10-23,0.3709,0.4553,0.3623,0.3697
ICX,2017-10-24,0.3843,0.4744,0.384,0.4258
ICX,2017-10-25,0.4256,0.441,0.3838,0.441
ICX,2017-10-26,0.4398,0.4398,0.3969,0.4073
ICX,2017-10-27,0.4084,0.5927,0.4051,0.4923
ICX,2017-10-28,0.4873,0.5867,0.408,0.4975
ICX,2017-10-29,0.5157,0.5157,0.4266,0.45
ICX,2017-10-30,0.4541,0.6424,0.4372,0.5136
ICX,2017-10-31,0.5083,0.7895,0.4861,0.6984
ICX,2017-11-01,0.6657,1.16,0.6251,1.09
ICX,2017-11-02,1.08,1.24,0.8263,1.24
ICX,2017-11-03,1.32,1.32,1.04,1.25
ICX,2017-11-04,1.23,1.42,1.19,1.42
ICX,2017-11-05,1.4,1.54,1.28,1.54
ICX,2017-11-06,1.54,2.02,1.48,1.74
ICX,2017-11-07,1.71,1.94,0.7617,1.36
ICX,2017-11-08,1.43,1.56,0.8959,1.38
ICX,2017-11-09,1.44,1.6,1.16,1.26
ICX,2017-11-10,1.17,1.28,0.7748,0.9595
ICX,2017-11-11,1.02,1.09,0.7796,1.07
ICX,2017-11-12,1.04,1.13,0.8082,1.03
ICX,2017-11-13,1.05,1.13,0.9441,0.9441
ICX,2017-11-14,1.0,1.17,0.9325,1.11
ICX,2017-11-15,1.1,1.1,0.9837,1.0
ICX,2017-11-16,1.0,1.16,1.0,1.07
ICX,2017-11-17,1.08,1.15,0.9013,1.12
ICX,2017-11-18,1.17,1.17,0.92,0.9207
ICX,2017-11-19,0.9418,1.09,0.9411,1.08
ICX,2017-11-20,1.12,1.12,0.9744,0.9755
ICX,2017-11-21,0.9565,1.04,0.8905,1.04
ICX,2017-11-22,1.1,1.14,1.01,1.1
ICX,2017-11-23,1.17,1.17,0.988,1.01
ICX,2017-11-24,1.17,1.29,1.08,1.08
ICX,2017-11-25,1.07,1.2,1.07,1.13
ICX,2017-11-26,1.14,1.22,0.9928,0.9928
ICX,2017-11-27,1.0,1.9,1.0,1.38
ICX,2017-11-28,1.36,1.7,1.35,1.49
ICX,2017-11-29,1.37,1.66,1.05,1.12
ICX,2017-11-30,1.14,1.48,1.14,1.27
ICX,2017-12-01,1.34,1.59,1.34,1.59
ICX,2017-12-02,1.58,1.58,1.47,1.58
ICX,2017-12-03,1.6,1.64,1.47,1.47
ICX,2017-12-04,1.48,1.62,1.18,1.18
ICX,2017-12-05,1.14,1.65,1.14,1.59
ICX,2017-12-06,1.48,1.77,1.47,1.75
ICX,2017-12-07,1.74,1.98,1.7,1.79
ICX,2017-12-08,1.92,1.92,1.57,1.79
ICX,2017-12-09,1.87,1.96,1.64,1.89
ICX,2017-12-10,1.75,1.86,1.64,1.77
ICX,2017-12-11,2.09,2.31,1.91,2.21
ICX,2017-12-12,2.82,3.01,2.19,2.19
ICX,2017-12-13,2.33,2.46,1.9,1.96
ICX,2017-12-14,1.95,2.16,1.81,2.04
ICX,2017-12-15,2.01,2.83,1.92,2.41
ICX,2017-12-16,2.44,3.12,2.44,2.63
ICX,2017-12-17,2.73,3.16,2.22,2.87
ICX,2017-12-18,3.14,3.93,1.47,2.59
ICX,2017-12-19,2.68,2.93,2.26,2.52
ICX,2017-12-20,2.48,2.75,2.09,2.63
ICX,2017-12-21,2.6,3.38,2.32,2.38
ICX,2017-12-22,1.98,2.55,1.84,2.55
ICX,2017-12-23,2.72,4.12,2.61,3.63
ICX,2017-12-24,3.5,3.92,3.26,3.44
ICX,2017-12-25,3.68,8.65,1.52,6.15
ICX,2017-12-26,6.4,7.53,4.2,5.35
ICX,2017-12-27,5.25,5.55,4.4,4.72
ICX,2017-12-28,4.57,5.73,4.19,5.73
ICX,2017-12-29,5.91,6.06,5.18,5.66
ICX,2017-12-30,5.3,5.47,4.24,5.47
ICX,2017-12-31,5.85,5.93,4.74,5.19
ICX,2018-01-01,5.29,6.43,4.61,5.99
ICX,2018-01-02,6.83,6.94,5.74,5.95
ICX,2018-01-03,6.5,7.52,5.04,5.83
ICX,2018-01-04,5.86,7.55,5.67,7.09
ICX,2018-01-05,7.25,7.69,6.48,6.91
ICX,2018-01-06,7.13,7.95,6.91,7.76
ICX,2018-01-07,8.65,10.77,8.16,9.84
ICX,2018-01-08,9.9,10.73,9.59,10.33
ICX,2018-01-09,11.72,13.6,11.62,12.09
ICX,2018-01-10,11.71,11.99,9.33,11.04
ICX,2018-01-11,10.07,10.11,7.14,9.1
ICX,2018-01-12,10.03,10.47,9.17,9.86
ICX,2018-01-13,10.83,11.01,9.36,9.85
ICX,2018-01-14,9.67,10.79,9.62,10.53
ICX,2018-01-15,9.9,10.1,9.18,9.88
ICX,2018-01-16,8.11,8.11,6.85,7.42
ICX,2018-01-17,7.24,7.94,6.46,7.57
ICX,2018-01-18,7.48,8.1,7.3,7.8
ICX,2018-01-19,7.98,8.82,7.67,8.54
ICX,2018-01-20,9.47,10.81,9.37,10.29
ICX,2018-01-21,9.38,9.44,8.45,8.96
ICX,2018-01-22,8.52,8.67,7.92,8.13
ICX,2018-01-23,8.01,8.66,7.54,8.25
ICX,2018-01-24,8.88,9.55,7.54,8.4
ICX,2018-01-25,8.37,8.79,6.71,7.86
ICX,2018-01-26,7.86,8.5,6.0,7.22
ICX,2018-01-27,7.22,8.05,7.22,7.89
ICX,2018-01-28,7.9,9.7,7.0,9.0
ICX,2018-01-29,9.0,9.67,8.05,8.7
ICX,2018-01-30,8.7,10.09,7.53,7.53
ICX,2018-01-31,7.53,9.2,6.84,7.58
ICX,2018-02-01,7.58,7.78,5.35,6.0
ICX,2018-02-02,6.0,6.3,3.65,5.14
ICX,2018-02-03,5.14,5.98,4.6,5.36
ICX,2018-02-04,5.36,5.5,4.0,4.48
ICX,2018-02-05,4.48,4.49,2.6,2.99
ICX,2018-02-06,2.97,5.0,1.89,4.28
ICX,2018-02-07,4.28,5.25,3.27,3.97
ICX,2018-02-08,3.97,5.14,3.0,5.1
ICX,2018-02-09,5.1,5.11,4.0,4.43
ICX,2018-02-10,4.43,4.8,3.8,3.8
ICX,2018-02-11,3.8,4.13,3.0,4.04
ICX,2018-02-12,4.04,4.7,3.77,4.22
ICX,2018-02-13,4.22,4.31,3.51,3.9
ICX,2018-02-14,3.9,4.56,3.0,4.49
ICX,2018-02-15,4.5,4.84,3.96,4.73
ICX,2018-02-16,4.74,4.99,3.9,4.41
ICX,2018-02-17,4.41,5.7,4.32,4.32
ICX,2018-02-18,4.32,5.38,4.32,4.81
ICX,2018-02-19,4.81,4.97,4.66,4.76
ICX,2018-02-20,4.76,4.86,4.22,4.25
ICX,2018-02-21,4.24,4.61,3.0,4.01
ICX,2018-02-22,4.01,4.33,3.08,3.78
ICX,2018-02-23,3.78,4.22,3.0,4.02
ICX,2018-02-24,4.02,4.12,3.16,3.77
ICX,2018-02-25,3.77,3.9,3.27,3.9
ICX,2018-02-26,3.9,4.29,3.0,4.04
