ticker,date,open,high,low,close
KCS,2017-12-13,0.4538,0.5081,0.4319,0.508
KCS,2017-12-14,0.5072,0.5594,0.4776,0.55
KCS,2017-12-15,0.588,0.5959,0.5061,0.559
KCS,2017-12-16,0.6142,0.6844,0.5819,0.6844
KCS,2017-12-17,0.6745,0.7561,0.6515,0.7436
KCS,2017-12-18,0.7399,0.8439,0.7001,0.8346
KCS,2017-12-19,0.7709,0.9489,0.7539,0.9286
KCS,2017-12-20,0.8723,0.8908,0.7433,0.8792
KCS,2017-12-21,0.8349,0.9379,0.8011,0.9218
KCS,2017-12-22,0.8058,0.8061,0.716,0.7856
KCS,2017-12-23,0.8277,0.852,0.782,0.852
KCS,2017-12-24,0.8161,0.935,0.8001,0.9347
KCS,2017-12-25,0.9376,1.3,0.8746,1.28
KCS,2017-12-26,1.46,1.66,1.11,1.61
KCS,2017-12-27,1.57,2.43,1.53,2.42
KCS,2017-12-28,2.26,2.99,1.76,2.81
KCS,2017-12-29,2.81,3.6,2.53,3.17
KCS,2017-12-30,2.76,2.91,2.26,2.84
KCS,2017-12-31,3.14,3.61,2.97,3.61
KCS,2018-01-01,3.51,3.75,3.25,3.74
KCS,2018-01-02,4.1,7.8,3.97,7.27
KCS,2018-01-03,7.46,8.34,6.44,7.96
KCS,2018-01-04,7.97,7.98,5.77,6.53
KCS,2018-01-05,7.26,8.44,6.26,7.44
KCS,2018-01-06,7.53,15.42,7.37,13.36
KCS,2018-01-07,12.63,21.08,12.46,18.01
KCS,2018-01-08,17.07,18.68,13.7,17.72
KCS,2018-01-09,17.12,17.36,15.92,16.36
KCS,2018-01-10,16.89,21.93,16.46,20.56
KCS,2018-01-11,18.34,19.42,15.42,18.92
KCS,2018-01-12,19.68,20.76,18.44,18.96
KCS,2018-01-13,19.51,20.23,14.06,17.52
KCS,2018-01-14,16.78,17.77,13.64,14.18
KCS,2018-01-15,14.18,15.68,10.63,13.48
KCS,2018-01-16,11.16,12.41,8.19,10.15
KCS,2018-01-17,10.04,11.39,8.37,11.39
KCS,2018-01-18,11.4,12.63,9.57,10.06
KCS,2018-01-19,10.31,10.77,9.12,9.33
KCS,2018-01-20,10.35,11.89,10.06,11.31
KCS,2018-01-21,10.22,10.32,9.29,9.47
KCS,2018-01-22,8.87,9.03,7.92,8.3
KCS,2018-01-23,8.33,8.47,7.65,7.88
KCS,2018-01-24,8.29,8.52,7.33,7.69
KCS,2018-01-25,7.64,8.44,7.04,7.46
KCS,2018-01-26,7.46,7.81,6.0,7.38
KCS,2018-01-27,7.46,10.03,7.39,10.0
KCS,2018-01-28,10.0,12.32,9.42,10.62
KCS,2018-01-29,10.56,10.9,9.25,9.33
KCS,2018-01-30,9.33,9.55,7.58,8.31
KCS,2018-01-31,8.31,8.37,7.0,8.06
KCS,2018-02-01,8.06,8.43,6.6,7.26
KCS,2018-02-02,7.24,7.3,5.07,6.65
KCS,2018-02-03,6.65,8.09,6.17,7.69
KCS,2018-02-04,7.69,7.87,5.79,6.39
KCS,2018-02-05,6.4,6.4,4.11,4.61
KCS,2018-02-06,4.6,5.92,3.53,5.57
KCS,2018-02-07,5.57,6.6,4.91,5.71
KCS,2018-02-08,5.71,6.27,5.21,5.74
KCS,2018-02-09,5.74,6.0,5.41,5.84
KCS,2018-02-10,5.84,6.48,5.29,5.65
KCS,2018-02-11,5.64,5.72,5.07,5.31
KCS,2018-02-12,5.31,5.87,5.14,5.87
KCS,2018-02-13,5.88,5.91,5.34,5.56
KCS,2018-02-14,5.56,5.91,5.41,5.71
KCS,2018-02-15,5.71,6.3,5.63,5.93
KCS,2018-02-16,5.96,6.05,5.72,5.94
KCS,2018-02-17,5.94,6.03,5.61,5.79
KCS,2018-02-18,5.8,5.92,5.38,5.48
KCS,2018-02-19,5.48,5.67,4.49,5.18
KCS,2018-02-20,5.18,5.36,4.4,4.47
KCS,2018-02-21,4.45,4.8,4.22,4.4
KCS,2018-02-22,4.4,4.49,3.95,4.19
KCS,2018-02-23,4.19,4.69,4.07,4.63
KCS,2018-02-24,4.63,4.83,4.24,4.41
KCS,2018-02-25,4.41,4.78,4.24,4.6
KCS,2018-02-26,4.6,4.84,4.36,4.73
KCS,2018-02-27,4.73,4.73,4.38,4.45
KCS,2018-02-28,4.45,4.57,4.12,4.24
KCS,2018-03-01,4.24,4.31,4.12,4.27
KCS,2018-03-02,4.27,4.36,4.1,4.16
KCS,2018-03-03,4.16,4.31,3.59,3.63
KCS,2018-03-04,3.63,4.09,3.63,3.84
KCS,2018-03-05,3.84,3.9,3.66,3.68
KCS,2018-03-06,3.68,3.75,3.22,3.26
KCS,2018-03-07,3.25,3.45,2.89,3.16
KCS,2018-03-08,3.15,3.35,3.0,3.05
KCS,2018-03-09,3.05,3.16,2.8,3.12
KCS,2018-03-10,3.13,3.4,3.04,3.11
KCS,2018-03-11,3.11,3.44,2.0,3.21
KCS,2018-03-12,3.21,3.51,3.09,3.32
KCS,2018-03-13,3.32,3.44,3.18,3.3
KCS,2018-03-14,3.3,3.39,2.0,2.73
KCS,2018-03-15,2.73,2.82,2.26,2.63
KCS,2018-03-16,2.63,2.68,2.27,2.43
KCS,2018-03-17,2.43,2.46,2.08,2.24
KCS,2018-03-18,2.24,2.26,1.85,2.2
KCS,2018-03-19,2.21,2.83,2.2,2.63
KCS,2018-03-20,2.63,3.21,2.63,3.16
KCS,2018-03-21,3.16,3.24,2.0,2.88
KCS,2018-03-22,2.87,3.11,2.72,2.74
KCS,2018-03-23,2.74,2.86,2.59,2.85
KCS,2018-03-24,2.85,3.04,2.0,2.92
KCS,2018-03-25,2.92,3.03,2.0,3.02
KCS,2018-03-26,3.02,3.07,2.0,2.58
KCS,2018-03-27,2.58,2.81,2.57,2.63
KCS,2018-03-28,2.63,2.65,2.51,2.59
