ticker,date,open,high,low,close
KLAY,2020-03-02,0.193,0.223,0.193,0.2019
KLAY,2020-03-03,0.2019,0.2042,0.1844,0.1945
KLAY,2020-03-04,0.1945,0.1947,0.1882,0.193
KLAY,2020-03-05,0.193,0.204,0.193,0.1995
KLAY,2020-03-06,0.1995,0.2107,0.1995,0.2041
KLAY,2020-03-07,0.2041,0.206,0.1861,0.1973
KLAY,2020-03-08,0.1973,0.1973,0.1709,0.1709
KLAY,2020-03-09,0.1709,0.181,0.1685,0.181
KLAY,2020-03-10,0.181,0.181,0.1515,0.1737
KLAY,2020-03-11,0.1737,0.176,0.151,0.1727
KLAY,2020-03-12,0.1727,0.1727,0.08722,0.08757
KLAY,2020-03-13,0.08757,0.1109,0.08757,0.1075
KLAY,2020-03-14,0.1075,0.1075,0.09892,0.1062
KLAY,2020-03-15,0.1062,0.1251,0.1062,0.1251
KLAY,2020-03-16,0.1251,0.1251,0.1046,0.1079
KLAY,2020-03-17,0.1079,0.1172,0.1079,0.1119
KLAY,2020-03-18,0.1119,0.1138,0.1105,0.1119
KLAY,2020-03-19,0.1119,0.1478,0.1114,0.1254
KLAY,2020-03-20,0.1254,0.1258,0.1064,0.108
KLAY,2020-03-21,0.108,0.1098,0.09993,0.1098
KLAY,2020-03-22,0.1098,0.1098,0.09133,0.09885
KLAY,2020-03-23,0.09885,0.1104,0.09885,0.1025
KLAY,2020-03-24,0.1025,0.109,0.09765,0.1027
KLAY,2020-03-25,0.1027,0.1056,0.09479,0.09847
KLAY,2020-03-26,0.09847,0.1018,0.09461,0.09603
KLAY,2020-03-27,0.09603,0.09603,0.08617,0.08757
KLAY,2020-03-28,0.08757,0.08757,0.07816,0.08522
KLAY,2020-03-29,0.08522,0.09023,0.07735,0.08194
KLAY,2020-03-30,0.08194,0.09887,0.08194,0.0981
KLAY,2020-03-31,0.0981,0.09841,0.08832,0.09603
KLAY,2020-04-01,0.09603,0.09962,0.09202,0.09376
KLAY,2020-04-02,0.09376,0.09751,0.09336,0.09655
KLAY,2020-04-03,0.09655,0.09967,0.09104,0.09853
KLAY,2020-04-04,0.09853,0.1005,0.09475,0.09619
KLAY,2020-04-05,0.09619,0.09619,0.09074,0.09243
KLAY,2020-04-06,0.09243,0.1014,0.09243,0.1007
KLAY,2020-04-07,0.1007,0.1007,0.09787,0.09787
KLAY,2020-04-08,0.09787,0.1055,0.09787,0.09946
KLAY,2020-04-09,0.09946,0.09957,0.09848,0.09855
KLAY,2020-04-10,0.09855,0.09855,0.09132,0.0927
KLAY,2020-04-11,0.0927,0.1016,0.0914,0.09581
KLAY,2020-04-12,0.09581,0.09617,0.08988,0.09188
KLAY,2020-04-13,0.09188,0.09188,0.07717,0.08362
KLAY,2020-04-14,0.08362,0.08544,0.08076,0.0851
KLAY,2020-04-15,0.0851,0.0851,0.07021,0.07094
KLAY,2020-04-16,0.07094,0.08545,0.07094,0.08096
KLAY,2020-04-17,0.08096,0.08276,0.07389,0.08022
KLAY,2020-04-18,0.08022,0.08506,0.07845,0.08281
KLAY,2020-04-19,0.08281,0.08281,0.07133,0.07711
KLAY,2020-04-20,0.07711,0.1011,0.06842,0.07814
KLAY,2020-04-21,0.07814,0.08411,0.07814,0.07986
KLAY,2020-04-22,0.07986,0.1055,0.07986,0.08634
KLAY,2020-04-23,0.08634,0.09811,0.08545,0.0895
KLAY,2020-04-24,0.0895,0.09492,0.08546,0.08546
KLAY,2020-04-25,0.08546,0.08619,0.06981,0.08113
KLAY,2020-04-26,0.08113,0.08679,0.07509,0.08579
KLAY,2020-04-27,0.07507,0.07538,0.07007,0.07447
KLAY,2020-04-28,0.07447,0.07477,0.06997,0.06997
KLAY,2020-04-29,0.06997,0.06997,0.05826,0.06406
KLAY,2020-04-30,0.06406,0.07137,0.06406,0.06827
KLAY,2020-05-01,0.06827,0.0707,0.0661,0.0687
KLAY,2020-05-02,0.07037,0.08936,0.06889,0.07095
KLAY,2020-05-03,0.07095,0.0774,0.06716,0.07348
KLAY,2020-05-04,0.07348,0.07348,0.06697,0.06954
KLAY,2020-05-05,0.06954,0.07206,0.06619,0.0689
KLAY,2020-05-06,0.0689,0.1996,0.0689,0.07397
KLAY,2020-05-07,0.07397,0.07788,0.06857,0.07788
KLAY,2020-05-08,0.07788,0.08418,0.07708,0.08298
KLAY,2020-05-09,0.08298,0.0851,0.08,0.0849
KLAY,2020-05-10,0.0849,0.0849,0.0723,0.0821
KLAY,2020-05-11,0.0821,0.1059,0.0811,0.1034
KLAY,2020-05-12,0.1034,0.2002,0.1002,0.1134
KLAY,2020-05-13,0.1134,0.1163,0.09499,0.1004
KLAY,2020-05-14,0.1004,0.1011,0.0861,0.088
KLAY,2020-05-15,0.088,0.09034,0.07655,0.08444
KLAY,2020-05-16,0.08444,0.09127,0.08208,0.08607
KLAY,2020-05-17,0.08607,0.09478,0.08558,0.09188
KLAY,2020-05-18,0.09188,0.09768,0.08868,0.09768
KLAY,2020-05-19,0.09768,0.11,0.0897,0.11
KLAY,2020-05-20,0.11,0.1182,0.09887,0.1154
KLAY,2020-05-21,0.1154,0.1158,0.09855,0.1011
KLAY,2020-05-22,0.09838,0.1088,0.09838,0.1044
KLAY,2020-05-23,0.1044,0.1045,0.1021,0.1021
KLAY,2020-05-24,0.1012,0.102,0.09768,0.09818
KLAY,2020-05-25,0.09818,0.0986,0.0975,0.0977
KLAY,2020-05-26,0.0977,0.1162,0.0977,0.1162
KLAY,2020-05-27,0.1162,0.1186,0.1121,0.1144
KLAY,2020-05-28,0.1144,0.1349,0.113,0.1237
KLAY,2020-05-29,0.1237,0.1329,0.119,0.125
KLAY,2020-05-30,0.125,0.125,0.125,0.125
KLAY,2020-05-31,0.125,0.1364,0.1214,0.1333
KLAY,2020-06-01,0.1333,0.148,0.1257,0.1479
KLAY,2020-06-02,0.1479,0.1655,0.1331,0.1401
KLAY,2020-06-03,0.1401,0.1444,0.1227,0.142
KLAY,2020-06-04,0.142,0.33,0.142,0.3085
KLAY,2020-06-05,0.3085,0.3772,0.2013,0.2288
KLAY,2020-06-06,0.2288,0.3774,0.2029,0.2565
KLAY,2020-06-07,0.2444,0.2924,0.2444,0.2769
KLAY,2020-06-08,0.2783,0.3131,0.2783,0.2946
KLAY,2020-06-09,0.2946,0.2946,0.2235,0.2586
KLAY,2020-06-10,0.2586,0.2586,0.2053,0.2211
KLAY,2020-06-11,0.2211,0.2389,0.192,0.1969
KLAY,2020-06-12,0.1969,0.2186,0.1923,0.2089
KLAY,2020-06-13,0.2089,0.229,0.2055,0.2134
KLAY,2020-06-14,0.2134,0.2229,0.2059,0.2181
KLAY,2020-06-15,0.2181,0.2182,0.192,0.2106
KLAY,2020-06-16,0.2106,0.2122,0.1861,0.1969
KLAY,2020-06-17,0.1969,0.2009,0.1528,0.1739
KLAY,2020-06-18,0.1739,0.1765,0.1599,0.164
KLAY,2020-06-19,0.164,0.3506,0.1621,0.165
KLAY,2020-06-20,0.165,0.1787,0.164,0.1689
KLAY,2020-06-21,0.1689,0.3427,0.1676,0.1884
KLAY,2020-06-22,0.1884,0.1971,0.1756,0.1852
KLAY,2020-06-23,0.1852,0.1853,0.1614,0.1723
KLAY,2020-06-24,0.1723,0.1819,0.1611,0.1712
KLAY,2020-06-25,0.1712,0.1733,0.1612,0.1633
KLAY,2020-06-26,0.1633,0.1651,0.1605,0.1633
KLAY,2020-06-27,0.1633,0.1698,0.16,0.1619
KLAY,2020-06-28,0.1619,0.165,0.16,0.1648
KLAY,2020-06-29,0.1648,0.1818,0.1572,0.1634
KLAY,2020-06-30,0.1634,0.1634,0.1506,0.16
KLAY,2020-07-01,0.16,0.1632,0.15,0.1557
KLAY,2020-07-02,0.1557,0.159,0.14,0.143
KLAY,2020-07-03,0.143,0.1491,0.1366,0.1415
KLAY,2020-07-04,0.1415,0.1457,0.1377,0.1443
KLAY,2020-07-05,0.1443,0.1591,0.1401,0.1454
KLAY,2020-07-06,0.1454,0.1489,0.1388,0.1475
KLAY,2020-07-07,0.1475,0.1622,0.1401,0.1431
KLAY,2020-07-08,0.1431,0.1564,0.1402,0.1426
KLAY,2020-07-09,0.1426,0.1462,0.1405,0.1416
KLAY,2020-07-10,0.1416,0.1596,0.1416,0.1515
KLAY,2020-07-11,0.1515,0.1692,0.1515,0.1653
KLAY,2020-07-12,0.1653,0.1802,0.1587,0.1661
KLAY,2020-07-13,0.1661,0.1712,0.1549,0.1663
KLAY,2020-07-14,0.1663,0.1667,0.158,0.1663
KLAY,2020-07-15,0.1663,0.1663,0.156,0.1611
KLAY,2020-07-16,0.1611,0.1637,0.1541,0.1593
KLAY,2020-07-17,0.1593,0.1593,0.151,0.1575
KLAY,2020-07-18,0.1575,0.1659,0.1575,0.1596
KLAY,2020-07-19,0.1596,0.1682,0.1567,0.1653
KLAY,2020-07-20,0.1653,0.1682,0.1557,0.1585
KLAY,2020-07-21,0.1585,0.1586,0.1559,0.1564
KLAY,2020-07-22,0.1564,0.1595,0.1533,0.1584
KLAY,2020-07-23,0.1584,0.1585,0.1531,0.1533
KLAY,2020-07-24,0.1533,0.1563,0.1523,0.1553
KLAY,2020-07-25,0.1553,0.1574,0.1503,0.1572
KLAY,2020-07-26,0.1572,0.1572,0.1534,0.1566
KLAY,2020-07-27,0.1566,0.1573,0.1513,0.154
KLAY,2020-07-28,0.154,0.1564,0.1513,0.1564
KLAY,2020-07-29,0.1564,0.1584,0.1519,0.1542
KLAY,2020-07-30,0.1542,0.157,0.1481,0.157
KLAY,2020-07-31,0.157,0.1802,0.1441,0.158
KLAY,2020-08-01,0.158,0.17,0.1535,0.158
KLAY,2020-08-02,0.158,0.1609,0.1449,0.1581
KLAY,2020-08-03,0.1581,0.161,0.1489,0.16
KLAY,2020-08-04,0.16,0.201,0.1489,0.1845
KLAY,2020-08-05,0.1845,0.2517,0.1818,0.2317
KLAY,2020-08-06,0.2317,0.254,0.2041,0.2452
KLAY,2020-08-07,0.2452,0.25,0.233,0.233
KLAY,2020-08-08,0.233,0.31,0.233,0.301
KLAY,2020-08-09,0.301,0.3732,0.2697,0.3228
KLAY,2020-08-10,0.3228,0.3524,0.3104,0.3432
KLAY,2020-08-11,0.3432,0.4298,0.2879,0.4298
KLAY,2020-08-12,0.4298,0.7834,0.4143,0.6435
KLAY,2020-08-13,0.6435,0.7549,0.5702,0.6213
KLAY,2020-08-14,0.6213,0.6238,0.5022,0.5464
KLAY,2020-08-15,0.5464,0.6436,0.5265,0.6259
KLAY,2020-08-16,0.6259,0.6822,0.6031,0.6077
KLAY,2020-08-17,0.6077,0.6515,0.5812,0.597
KLAY,2020-08-18,0.597,0.7007,0.5592,0.6121
KLAY,2020-08-19,0.6121,0.73,0.5904,0.5913
KLAY,2020-08-20,0.5913,0.6226,0.5906,0.6226
KLAY,2020-08-21,0.6226,0.6643,0.5881,0.6388
KLAY,2020-08-22,0.6388,0.7407,0.6349,0.7257
KLAY,2020-08-23,0.7257,0.7863,0.6916,0.7692
KLAY,2020-08-24,0.7692,0.8208,0.7586,0.8208
KLAY,2020-08-25,0.8208,0.8252,0.7202,0.7758
KLAY,2020-08-26,0.7758,0.7758,0.7244,0.7708
KLAY,2020-08-27,0.7708,0.7753,0.7207,0.7499
KLAY,2020-08-28,0.7499,0.7708,0.7399,0.7562
KLAY,2020-08-29,0.7562,0.8373,0.7453,0.8158
KLAY,2020-08-30,0.8158,0.8298,0.7838,0.8205
KLAY,2020-08-31,0.8205,0.8298,0.8041,0.8089
KLAY,2020-09-01,0.8089,0.8268,0.7869,0.7904
KLAY,2020-09-02,0.7904,0.8133,0.7507,0.7841
KLAY,2020-09-03,0.7841,0.8277,0.7639,0.7639
KLAY,2020-09-04,0.7639,0.7663,0.6814,0.7206
KLAY,2020-09-05,0.7206,0.7496,0.6023,0.6319
KLAY,2020-09-06,0.6319,0.6836,0.5806,0.6836
KLAY,2020-09-07,0.6836,0.6836,0.6006,0.663
KLAY,2020-09-08,0.663,0.7007,0.62,0.6306
KLAY,2020-09-09,0.6306,0.7537,0.6236,0.7507
KLAY,2020-09-10,0.7507,0.754,0.6698,0.6911
KLAY,2020-09-11,0.6911,0.7066,0.6307,0.6735
KLAY,2020-09-12,0.6735,0.7202,0.6506,0.6865
KLAY,2020-09-13,0.6865,0.6866,0.6428,0.6487
KLAY,2020-09-14,0.6487,0.6582,0.6165,0.6502
KLAY,2020-09-15,0.6502,0.6607,0.5998,0.6375
KLAY,2020-09-16,0.6375,0.6483,0.5537,0.6187
KLAY,2020-09-17,0.6187,0.6603,0.5879,0.6097
KLAY,2020-09-18,0.6097,0.6228,0.6005,0.6099
KLAY,2020-09-19,0.6099,0.6432,0.6081,0.6143
KLAY,2020-09-20,0.6143,0.6198,0.6084,0.6142
KLAY,2020-09-21,0.6142,0.6142,0.5105,0.5503
KLAY,2020-09-22,0.5503,0.6121,0.5136,0.5539
KLAY,2020-09-23,0.5539,0.5843,0.5066,0.5073
KLAY,2020-09-24,0.5073,0.5452,0.4563,0.5056
KLAY,2020-09-25,0.5056,0.5305,0.4909,0.5128
KLAY,2020-09-26,0.5128,0.5752,0.4936,0.5285
KLAY,2020-09-27,0.5285,0.529,0.4926,0.5141
KLAY,2020-09-28,0.5141,0.5369,0.4905,0.5053
KLAY,2020-09-29,0.5053,0.5243,0.4798,0.4989
KLAY,2020-09-30,0.4989,0.5075,0.4755,0.4872
KLAY,2020-10-01,0.4872,0.5234,0.3733,0.4899
KLAY,2020-10-02,0.4899,0.5228,0.4404,0.467
KLAY,2020-10-03,0.467,0.5105,0.4534,0.4828
KLAY,2020-10-04,0.4828,0.5193,0.4423,0.4856
KLAY,2020-10-05,0.4856,0.4859,0.4596,0.4718
KLAY,2020-10-06,0.4718,0.4859,0.4553,0.4579
KLAY,2020-10-07,0.4579,0.4684,0.4128,0.4312
KLAY,2020-10-08,0.4312,0.4802,0.4022,0.4415
KLAY,2020-10-09,0.4415,0.549,0.4221,0.4898
KLAY,2020-10-10,0.4898,0.5441,0.4595,0.4979
KLAY,2020-10-11,0.4979,0.5105,0.4728,0.484
KLAY,2020-10-12,0.484,0.5053,0.4588,0.4662
KLAY,2020-10-13,0.4662,0.4774,0.4425,0.4554
KLAY,2020-10-14,0.4554,0.4662,0.4305,0.4465
KLAY,2020-10-15,0.4465,0.4765,0.4235,0.4405
KLAY,2020-10-16,0.4405,0.4805,0.4208,0.4393
KLAY,2020-10-17,0.4393,0.4482,0.4289,0.4423
KLAY,2020-10-18,0.4423,0.5302,0.4347,0.5184
KLAY,2020-10-19,0.5184,0.5184,0.4553,0.4919
KLAY,2020-10-20,0.4919,0.4949,0.4205,0.4334
KLAY,2020-10-21,0.4334,0.5062,0.3132,0.4723
KLAY,2020-10-22,0.4723,0.4879,0.4608,0.4714
