ticker,date,open,high,low,close
LEO,2019-06-19,1.842,1.855,1.83,1.848
LEO,2019-06-20,1.848,1.915,1.846,1.902
LEO,2019-06-21,1.902,1.91,1.8,1.849
LEO,2019-06-22,1.849,1.892,1.725,1.855
LEO,2019-06-23,1.855,1.939,1.832,1.875
LEO,2019-06-24,1.875,1.902,1.84,1.88
LEO,2019-06-25,1.88,1.916,1.865,1.9
LEO,2019-06-26,1.9,2.062,1.859,1.883
LEO,2019-06-27,1.884,1.937,1.71,1.748
LEO,2019-06-28,1.748,1.905,1.72,1.815
LEO,2019-06-29,1.814,1.92,1.791,1.904
LEO,2019-06-30,1.902,1.92,1.75,1.768
LEO,2019-07-01,1.768,1.806,1.744,1.789
LEO,2019-07-02,1.789,1.79,1.66,1.71
LEO,2019-07-03,1.711,1.756,1.661,1.703
LEO,2019-07-04,1.703,1.806,1.69,1.784
LEO,2019-07-05,1.79,1.8,1.68,1.756
LEO,2019-07-06,1.756,1.77,1.71,1.714
LEO,2019-07-07,1.714,1.73,1.689,1.7
LEO,2019-07-08,1.7,1.704,1.63,1.667
LEO,2019-07-09,1.667,1.667,1.457,1.575
LEO,2019-07-10,1.575,1.59,1.49,1.522
LEO,2019-07-11,1.522,1.57,1.463,1.554
LEO,2019-07-12,1.554,1.565,1.423,1.495
LEO,2019-07-13,1.495,1.5,1.43,1.435
LEO,2019-07-14,1.435,1.44,1.39,1.415
LEO,2019-07-15,1.415,1.466,1.367,1.438
LEO,2019-07-16,1.438,1.46,1.344,1.369
LEO,2019-07-17,1.369,1.38,1.26,1.339
LEO,2019-07-18,1.339,1.36,1.23,1.297
LEO,2019-07-19,1.297,1.332,1.205,1.242
LEO,2019-07-20,1.242,1.386,1.21,1.384
LEO,2019-07-21,1.384,1.386,1.229,1.269
LEO,2019-07-22,1.27,1.345,1.267,1.28
LEO,2019-07-23,1.28,1.34,1.26,1.31
LEO,2019-07-24,1.31,1.328,1.272,1.328
LEO,2019-07-25,1.328,1.328,1.28,1.29
LEO,2019-07-26,1.29,1.32,1.27,1.282
LEO,2019-07-27,1.282,1.291,1.26,1.287
LEO,2019-07-28,1.287,1.291,1.26,1.268
LEO,2019-07-29,1.268,1.344,1.246,1.343
LEO,2019-07-30,1.343,1.359,1.29,1.335
LEO,2019-07-31,1.335,1.339,1.291,1.302
LEO,2019-08-01,1.302,1.316,1.28,1.315
LEO,2019-08-02,1.315,1.317,1.27,1.285
LEO,2019-08-03,1.285,1.321,1.28,1.321
LEO,2019-08-04,1.321,1.325,1.27,1.315
LEO,2019-08-05,1.315,1.324,1.286,1.313
LEO,2019-08-06,1.313,1.346,1.237,1.254
LEO,2019-08-07,1.254,1.268,1.244,1.267
LEO,2019-08-08,1.267,1.272,1.244,1.254
LEO,2019-08-09,1.254,1.255,1.215,1.23
LEO,2019-08-10,1.23,1.236,1.21,1.231
LEO,2019-08-11,1.231,1.353,1.225,1.32
LEO,2019-08-12,1.32,1.32,1.247,1.266
LEO,2019-08-13,1.266,1.266,1.23,1.235
LEO,2019-08-14,1.235,1.31,1.225,1.26
LEO,2019-08-15,1.26,1.26,1.212,1.22
LEO,2019-08-16,1.219,1.228,1.17,1.17
LEO,2019-08-17,1.17,1.286,1.164,1.209
LEO,2019-08-18,1.209,1.315,1.205,1.29
LEO,2019-08-19,1.29,1.32,1.277,1.319
LEO,2019-08-20,1.319,1.35,1.291,1.31
LEO,2019-08-21,1.31,1.318,1.18,1.205
LEO,2019-08-22,1.205,1.216,1.179,1.215
LEO,2019-08-23,1.214,1.222,1.185,1.205
LEO,2019-08-24,1.205,1.21,1.169,1.18
LEO,2019-08-25,1.18,1.2,1.16,1.177
LEO,2019-08-26,1.177,1.215,1.16,1.188
LEO,2019-08-27,1.188,1.2,1.172,1.194
LEO,2019-08-28,1.195,1.198,1.15,1.155
LEO,2019-08-29,1.155,1.158,1.135,1.139
LEO,2019-08-30,1.139,1.145,1.131,1.142
LEO,2019-08-31,1.138,1.143,1.116,1.138
LEO,2019-09-01,1.139,1.147,1.11,1.139
LEO,2019-09-02,1.139,1.153,0.0219,1.145
LEO,2019-09-03,1.145,1.145,1.12,1.129
LEO,2019-09-04,1.129,1.135,1.106,1.112
LEO,2019-09-05,1.112,1.112,1.07,1.071
LEO,2019-09-06,1.071,1.073,1.057,1.062
LEO,2019-09-07,1.062,1.072,1.057,1.065
LEO,2019-09-08,1.065,1.075,1.058,1.07
LEO,2019-09-09,1.07,1.072,0.02044,1.054
LEO,2019-09-10,1.054,1.059,1.047,1.058
LEO,2019-09-11,1.058,1.07,1.055,1.069
LEO,2019-09-12,1.069,1.075,1.066,1.075
LEO,2019-09-13,1.075,1.076,1.05,1.054
LEO,2019-09-14,1.054,1.06,1.046,1.059
LEO,2019-09-15,1.059,1.075,1.057,1.073
LEO,2019-09-16,1.073,1.088,1.061,1.082
LEO,2019-09-17,1.082,1.117,1.082,1.111
LEO,2019-09-18,1.112,1.122,1.104,1.109
LEO,2019-09-19,1.109,1.109,1.091,1.093
LEO,2019-09-20,1.093,1.096,1.075,1.085
LEO,2019-09-21,1.085,1.087,1.072,1.08
LEO,2019-09-22,1.08,1.085,0.007979,1.084
LEO,2019-09-23,1.084,1.086,1.06,1.063
LEO,2019-09-24,1.063,1.076,1.045,1.052
LEO,2019-09-25,1.052,1.06,1.045,1.051
