ticker,date,open,high,low,close
LQTY,2022-05-15,1.56201,1.63261,1.55178,1.57601
LQTY,2022-05-16,1.59598,1.6924,1.47618,1.69223
LQTY,2022-05-17,1.68,1.95,1.62,1.7
LQTY,2022-05-18,1.7,1.75,1.57,1.6
LQTY,2022-05-19,1.6,1.67,1.56,1.67
LQTY,2022-05-20,1.67,1.69,1.56,1.58
LQTY,2022-05-21,1.58,1.62,1.56,1.61
LQTY,2022-05-22,1.61,1.77,1.57,1.64
LQTY,2022-05-23,1.30311,1.44325,1.30311,1.30324
LQTY,2022-05-24,1.30324,1.30337,1.30298,1.30298
LQTY,2022-05-25,1.45,1.47,1.30298,1.30324
LQTY,2022-05-26,1.30324,1.41464,1.30324,1.30351
LQTY,2022-05-27,1.30351,1.30675,1.19,1.30351
LQTY,2022-05-28,1.19,1.34,1.18,1.26
LQTY,2022-05-29,1.25,1.25,1.18,1.21
LQTY,2022-05-30,1.21,1.29,1.19,1.25
LQTY,2022-05-31,1.27,1.5,1.27,1.34
LQTY,2022-06-01,1.32,1.32,1.2,1.2
LQTY,2022-06-02,1.2159,1.26966,1.16895,1.17234
LQTY,2022-06-03,1.18513,1.28749,1.16828,1.28749
LQTY,2022-06-04,1.20822,1.20884,1.12394,1.20884
LQTY,2022-06-05,1.19822,1.21982,1.14,1.16
LQTY,2022-06-06,1.17,1.29,1.14,1.15
LQTY,2022-06-07,1.17,1.24,1.1,1.24
LQTY,2022-06-08,1.25,1.27,1.10815,1.10969
LQTY,2022-06-09,1.0968,1.22318,1.07688,1.07688
LQTY,2022-06-10,1.09209,1.12088,1.04331,1.06076
LQTY,2022-06-11,1.05,1.06,0.88,0.99
LQTY,2022-06-12,0.98,1.03,0.89,0.89
LQTY,2022-06-13,0.91,0.91,0.71,0.78
LQTY,2022-06-14,0.77,1.01,0.72,0.9
LQTY,2022-06-15,0.88,1.36,0.75,1.05
LQTY,2022-06-16,1.04084,1.33972,0.95785,1.19942
LQTY,2022-06-17,1.35095,1.38828,1.02,1.08
LQTY,2022-06-18,1.08,1.12,0.85,0.92
LQTY,2022-06-19,0.950477,0.959658,0.858211,0.953255
LQTY,2022-06-20,0.97,1.12,0.92,0.99
LQTY,2022-06-21,0.97,1.07,0.94,0.96
LQTY,2022-06-22,0.96,1.05,0.93,0.96
LQTY,2022-06-23,0.94,1.07,0.89,1.0
LQTY,2022-06-24,0.98,1.03,0.97,1.02
LQTY,2022-06-25,1.04,1.14,0.98,1.06
LQTY,2022-06-26,1.05,1.13,1.03,1.07
LQTY,2022-06-27,1.07,1.16,1.01,1.12
LQTY,2022-06-28,1.09434,1.09895,1.0253,1.04482
LQTY,2022-06-29,1.04,1.1,1.01,1.03
LQTY,2022-06-30,1.04,1.08,0.971733,0.986515
LQTY,2022-07-01,0.984417,1.01079,0.943771,0.96224
LQTY,2022-07-02,0.95,0.99,0.93,0.96
LQTY,2022-07-03,0.99,1.12,0.9,0.97
LQTY,2022-07-04,0.97,1.0003,0.92,0.976826
LQTY,2022-07-05,0.977725,1.02876,0.918988,0.974027
LQTY,2022-07-06,0.974027,1.00909,0.91709,0.93507
LQTY,2022-07-07,0.94466,1.0011,0.920586,0.964821
LQTY,2022-07-08,0.961423,1.07935,0.951743,1.0
LQTY,2022-07-09,1.0001,1.07875,0.950829,0.97072
LQTY,2022-07-10,0.98,0.99,0.93,0.939636
LQTY,2022-07-11,0.939636,0.949835,0.923253,0.930462
LQTY,2022-07-12,0.926872,1.21878,0.907392,1.04045
LQTY,2022-07-13,1.07377,1.09031,0.93307,0.93316
LQTY,2022-07-14,0.93376,0.9953,0.92746,0.94634
LQTY,2022-07-15,0.94643,0.959724,0.917058,0.932527
LQTY,2022-07-16,0.939718,1.02019,0.905719,0.929914
LQTY,2022-07-17,0.929758,0.952887,0.909527,0.915444
LQTY,2022-07-18,0.918923,0.986152,0.918923,0.931586
LQTY,2022-07-19,0.931576,0.98081,0.925698,0.947652
LQTY,2022-07-20,0.946405,0.979951,0.929907,0.931047
LQTY,2022-07-21,0.93053,0.973053,0.920255,0.968503
LQTY,2022-07-22,0.964477,1.08842,0.95341,0.969213
LQTY,2022-07-23,0.969984,0.982159,0.950519,0.960425
LQTY,2022-07-24,0.983539,0.983618,0.93674,0.953191
LQTY,2022-07-25,0.943389,1.0799,0.911,0.934184
LQTY,2022-07-26,0.931293,0.999,0.8992,0.910982
LQTY,2022-07-27,0.907627,0.94263,0.885538,0.91872
LQTY,2022-07-28,0.917075,0.923309,0.9068,0.915674
LQTY,2022-07-29,0.927032,0.933903,0.912919,0.916376
LQTY,2022-07-30,0.916366,0.940329,0.898569,0.911792
LQTY,2022-07-31,0.914947,0.928723,0.911464,0.923231
LQTY,2022-08-01,0.928751,0.93301,0.898997,0.898997
LQTY,2022-08-02,0.900361,0.940257,0.893441,0.898162
LQTY,2022-08-03,0.898989,0.927148,0.891058,0.897615
LQTY,2022-08-04,0.897606,0.940175,0.888107,0.92402
LQTY,2022-08-05,0.898136,0.954243,0.892346,0.908273
LQTY,2022-08-06,0.912983,0.929486,0.908764,0.916965
LQTY,2022-08-07,0.938916,0.939525,0.897526,0.919975
LQTY,2022-08-08,0.928576,1.25024,0.901426,1.19964
LQTY,2022-08-09,1.17934,1.72286,1.09026,1.09743
LQTY,2022-08-10,1.10233,1.28098,1.0275,1.19486
LQTY,2022-08-11,1.19566,1.25521,1.10595,1.1461
LQTY,2022-08-12,1.13247,1.18149,1.12386,1.14822
LQTY,2022-08-13,1.15326,1.29951,1.0683,1.15844
LQTY,2022-08-14,1.15725,1.15726,0.991868,1.07263
LQTY,2022-08-15,1.0704,1.14961,1.03243,1.03774
LQTY,2022-08-16,1.04205,1.06028,1.00889,1.03088
LQTY,2022-08-17,1.03089,1.058,1.0064,1.02137
LQTY,2022-08-18,1.02128,1.0478,1.01271,1.03034
LQTY,2022-08-19,1.0237,1.0318,0.91189,0.9211
LQTY,2022-08-20,0.91847,0.97568,0.88088,0.94837
LQTY,2022-08-21,0.92046,0.92046,0.89444,0.89488
LQTY,2022-08-22,0.90603,0.94505,0.87902,0.89927
LQTY,2022-08-23,0.89926,0.93072,0.88718,0.91903
LQTY,2022-08-24,0.91899,1.01329,0.89777,0.93697
LQTY,2022-08-25,0.93696,1.07711,0.92486,0.99108
LQTY,2022-08-26,0.99096,1.07543,0.94461,0.9589
LQTY,2022-08-27,0.95859,1.04055,0.94022,0.94743
LQTY,2022-08-28,0.94003,0.96253,0.94003,0.9426
LQTY,2022-08-29,0.94182,0.95406,0.93235,0.95406
LQTY,2022-08-30,0.95247,0.954629,0.922046,0.936712
LQTY,2022-08-31,0.624702,0.731877,0.624702,0.73078
LQTY,2022-09-01,0.730587,0.930181,0.717358,0.911745
LQTY,2022-09-02,0.914891,0.962944,0.9036,0.907691
LQTY,2022-09-03,0.918147,0.919274,0.9094,0.9172
LQTY,2022-09-04,0.727588,0.727588,0.727515,0.727515
LQTY,2022-09-05,0.727515,0.8942,0.727515,0.877588
LQTY,2022-09-06,0.882688,0.977598,0.8799,0.8927
LQTY,2022-09-07,0.891662,0.967052,0.854351,0.896327
LQTY,2022-09-08,0.891107,0.891107,0.865017,0.879941
LQTY,2022-09-09,0.896116,0.915547,0.881097,0.893295
LQTY,2022-09-10,0.893366,0.909709,0.885001,0.900262
LQTY,2022-09-11,0.900433,0.919049,0.899761,0.910055
LQTY,2022-09-12,0.892952,0.940226,0.880376,0.880376
LQTY,2022-09-13,0.878549,0.943528,0.830734,0.850917
LQTY,2022-09-14,0.851117,0.871852,0.828917,0.852113
LQTY,2022-09-15,0.864621,0.883924,0.829642,0.843949
LQTY,2022-09-16,0.837158,0.930107,0.810616,0.830417
LQTY,2022-09-17,0.821618,0.8907,0.8,0.808681
LQTY,2022-09-18,0.805,0.8373,0.7677,0.7873
LQTY,2022-09-19,0.7873,0.808119,0.7571,0.781678
LQTY,2022-09-20,0.780056,0.7994,0.7488,0.748875
LQTY,2022-09-21,0.747575,0.810181,0.718072,0.734473
LQTY,2022-09-22,0.7349,0.7642,0.7245,0.755524
LQTY,2022-09-23,0.7429,0.849815,0.7429,0.7982
LQTY,2022-09-24,0.812368,0.882912,0.809519,0.81889
LQTY,2022-09-25,0.8185,0.818582,0.731785,0.734178
LQTY,2022-09-26,0.735678,0.7601,0.729773,0.7375
LQTY,2022-09-27,0.7381,0.760324,0.720828,0.725927
