ticker,date,open,high,low,close
MINA,2021-09-30,4.005,4.138,3.981,4.067
MINA,2021-10-01,4.067,4.649,4.014,4.538
MINA,2021-10-02,4.538,4.671,4.419,4.46
MINA,2021-10-03,4.46,4.651,4.343,4.507
MINA,2021-10-04,4.507,4.508,4.219,4.291
MINA,2021-10-05,4.291,4.944,4.276,4.695
MINA,2021-10-06,4.695,4.881,4.316,4.573
MINA,2021-10-07,4.573,4.81,4.49,4.589
MINA,2021-10-08,4.589,4.732,4.459,4.505
MINA,2021-10-09,4.505,4.652,4.366,4.452
MINA,2021-10-10,4.452,4.486,4.132,4.157
MINA,2021-10-11,4.157,4.575,4.066,4.204
MINA,2021-10-12,4.204,4.318,3.952,4.179
MINA,2021-10-13,4.179,4.267,4.035,4.18
MINA,2021-10-14,4.18,4.519,4.132,4.35
MINA,2021-10-15,4.35,4.383,4.157,4.21
MINA,2021-10-16,4.21,4.299,4.092,4.181
MINA,2021-10-17,4.181,4.251,4.014,4.099
MINA,2021-10-18,4.099,4.176,3.982,4.082
MINA,2021-10-19,4.082,4.137,3.981,4.019
MINA,2021-10-20,4.019,4.39,4.0,4.295
MINA,2021-10-21,4.295,4.455,4.165,4.194
MINA,2021-10-22,4.194,4.398,4.13,4.204
MINA,2021-10-23,4.204,4.296,4.167,4.202
MINA,2021-10-24,4.202,4.771,4.157,4.596
MINA,2021-10-25,4.596,4.898,4.509,4.842
MINA,2021-10-26,4.842,5.329,4.803,4.938
MINA,2021-10-27,4.938,4.958,4.305,4.403
MINA,2021-10-28,4.403,4.98,4.318,4.662
MINA,2021-10-29,4.662,4.861,4.527,4.64
MINA,2021-10-30,4.64,4.816,4.33,4.48
MINA,2021-10-31,4.48,4.494,4.301,4.464
MINA,2021-11-01,4.464,4.696,4.343,4.44
MINA,2021-11-02,4.44,4.553,4.377,4.53
MINA,2021-11-03,4.53,4.652,4.348,4.448
MINA,2021-11-04,4.448,4.535,4.235,4.281
MINA,2021-11-05,4.281,4.352,4.233,4.31
MINA,2021-11-06,4.31,4.413,4.087,4.246
MINA,2021-11-07,4.246,4.541,4.153,4.401
MINA,2021-11-08,4.401,4.483,4.255,4.369
MINA,2021-11-09,4.369,4.536,4.244,4.266
MINA,2021-11-10,4.266,5.938,4.172,5.136
MINA,2021-11-11,5.136,6.67,4.917,5.894
MINA,2021-11-12,5.894,6.33,5.304,5.634
MINA,2021-11-13,5.634,6.04,5.352,5.474
MINA,2021-11-14,5.474,5.555,5.063,5.34
MINA,2021-11-15,5.34,5.647,5.051,5.077
MINA,2021-11-16,5.077,5.08,4.414,4.476
MINA,2021-11-17,4.476,4.83,4.269,4.647
MINA,2021-11-18,4.647,4.846,4.102,4.203
MINA,2021-11-19,4.203,4.899,4.159,4.719
MINA,2021-11-20,4.719,4.898,4.393,4.624
