ticker,date,open,high,low,close
NEO,2017-08-05,10.5,15.8,10.21,14.12
NEO,2017-08-06,14.12,17.25,13.3,15.97
NEO,2017-08-07,18.2,19.93,17.41,19.49
NEO,2017-08-08,19.49,20.29,15.68,18.25
NEO,2017-08-09,18.25,23.0,17.26,22.6
NEO,2017-08-10,22.6,41.72,21.51,37.6
NEO,2017-08-11,37.6,40.99,27.75,34.1
NEO,2017-08-12,34.1,38.56,30.7,37.72
NEO,2017-08-13,37.72,56.69,35.31,48.5
NEO,2017-08-14,48.5,54.8,45.4,48.32
NEO,2017-08-15,48.32,49.5,36.54,47.5
NEO,2017-08-16,47.5,52.3,44.62,45.99
NEO,2017-08-17,45.99,46.73,38.63,40.39
NEO,2017-08-18,40.39,41.76,30.54,38.88
NEO,2017-08-19,38.88,42.0,34.07,39.82
NEO,2017-08-20,39.82,41.2,37.99,38.5
NEO,2017-08-21,38.5,38.69,34.0,35.46
NEO,2017-08-22,35.46,36.36,31.5,35.6
NEO,2017-08-23,35.6,44.39,35.11,39.88
NEO,2017-08-24,39.88,42.28,39.36,41.9
NEO,2017-08-25,41.9,42.6,39.29,40.31
NEO,2017-08-26,40.31,40.87,37.0,38.82
NEO,2017-08-27,38.82,41.13,37.0,40.0
NEO,2017-08-28,40.0,40.35,37.0,38.5
NEO,2017-08-29,38.5,38.71,28.1,33.3
NEO,2017-08-30,33.3,36.02,30.0,33.33
NEO,2017-08-31,33.33,35.3,32.7,33.06
NEO,2017-09-01,33.06,33.85,28.7,31.8
NEO,2017-09-02,31.8,34.09,27.29,31.35
NEO,2017-09-03,31.35,32.88,28.45,30.81
NEO,2017-09-04,30.81,30.81,16.5,21.81
NEO,2017-09-05,21.81,24.5,18.5,23.4
NEO,2017-09-06,23.4,24.67,20.1,21.3
NEO,2017-09-07,21.3,34.0,20.21,30.98
NEO,2017-09-08,30.98,31.3,22.43,25.81
NEO,2017-09-09,25.81,25.96,22.27,22.6
NEO,2017-09-10,22.6,24.92,19.63,23.68
NEO,2017-09-11,23.68,24.54,21.52,21.96
NEO,2017-09-12,21.96,23.84,19.56,20.87
NEO,2017-09-13,20.87,21.4,17.64,20.03
NEO,2017-09-14,20.03,20.84,14.75,15.67
NEO,2017-09-15,15.67,19.28,13.12,18.72
NEO,2017-09-16,18.72,23.25,18.23,20.62
NEO,2017-09-17,20.62,20.62,18.17,19.8
NEO,2017-09-18,19.8,21.41,19.45,21.07
NEO,2017-09-19,21.07,21.77,18.89,19.96
NEO,2017-09-20,19.96,20.53,19.55,19.69
NEO,2017-09-21,19.69,19.89,16.57,17.26
NEO,2017-09-22,17.26,19.36,16.97,18.56
NEO,2017-09-23,18.56,20.62,18.22,20.05
NEO,2017-09-24,20.05,20.44,19.14,19.65
NEO,2017-09-25,19.65,27.42,19.59,25.94
NEO,2017-09-26,25.94,27.38,24.32,26.39
NEO,2017-09-27,26.39,34.01,26.38,31.82
NEO,2017-09-28,31.82,32.79,27.59,29.92
NEO,2017-09-29,29.92,30.46,25.96,28.64
NEO,2017-09-30,28.64,34.48,28.4,34.32
NEO,2017-10-01,34.32,35.96,31.84,35.72
NEO,2017-10-02,35.72,38.95,34.62,36.61
NEO,2017-10-03,36.61,36.77,31.88,33.57
NEO,2017-10-04,33.57,35.29,30.1,31.17
NEO,2017-10-05,31.17,33.63,28.83,32.28
NEO,2017-10-06,32.28,34.47,32.08,33.49
NEO,2017-10-07,33.49,36.27,33.16,35.88
NEO,2017-10-08,35.88,37.24,31.03,32.15
NEO,2017-10-09,32.15,32.98,26.64,28.96
NEO,2017-10-10,28.96,31.44,28.03,29.34
NEO,2017-10-11,29.34,31.28,29.32,30.03
NEO,2017-10-12,30.03,30.47,27.57,28.23
NEO,2017-10-13,28.23,29.83,26.7,29.34
NEO,2017-10-14,29.34,29.55,27.56,27.69
NEO,2017-10-15,27.69,28.38,27.01,27.87
NEO,2017-10-16,27.87,29.04,27.04,28.61
NEO,2017-10-17,28.6,32.56,27.7,31.36
NEO,2017-10-18,31.36,31.73,28.3,29.66
NEO,2017-10-19,29.65,30.02,28.52,28.81
NEO,2017-10-20,28.8,29.63,27.74,27.78
NEO,2017-10-21,27.72,28.22,25.87,27.12
NEO,2017-10-22,27.15,29.58,26.97,28.92
NEO,2017-10-23,28.57,28.62,26.51,27.82
NEO,2017-10-24,27.84,32.58,27.04,29.95
NEO,2017-10-25,29.95,30.21,28.51,28.62
NEO,2017-10-26,28.58,29.28,27.87,28.33
NEO,2017-10-27,28.33,29.24,28.23,28.88
NEO,2017-10-28,28.88,28.98,27.17,27.34
NEO,2017-10-29,27.34,28.54,27.1,27.77
NEO,2017-10-30,27.71,29.49,27.71,28.79
NEO,2017-10-31,28.79,31.46,28.31,28.39
NEO,2017-11-01,28.39,28.52,26.68,26.87
NEO,2017-11-02,26.74,26.82,22.61,24.62
NEO,2017-11-03,24.65,26.83,24.3,26.67
NEO,2017-11-04,26.67,27.67,25.81,26.44
NEO,2017-11-05,26.44,26.62,25.65,26.24
NEO,2017-11-06,26.43,26.82,25.95,26.23
NEO,2017-11-07,26.19,26.65,25.06,26.15
NEO,2017-11-08,26.15,32.88,25.97,30.1
NEO,2017-11-09,30.09,33.14,29.2,31.89
NEO,2017-11-10,31.9,32.45,26.46,27.97
