ticker,date,open,high,low,close
OKB,2018-05-11,3.248,3.457,2.906,3.251
OKB,2018-05-12,3.257,4.016,3.257,3.567
OKB,2018-05-13,3.56,3.987,3.56,3.795
OKB,2018-05-14,3.798,4.037,3.71,3.895
OKB,2018-05-15,3.894,4.937,3.741,4.882
OKB,2018-05-16,4.863,5.47,4.539,5.383
OKB,2018-05-17,5.356,5.773,4.745,5.62
OKB,2018-05-18,5.623,6.456,5.429,6.302
OKB,2018-05-19,6.289,6.578,4.285,4.605
OKB,2018-05-20,4.609,5.114,3.753,5.084
OKB,2018-05-21,5.085,5.453,3.854,3.863
OKB,2018-05-22,3.871,3.923,3.397,3.646
OKB,2018-05-23,3.636,3.636,3.197,3.534
OKB,2018-05-24,3.537,4.098,3.537,3.973
OKB,2018-05-25,3.976,3.976,3.634,3.801
OKB,2018-05-26,3.801,3.829,3.649,3.744
OKB,2018-05-27,3.74,3.876,3.605,3.8
OKB,2018-05-28,3.8,3.8,3.39,3.543
OKB,2018-05-29,3.543,3.938,3.473,3.709
OKB,2018-05-30,3.695,3.788,3.581,3.719
OKB,2018-05-31,3.719,4.233,3.719,4.097
OKB,2018-06-01,4.11,4.489,4.027,4.4
OKB,2018-06-02,4.4,4.676,4.379,4.496
OKB,2018-06-03,4.496,5.014,4.404,4.906
OKB,2018-06-04,4.89,4.89,4.553,4.762
OKB,2018-06-05,4.762,5.109,4.745,4.844
OKB,2018-06-06,4.844,4.873,4.759,4.787
OKB,2018-06-07,4.787,4.787,4.654,4.733
OKB,2018-06-08,4.733,5.066,4.642,4.997
OKB,2018-06-09,5.006,5.222,4.789,5.148
OKB,2018-06-10,5.157,5.157,3.962,4.211
OKB,2018-06-11,4.206,4.515,4.153,4.34
OKB,2018-06-12,4.346,4.346,3.787,4.062
OKB,2018-06-13,4.056,4.126,3.86,3.965
OKB,2018-06-14,3.97,4.477,3.97,4.232
OKB,2018-06-15,4.224,4.224,3.818,3.996
OKB,2018-06-16,3.958,4.039,3.891,4.027
OKB,2018-06-17,4.027,4.027,3.878,3.95
OKB,2018-06-18,3.95,4.161,3.95,4.02
OKB,2018-06-19,4.02,5.519,4.02,5.296
OKB,2018-06-20,5.294,5.294,4.879,4.948
OKB,2018-06-21,4.948,4.948,4.554,4.685
OKB,2018-06-22,4.684,4.684,4.067,4.173
OKB,2018-06-23,4.173,4.332,3.861,3.967
OKB,2018-06-24,3.967,3.967,3.61,3.756
OKB,2018-06-25,3.756,4.036,3.754,3.866
OKB,2018-06-26,3.866,3.866,3.566,3.677
OKB,2018-06-27,3.685,3.905,3.685,3.843
OKB,2018-06-28,3.834,4.354,3.618,3.654
OKB,2018-06-29,3.653,3.849,3.653,3.787
OKB,2018-06-30,3.777,3.951,3.764,3.81
OKB,2018-07-01,3.818,3.878,3.673,3.778
OKB,2018-07-02,3.78,4.495,3.78,4.037
OKB,2018-07-03,4.029,4.065,3.83,3.902
OKB,2018-07-04,3.903,3.99,3.897,3.925
OKB,2018-07-05,3.925,3.958,3.817,3.871
OKB,2018-07-06,3.871,3.971,3.806,3.834
OKB,2018-07-07,3.843,4.074,3.843,3.895
OKB,2018-07-08,3.905,3.984,3.793,3.884
OKB,2018-07-09,3.885,3.885,3.721,3.728
OKB,2018-07-10,3.726,3.726,3.362,3.488
OKB,2018-07-11,3.487,3.839,3.425,3.621
OKB,2018-07-12,3.613,3.613,3.442,3.506
OKB,2018-07-13,3.502,3.546,3.426,3.464
OKB,2018-07-14,3.464,3.48,3.42,3.428
OKB,2018-07-15,3.428,3.642,3.428,3.548
OKB,2018-07-16,3.545,3.811,3.545,3.638
