ticker,date,open,high,low,close
OMG,2017-07-14,0.5,0.7,0.45,0.5526
OMG,2017-07-15,0.5526,0.6982,0.4201,0.426
OMG,2017-07-16,0.426,0.5209,0.315,0.38
OMG,2017-07-17,0.38,0.594,0.3748,0.5819
OMG,2017-07-18,0.5819,0.8997,0.5463,0.7506
OMG,2017-07-19,0.7506,0.8121,0.5599,0.561
OMG,2017-07-20,0.561,0.7366,0.561,0.6521
OMG,2017-07-21,0.6521,0.7851,0.63,0.746
OMG,2017-07-22,0.746,0.9,0.7349,0.87
OMG,2017-07-23,0.87,1.62,0.84,1.48
OMG,2017-07-24,1.48,1.64,1.26,1.52
OMG,2017-07-25,1.52,1.55,1.04,1.22
OMG,2017-07-26,1.22,1.3,1.02,1.19
OMG,2017-07-27,1.19,1.43,1.19,1.36
OMG,2017-07-28,1.36,1.41,1.1,1.16
OMG,2017-07-29,1.16,1.29,1.1,1.28
OMG,2017-07-30,1.28,1.33,1.17,1.19
OMG,2017-07-31,1.19,1.25,1.13,1.22
OMG,2017-08-01,1.22,1.38,1.16,1.33
OMG,2017-08-02,1.33,1.39,1.27,1.39
OMG,2017-08-03,1.39,2.12,1.34,1.95
OMG,2017-08-04,1.95,3.12,1.91,2.81
OMG,2017-08-05,2.81,3.9,2.15,3.6
OMG,2017-08-06,3.6,3.65,2.51,2.73
OMG,2017-08-07,2.73,3.26,2.6,3.05
OMG,2017-08-08,3.05,3.83,3.04,3.67
OMG,2017-08-09,3.67,3.71,3.21,3.43
OMG,2017-08-10,3.43,6.6,3.35,5.93
OMG,2017-08-11,5.93,7.75,5.27,7.25
OMG,2017-08-12,7.25,7.63,5.78,6.2
OMG,2017-08-13,6.2,7.5,5.24,6.88
OMG,2017-08-14,6.88,7.47,6.3,7.03
OMG,2017-08-15,7.03,7.13,6.08,6.72
OMG,2017-08-16,6.72,9.25,6.67,8.85
OMG,2017-08-17,8.85,9.55,8.27,8.32
OMG,2017-08-18,8.32,8.45,6.08,7.25
OMG,2017-08-19,7.25,8.0,6.23,7.82
OMG,2017-08-20,7.82,8.9,7.14,8.48
OMG,2017-08-21,8.48,8.6,7.27,7.65
OMG,2017-08-22,7.65,7.73,6.8,7.6
OMG,2017-08-23,7.6,8.68,7.49,8.19
OMG,2017-08-24,8.19,8.45,7.89,8.38
OMG,2017-08-25,8.38,8.5,7.93,8.18
OMG,2017-08-26,8.18,8.4,7.77,8.28
OMG,2017-08-27,8.28,8.38,7.99,8.34
OMG,2017-08-28,8.34,8.97,8.08,8.62
OMG,2017-08-29,8.62,9.76,8.44,9.48
OMG,2017-08-30,9.48,11.81,9.42,11.24
OMG,2017-08-31,11.24,12.2,10.75,11.82
OMG,2017-09-01,11.82,12.69,11.65,12.01
OMG,2017-09-02,12.01,12.12,9.8,10.85
OMG,2017-09-03,10.85,11.4,9.54,10.74
OMG,2017-09-04,10.74,10.74,7.33,8.81
OMG,2017-09-05,8.81,11.44,7.61,10.99
OMG,2017-09-06,10.99,11.9,10.3,11.6
OMG,2017-09-07,11.6,13.69,10.71,12.79
OMG,2017-09-08,12.79,13.49,10.36,11.44
OMG,2017-09-09,11.44,12.4,10.81,12.31
OMG,2017-09-10,12.31,12.4,10.58,11.38
OMG,2017-09-11,11.38,12.05,11.0,11.37
OMG,2017-09-12,11.37,13.7,10.92,11.68
OMG,2017-09-13,11.68,11.68,9.43,10.55
OMG,2017-09-14,10.55,11.14,7.55,8.1
OMG,2017-09-15,8.1,10.55,6.5,9.99
OMG,2017-09-16,9.99,10.67,9.21,9.9
OMG,2017-09-17,9.9,10.34,8.94,9.83
OMG,2017-09-18,9.83,11.4,9.82,10.99
OMG,2017-09-19,10.99,11.03,9.62,9.93
OMG,2017-09-20,9.93,9.98,9.03,9.04
OMG,2017-09-21,9.04,9.4,7.61,8.08
OMG,2017-09-22,8.08,8.95,7.83,8.61
OMG,2017-09-23,8.61,9.37,8.32,9.01
OMG,2017-09-24,9.01,9.14,8.43,8.6
OMG,2017-09-25,8.6,10.47,8.55,10.02
OMG,2017-09-26,10.02,10.36,9.63,9.72
OMG,2017-09-27,9.72,10.6,9.72,10.32
OMG,2017-09-28,10.32,11.53,10.03,10.46
OMG,2017-09-29,10.46,10.64,8.92,9.8
OMG,2017-09-30,9.8,10.34,9.69,10.15
OMG,2017-10-01,10.15,10.19,9.55,9.86
OMG,2017-10-02,9.86,10.04,9.07,9.21
OMG,2017-10-03,9.21,9.32,8.5,9.26
OMG,2017-10-04,9.26,9.28,8.52,8.68
OMG,2017-10-05,8.68,9.04,8.18,8.81
OMG,2017-10-06,8.81,8.91,8.46,8.67
OMG,2017-10-07,8.67,8.78,8.12,8.53
OMG,2017-10-08,8.53,8.64,7.61,7.76
OMG,2017-10-09,7.76,8.14,6.94,7.49
OMG,2017-10-10,7.49,8.4,7.28,8.09
OMG,2017-10-11,8.09,9.38,8.09,9.27
OMG,2017-10-12,9.27,9.59,8.17,8.22
OMG,2017-10-13,8.22,8.71,8.02,8.3
OMG,2017-10-14,8.3,8.34,8.0,8.04
OMG,2017-10-15,8.04,8.27,7.63,7.98
OMG,2017-10-16,7.98,8.11,7.61,7.82
OMG,2017-10-17,7.82,8.26,7.64,7.99
OMG,2017-10-18,7.95,8.08,7.6,7.82
OMG,2017-10-19,7.82,8.06,7.68,7.84
OMG,2017-10-20,7.84,7.85,7.27,7.28
OMG,2017-10-21,7.27,7.45,6.91,7.36
OMG,2017-10-22,7.36,7.79,7.32,7.65
OMG,2017-10-23,7.65,7.7,7.05,7.65
OMG,2017-10-24,7.65,8.7,7.4,8.1
OMG,2017-10-25,8.1,8.13,7.53,7.61
OMG,2017-10-26,7.65,7.81,7.42,7.62
OMG,2017-10-27,7.62,8.1,7.39,7.48
OMG,2017-10-28,7.48,7.56,7.16,7.17
OMG,2017-10-29,7.17,7.5,7.12,7.3
OMG,2017-10-30,7.3,7.43,7.15,7.24
OMG,2017-10-31,7.24,7.29,6.82,6.84
OMG,2017-11-01,6.84,6.98,6.02,6.03
OMG,2017-11-02,6.07,6.71,5.5,6.22
OMG,2017-11-03,6.22,6.82,6.1,6.71
OMG,2017-11-04,6.71,6.78,6.35,6.46
OMG,2017-11-05,6.46,6.49,6.13,6.27
OMG,2017-11-06,6.27,6.7,6.19,6.45
OMG,2017-11-07,6.47,6.68,6.07,6.32
OMG,2017-11-08,6.32,8.22,6.27,7.63
OMG,2017-11-09,7.62,8.48,7.51,8.03
OMG,2017-11-10,8.03,8.11,6.68,6.97
OMG,2017-11-11,6.97,7.56,6.85,7.27
OMG,2017-11-12,7.26,7.33,6.04,6.58
OMG,2017-11-13,6.58,7.67,6.54,7.51
OMG,2017-11-14,7.5,7.9,7.2,7.82
OMG,2017-11-15,7.82,8.04,7.26,7.73
OMG,2017-11-16,7.71,7.72,7.1,7.2
OMG,2017-11-17,7.19,7.79,7.09,7.58
OMG,2017-11-18,7.58,8.62,7.4,7.92
OMG,2017-11-19,7.92,8.24,7.63,7.81
OMG,2017-11-20,7.77,8.2,7.77,8.04
OMG,2017-11-21,8.04,8.1,7.53,7.65
OMG,2017-11-22,7.65,8.01,7.62,7.97
OMG,2017-11-23,7.97,8.18,7.67,7.69
OMG,2017-11-24,7.69,7.75,7.38,7.59
OMG,2017-11-25,7.6,8.96,7.57,8.75
OMG,2017-11-26,8.73,8.75,8.18,8.37
OMG,2017-11-27,8.45,9.52,8.4,9.5
OMG,2017-11-28,9.49,9.95,8.95,9.38
OMG,2017-11-29,9.4,9.43,6.42,7.87
OMG,2017-11-30,7.88,8.54,7.04,8.06
OMG,2017-12-01,8.06,8.97,7.73,8.87
OMG,2017-12-02,8.87,9.7,8.52,9.28
OMG,2017-12-03,9.28,10.14,8.73,9.42
OMG,2017-12-04,9.39,10.61,9.01,10.48
OMG,2017-12-05,10.48,10.56,9.72,9.97
OMG,2017-12-06,9.97,10.06,8.34,8.56
OMG,2017-12-07,8.58,8.91,7.62,7.62
OMG,2017-12-08,7.62,8.54,7.39,8.25
OMG,2017-12-09,8.25,9.07,8.0,8.39
OMG,2017-12-10,8.39,8.44,7.58,7.74
OMG,2017-12-11,7.74,9.47,7.74,9.0
OMG,2017-12-12,9.0,11.12,8.76,10.29
OMG,2017-12-13,10.32,11.51,9.46,10.61
OMG,2017-12-14,10.61,11.86,10.53,11.42
OMG,2017-12-15,11.42,11.67,9.85,11.67
OMG,2017-12-16,11.67,15.41,11.64,14.13
OMG,2017-12-17,14.13,17.58,13.6,15.56
OMG,2017-12-18,15.56,18.46,14.46,18.4
OMG,2017-12-19,18.4,21.54,16.26,17.8
OMG,2017-12-20,17.8,19.15,15.42,17.8
OMG,2017-12-21,17.8,18.91,15.65,17.06
OMG,2017-12-22,17.06,17.52,9.27,12.63
OMG,2017-12-23,12.63,15.45,12.34,14.04
OMG,2017-12-24,14.04,14.19,11.21,14.15
OMG,2017-12-25,14.15,15.55,13.64,15.32
OMG,2017-12-26,15.32,16.17,14.36,15.12
OMG,2017-12-27,15.12,15.74,13.93,14.88
OMG,2017-12-28,14.88,15.24,12.63,15.0
OMG,2017-12-29,15.0,16.76,14.4,15.87
OMG,2017-12-30,15.87,16.5,12.57,16.48
OMG,2017-12-31,16.48,21.99,15.21,19.6
OMG,2018-01-01,19.6,20.84,17.85,19.18
OMG,2018-01-02,19.18,22.56,18.53,20.14
OMG,2018-01-03,20.14,21.27,18.83,20.53
OMG,2018-01-04,20.53,21.97,19.34,19.68
OMG,2018-01-05,19.68,20.33,17.94,18.59
OMG,2018-01-06,18.59,19.76,17.98,19.18
OMG,2018-01-07,19.18,24.47,19.04,24.34
OMG,2018-01-08,24.34,28.46,18.99,23.76
OMG,2018-01-09,23.76,26.19,22.54,25.1
OMG,2018-01-10,25.1,25.37,21.5,23.15
OMG,2018-01-11,23.15,23.8,18.96,21.4
OMG,2018-01-12,21.4,23.01,20.09,22.54
OMG,2018-01-13,22.54,25.99,22.24,25.48
OMG,2018-01-14,25.48,25.67,21.79,23.45
OMG,2018-01-15,23.45,24.54,22.2,22.36
OMG,2018-01-16,22.36,22.44,13.33,16.95
OMG,2018-01-17,16.95,18.88,12.12,18.18
OMG,2018-01-18,18.18,19.2,16.67,17.26
OMG,2018-01-19,17.26,18.8,16.63,18.5
OMG,2018-01-20,18.5,19.81,18.41,19.66
OMG,2018-01-21,19.66,19.67,16.22,16.9
OMG,2018-01-22,16.9,17.9,14.06,15.62
