ticker,date,open,high,low,close
QNT,2019-02-05,2.196,2.375,2.153,2.174
QNT,2019-02-06,2.174,2.817,2.14,2.817
QNT,2019-02-07,2.817,3.375,2.464,3.11
QNT,2019-02-08,3.11,4.392,2.958,3.748
QNT,2019-02-09,3.748,4.383,3.603,4.383
QNT,2019-02-10,4.383,5.421,4.006,4.61
QNT,2019-02-11,4.61,5.038,3.611,3.882
QNT,2019-02-12,3.882,4.504,3.798,4.341
QNT,2019-02-13,4.341,4.471,4.075,4.468
QNT,2019-02-14,4.468,5.95,3.887,4.001
QNT,2019-02-15,4.001,4.42,3.773,3.938
QNT,2019-02-16,3.938,4.192,3.69,3.726
QNT,2019-02-17,3.726,4.258,3.726,4.258
QNT,2019-02-18,4.258,4.812,4.226,4.304
QNT,2019-02-19,4.304,4.348,3.924,4.081
QNT,2019-02-20,4.081,4.451,4.073,4.451
QNT,2019-02-21,4.451,4.496,4.173,4.252
QNT,2019-02-22,4.252,4.533,4.067,4.25
QNT,2019-02-23,4.25,4.593,3.942,4.004
QNT,2019-02-24,4.004,4.004,3.538,3.77
QNT,2019-02-25,3.77,3.844,3.461,3.611
QNT,2019-02-26,3.611,5.341,3.585,4.085
QNT,2019-02-27,4.085,4.252,3.754,4.045
QNT,2019-02-28,4.045,4.045,4.037,4.037
QNT,2019-03-01,4.037,4.513,3.989,4.513
QNT,2019-03-02,4.513,4.527,3.843,3.843
QNT,2019-03-03,3.843,3.919,3.709,3.896
QNT,2019-03-04,3.896,3.896,3.631,3.682
QNT,2019-03-05,3.682,4.254,3.649,4.099
QNT,2019-03-06,4.099,4.386,3.817,3.894
QNT,2019-03-07,3.894,3.921,3.502,3.637
QNT,2019-03-08,3.637,3.637,3.187,3.315
QNT,2019-03-09,3.315,3.449,3.162,3.172
QNT,2019-03-10,3.172,3.726,3.158,3.346
QNT,2019-03-11,3.346,3.604,3.232,3.236
QNT,2019-03-12,3.236,3.437,3.161,3.2
QNT,2019-03-13,3.2,3.425,3.116,3.184
QNT,2019-03-14,3.184,3.416,3.06,3.416
QNT,2019-03-15,3.416,3.635,3.142,3.601
QNT,2019-03-16,3.601,3.693,3.318,3.387
QNT,2019-03-17,3.387,3.805,3.296,3.452
QNT,2019-03-18,3.452,3.61,3.351,3.55
QNT,2019-03-19,3.55,3.83,3.408,3.671
QNT,2019-03-20,3.671,3.78,3.323,3.323
QNT,2019-03-21,3.323,3.87,3.274,3.385
QNT,2019-03-22,3.385,3.429,3.385,3.401
QNT,2019-03-23,3.401,3.506,3.338,3.338
QNT,2019-03-24,3.338,3.338,3.224,3.224
QNT,2019-03-25,3.224,3.787,2.943,3.186
QNT,2019-03-26,3.186,3.543,3.186,3.472
QNT,2019-03-27,3.472,3.601,3.217,3.251
QNT,2019-03-28,3.251,3.633,3.088,3.286
QNT,2019-03-29,3.286,3.464,3.084,3.164
QNT,2019-03-30,3.164,3.173,2.889,3.089
QNT,2019-03-31,3.089,3.13,2.883,3.043
QNT,2019-04-01,3.043,3.404,2.935,3.321
QNT,2019-04-02,3.321,4.166,3.321,3.845
QNT,2019-04-03,3.845,3.981,3.085,3.185
QNT,2019-04-04,3.185,3.838,2.948,3.262
QNT,2019-04-05,3.262,3.351,3.074,3.214
QNT,2019-04-06,3.214,3.22,2.873,2.891
QNT,2019-04-07,2.891,3.1,2.809,2.954
QNT,2019-04-08,2.954,3.15,2.949,3.023
QNT,2019-04-09,3.023,3.032,2.896,2.956
QNT,2019-04-10,2.956,3.638,2.956,3.36
QNT,2019-04-11,3.36,3.539,2.894,3.146
QNT,2019-04-12,3.146,3.308,2.968,2.988
