ticker,date,open,high,low,close
QTUM,2017-11-25,27.9,27.9,13.5,18.0
QTUM,2017-11-26,18.0,18.0,13.5,13.5
QTUM,2017-11-27,13.5,15.8,13.5,15.5
QTUM,2017-11-28,15.5,15.69,15.5,15.69
QTUM,2017-11-29,15.69,15.96,13.07,13.07
QTUM,2017-11-30,13.07,13.07,12.6,12.6
QTUM,2017-12-01,12.6,14.0,11.52,14.0
QTUM,2017-12-02,14.0,14.0,11.65,11.65
QTUM,2017-12-03,11.65,14.15,11.65,14.09
QTUM,2017-12-04,14.09,14.09,12.1,13.82
QTUM,2017-12-05,13.82,13.99,12.2,12.7
QTUM,2017-12-06,13.92,13.92,12.4,12.4
QTUM,2017-12-07,12.4,13.5,11.5,11.5
QTUM,2017-12-08,12.0,12.0,12.0,12.0
QTUM,2017-12-09,12.0,12.0,12.0,12.0
QTUM,2017-12-10,12.0,13.04,11.5,13.04
QTUM,2017-12-11,13.04,14.4,12.5,12.5
QTUM,2017-12-12,12.5,16.0,12.5,16.0
QTUM,2017-12-13,16.0,21.51,16.0,21.51
QTUM,2017-12-14,21.51,22.92,18.5,20.01
QTUM,2017-12-15,20.01,49.89,20.01,49.89
QTUM,2017-12-16,34.82,48.16,30.12,30.12
QTUM,2017-12-17,30.12,30.12,27.12,29.0
QTUM,2017-12-18,29.0,45.5,26.88,42.18
QTUM,2017-12-19,42.18,73.32,29.85,73.32
QTUM,2017-12-20,73.32,73.32,30.67,66.98
QTUM,2017-12-21,66.98,67.02,51.95,56.11
QTUM,2017-12-22,59.2,59.24,37.34,45.76
QTUM,2017-12-23,45.76,56.7,45.76,47.4
QTUM,2017-12-24,47.1,51.05,43.69,45.52
QTUM,2017-12-25,45.42,50.5,45.42,48.05
QTUM,2017-12-26,48.05,51.32,47.8,50.05
QTUM,2017-12-27,50.05,54.63,47.91,49.0
QTUM,2017-12-28,49.0,49.99,47.7,49.55
QTUM,2017-12-29,49.55,53.26,49.55,51.52
QTUM,2017-12-30,51.52,52.06,48.1,50.82
QTUM,2017-12-31,50.83,52.74,48.3,52.38
QTUM,2018-01-01,52.38,56.02,49.9,56.02
QTUM,2018-01-02,56.02,57.73,46.5,53.22
QTUM,2018-01-03,53.22,55.33,50.5,52.49
QTUM,2018-01-04,52.49,52.49,45.53,45.6
QTUM,2018-01-05,45.6,61.0,44.41,50.05
QTUM,2018-01-06,50.05,74.0,44.88,69.01
QTUM,2018-01-07,69.01,82.0,58.33,61.0
QTUM,2018-01-08,61.0,63.98,47.31,55.02
QTUM,2018-01-09,55.02,58.1,50.0,52.01
QTUM,2018-01-10,52.01,57.0,47.31,52.8
QTUM,2018-01-11,52.85,53.44,40.81,45.0
QTUM,2018-01-12,45.0,51.99,42.85,49.52
QTUM,2018-01-13,49.52,57.99,49.4,55.0
QTUM,2018-01-14,55.0,55.5,47.66,54.0
QTUM,2018-01-15,54.0,58.5,51.02,51.49
QTUM,2018-01-16,51.49,51.49,28.11,34.64
QTUM,2018-01-17,34.64,38.6,26.32,36.11
QTUM,2018-01-18,36.11,39.8,33.03,36.52
QTUM,2018-01-19,36.55,42.66,35.02,38.58
QTUM,2018-01-20,38.58,52.45,37.75,51.57
QTUM,2018-01-21,51.57,52.81,39.43,43.04
QTUM,2018-01-22,43.04,44.28,35.55,39.04
QTUM,2018-01-23,39.04,41.84,35.13,39.05
QTUM,2018-01-24,39.05,42.05,37.7,40.5
QTUM,2018-01-25,40.51,43.93,39.03,40.32
QTUM,2018-01-26,40.32,41.75,35.03,38.41
QTUM,2018-01-27,38.71,40.54,37.93,40.28
QTUM,2018-01-28,40.28,42.9,39.23,42.52
QTUM,2018-01-29,42.52,44.5,40.71,40.94
QTUM,2018-01-30,40.94,41.9,35.01,37.8
QTUM,2018-01-31,37.8,41.01,34.04,40.73
QTUM,2018-02-01,40.73,41.48,33.59,35.03
QTUM,2018-02-02,35.03,35.97,23.0,30.45
QTUM,2018-02-03,30.79,32.51,26.34,30.26
QTUM,2018-02-04,30.92,31.48,24.8,26.66
QTUM,2018-02-05,26.66,26.96,18.61,19.63
QTUM,2018-02-06,19.63,24.1,16.24,23.78
QTUM,2018-02-07,23.78,24.61,20.51,22.58
QTUM,2018-02-08,22.58,25.44,21.4,24.93
QTUM,2018-02-09,24.93,30.93,24.41,29.0
QTUM,2018-02-10,29.0,33.88,27.16,28.81
QTUM,2018-02-11,28.81,28.9,25.11,27.68
QTUM,2018-02-12,27.68,29.93,26.2,29.82
QTUM,2018-02-13,29.82,29.93,27.06,28.92
QTUM,2018-02-14,28.92,32.21,28.36,32.08
QTUM,2018-02-15,32.08,32.98,30.52,31.71
QTUM,2018-02-16,31.71,32.67,30.36,31.61
QTUM,2018-02-17,31.61,32.86,31.53,32.65
QTUM,2018-02-18,32.65,32.7,28.53,30.22
QTUM,2018-02-19,30.22,31.92,29.22,31.2
QTUM,2018-02-20,31.2,32.28,29.0,29.19
QTUM,2018-02-21,29.12,29.7,25.71,26.5
QTUM,2018-02-22,26.5,27.78,24.12,25.0
QTUM,2018-02-23,25.0,26.79,23.84,25.7
QTUM,2018-02-24,25.7,27.54,24.01,24.75
QTUM,2018-02-25,24.75,25.58,24.2,25.14
QTUM,2018-02-26,25.14,29.25,24.15,27.71
QTUM,2018-02-27,27.71,28.88,26.74,27.63
QTUM,2018-02-28,27.63,28.1,25.68,25.74
QTUM,2018-03-01,25.74,26.84,25.24,26.3
QTUM,2018-03-02,26.3,26.57,25.0,25.87
QTUM,2018-03-03,25.87,26.68,25.25,25.46
QTUM,2018-03-04,25.46,26.56,24.83,26.29
QTUM,2018-03-05,26.55,27.52,25.86,26.62
QTUM,2018-03-06,26.62,26.72,24.32,24.58
QTUM,2018-03-07,24.58,25.61,20.15,21.53
QTUM,2018-03-08,21.53,22.12,19.31,19.63
QTUM,2018-03-09,19.63,19.83,17.0,18.98
QTUM,2018-03-10,19.06,19.86,17.79,18.08
QTUM,2018-03-11,18.08,19.56,17.23,19.29
QTUM,2018-03-12,19.29,19.4,17.6,18.09
QTUM,2018-03-13,18.09,18.57,17.52,18.0
QTUM,2018-03-14,18.0,18.65,15.44,15.78
QTUM,2018-03-15,15.78,16.5,14.21,15.48
QTUM,2018-03-16,15.48,15.74,14.55,15.12
QTUM,2018-03-17,15.12,15.24,13.2,13.77
QTUM,2018-03-18,13.77,13.77,10.99,12.95
QTUM,2018-03-19,12.95,18.99,12.94,18.99
QTUM,2018-03-20,18.99,21.87,18.02,20.3
QTUM,2018-03-21,20.3,21.05,18.64,18.65
QTUM,2018-03-22,18.65,19.98,17.6,19.22
QTUM,2018-03-23,19.22,19.5,17.53,18.15
QTUM,2018-03-24,18.15,19.45,17.82,17.97
QTUM,2018-03-25,17.96,18.47,17.3,17.99
QTUM,2018-03-26,17.99,18.31,15.12,15.12
QTUM,2018-03-27,15.12,16.98,14.57,15.77
QTUM,2018-03-28,15.77,16.16,15.0,15.3
QTUM,2018-03-29,15.3,15.69,13.81,14.3
QTUM,2018-03-30,14.3,14.91,13.08,14.58
QTUM,2018-03-31,14.58,14.7,13.98,14.02
QTUM,2018-04-01,14.02,14.24,12.55,13.53
QTUM,2018-04-02,13.53,14.98,13.21,14.14
QTUM,2018-04-03,14.14,15.03,14.14,14.98
QTUM,2018-04-04,14.98,15.08,13.35,13.59
QTUM,2018-04-05,13.59,13.92,12.82,13.11
QTUM,2018-04-06,13.11,13.55,12.49,12.8
QTUM,2018-04-07,12.8,13.37,12.73,13.2
QTUM,2018-04-08,13.2,13.61,13.01,13.38
QTUM,2018-04-09,13.38,14.85,13.03,13.31
QTUM,2018-04-10,13.31,13.65,12.9,13.5
QTUM,2018-04-11,13.5,14.37,13.31,14.21
QTUM,2018-04-12,14.21,16.17,13.58,16.17
QTUM,2018-04-13,16.17,17.59,15.82,15.92
QTUM,2018-04-14,15.92,16.32,15.25,15.96
QTUM,2018-04-15,15.96,17.05,15.75,16.6
QTUM,2018-04-16,16.6,16.97,15.49,15.97
