ticker,date,open,high,low,close
SC,2015-08-25,0.000106,0.000106,3.3e-05,5.1e-05
SC,2015-08-26,5.1e-05,7.4e-05,3.1e-05,4.3e-05
SC,2015-08-27,4.3e-05,5.3e-05,3.8e-05,4e-05
SC,2015-08-28,4e-05,4.9e-05,3.5e-05,3.9e-05
SC,2015-08-29,3.9e-05,4.1e-05,3.4e-05,3.4e-05
SC,2015-08-30,3.4e-05,3.9e-05,2.7e-05,3e-05
SC,2015-08-31,3e-05,3.4e-05,2.8e-05,3e-05
SC,2015-09-01,3e-05,3.2e-05,3e-05,3e-05
SC,2015-09-02,3e-05,3.2e-05,2.7e-05,2.7e-05
SC,2015-09-03,2.7e-05,2.7e-05,2.3e-05,2.5e-05
SC,2015-09-04,2.5e-05,2.5e-05,2.3e-05,2.5e-05
SC,2015-09-05,2.5e-05,2.6e-05,2.3e-05,2.3e-05
SC,2015-09-06,2.3e-05,2.9e-05,2.3e-05,2.9e-05
SC,2015-09-07,2.9e-05,5e-05,2.6e-05,4.1e-05
SC,2015-09-08,4.1e-05,9.2e-05,3.9e-05,7.3e-05
SC,2015-09-09,7.3e-05,7.6e-05,4.5e-05,4.7e-05
SC,2015-09-10,4.7e-05,5.5e-05,3.8e-05,4.5e-05
SC,2015-09-11,4.5e-05,4.8e-05,3.8e-05,4.1e-05
SC,2015-09-12,4.1e-05,4.5e-05,3.1e-05,3.3e-05
SC,2015-09-13,3.3e-05,3.9e-05,3e-05,3.7e-05
SC,2015-09-14,3.7e-05,3.9e-05,3.4e-05,3.4e-05
SC,2015-09-15,3.4e-05,3.7e-05,3e-05,3.4e-05
SC,2015-09-16,3.4e-05,3.4e-05,3e-05,3e-05
SC,2015-09-17,3e-05,3.3e-05,2.8e-05,3e-05
SC,2015-09-18,3e-05,3.3e-05,2.8e-05,3e-05
SC,2015-09-19,3e-05,3e-05,2.5e-05,2.8e-05
SC,2015-09-20,2.8e-05,3.2e-05,2.8e-05,2.8e-05
SC,2015-09-21,2.8e-05,3.2e-05,2.7e-05,2.9e-05
SC,2015-09-22,2.9e-05,3.2e-05,2.9e-05,3e-05
SC,2015-09-23,3e-05,3.4e-05,3e-05,3e-05
SC,2015-09-24,3e-05,3.5e-05,3e-05,3.3e-05
SC,2015-09-25,3.3e-05,3.3e-05,3.1e-05,3.1e-05
SC,2015-09-26,3.1e-05,3.3e-05,2.8e-05,3.3e-05
SC,2015-09-27,3.3e-05,3.3e-05,2.8e-05,3e-05
SC,2015-09-28,3e-05,3.3e-05,2.9e-05,2.9e-05
SC,2015-09-29,2.9e-05,3.1e-05,2.8e-05,2.8e-05
SC,2015-09-30,2.8e-05,3.1e-05,2.4e-05,2.8e-05
SC,2015-10-01,2.8e-05,3.1e-05,2.6e-05,2.8e-05
SC,2015-10-02,2.8e-05,3.1e-05,2.6e-05,2.8e-05
SC,2015-10-03,2.8e-05,3.1e-05,2.6e-05,2.6e-05
SC,2015-10-04,2.6e-05,3.1e-05,2.6e-05,2.9e-05
SC,2015-10-05,2.9e-05,3.1e-05,2.6e-05,2.9e-05
SC,2015-10-06,2.9e-05,3e-05,2.5e-05,2.7e-05
SC,2015-10-07,2.7e-05,3.2e-05,2.4e-05,2.7e-05
SC,2015-10-08,2.7e-05,4.4e-05,2.4e-05,3.2e-05
SC,2015-10-09,3.2e-05,3.4e-05,2.7e-05,3.2e-05
SC,2015-10-10,3.2e-05,3.4e-05,2.7e-05,2.9e-05
SC,2015-10-11,2.9e-05,3.2e-05,2.9e-05,3e-05
SC,2015-10-12,3e-05,3.9e-05,2.9e-05,3.9e-05
SC,2015-10-13,3.9e-05,4.2e-05,3.2e-05,3.7e-05
SC,2015-10-14,3.7e-05,4e-05,3.5e-05,3.5e-05
SC,2015-10-15,3.5e-05,4.1e-05,3.3e-05,3.8e-05
SC,2015-10-16,3.8e-05,5e-05,3.7e-05,4.7e-05
SC,2015-10-17,4.7e-05,4.9e-05,4e-05,4.3e-05
SC,2015-10-18,4.3e-05,5.5e-05,4.2e-05,4.7e-05
SC,2015-10-19,4.7e-05,5.5e-05,4.2e-05,5e-05
SC,2015-10-20,5e-05,5.4e-05,3.8e-05,4e-05
SC,2015-10-21,4e-05,5.1e-05,4e-05,4.5e-05
SC,2015-10-22,4.5e-05,4.9e-05,3.8e-05,4.4e-05
SC,2015-10-23,4.4e-05,4.4e-05,3.6e-05,4.2e-05
SC,2015-10-24,4.2e-05,4.2e-05,3.7e-05,4e-05
