ticker,date,open,high,low,close
SUSHI,2020-09-01,11.0,11.5,8.609,8.823
SUSHI,2020-09-02,8.823,9.509,5.986,7.257
SUSHI,2020-09-03,7.257,8.926,4.679,4.875
SUSHI,2020-09-04,4.875,5.754,4.361,4.575
SUSHI,2020-09-05,4.575,5.073,1.333,1.885
SUSHI,2020-09-06,1.885,3.502,1.131,3.183
SUSHI,2020-09-07,3.183,3.373,2.194,2.855
SUSHI,2020-09-08,2.855,2.972,2.282,2.374
SUSHI,2020-09-09,2.374,3.189,2.16,2.88
SUSHI,2020-09-10,2.88,3.142,2.258,2.388
SUSHI,2020-09-11,2.388,2.949,2.038,2.716
SUSHI,2020-09-12,2.716,2.733,2.316,2.626
SUSHI,2020-09-13,2.626,2.639,2.187,2.329
SUSHI,2020-09-14,2.329,2.666,2.16,2.467
SUSHI,2020-09-15,2.467,2.646,1.69,1.76
SUSHI,2020-09-16,1.76,1.823,1.469,1.518
SUSHI,2020-09-17,1.518,1.659,1.32,1.538
SUSHI,2020-09-18,1.538,1.867,1.534,1.695
SUSHI,2020-09-19,1.695,1.947,1.609,1.774
SUSHI,2020-09-20,1.774,1.938,1.575,1.644
SUSHI,2020-09-21,1.644,1.743,1.365,1.411
SUSHI,2020-09-22,1.411,1.463,1.324,1.392
SUSHI,2020-09-23,1.392,1.453,1.223,1.264
SUSHI,2020-09-24,1.264,1.475,1.248,1.409
SUSHI,2020-09-25,1.409,1.444,1.337,1.403
SUSHI,2020-09-26,1.403,1.444,1.357,1.398
SUSHI,2020-09-27,1.398,1.451,1.332,1.373
SUSHI,2020-09-28,1.373,1.393,1.255,1.271
SUSHI,2020-09-29,1.271,1.289,1.2,1.255
SUSHI,2020-09-30,1.255,1.327,1.242,1.283
SUSHI,2020-10-01,1.283,1.35,1.208,1.252
SUSHI,2020-10-02,1.252,1.263,1.045,1.117
SUSHI,2020-10-03,1.117,1.128,1.051,1.059
SUSHI,2020-10-04,1.059,1.069,0.8612,0.8787
SUSHI,2020-10-05,0.8787,0.9457,0.8232,0.8461
SUSHI,2020-10-06,0.8461,0.8522,0.627,0.6398
SUSHI,2020-10-07,0.6398,0.6824,0.5513,0.6776
SUSHI,2020-10-08,0.6776,0.7986,0.5994,0.7764
SUSHI,2020-10-09,0.7764,0.8647,0.7368,0.8277
SUSHI,2020-10-10,0.8277,0.8718,0.7343,0.7481
