ticker,date,open,high,low,close
UMA,2020-05-25,1.352,1.382,1.351,1.374
UMA,2020-05-26,1.374,1.374,1.354,1.368
UMA,2020-05-27,1.368,1.43,1.368,1.374
UMA,2020-05-28,1.374,1.456,1.364,1.364
UMA,2020-05-29,1.364,1.368,1.353,1.368
UMA,2020-05-30,1.368,1.514,1.368,1.481
UMA,2020-05-31,1.481,1.481,1.373,1.373
UMA,2020-06-01,1.373,1.479,1.373,1.462
UMA,2020-06-02,1.462,1.462,1.4,1.401
UMA,2020-06-03,1.401,1.453,1.401,1.453
UMA,2020-06-04,1.453,1.504,1.437,1.494
UMA,2020-06-05,1.494,1.494,1.471,1.479
UMA,2020-06-06,1.479,1.495,1.464,1.465
UMA,2020-06-07,1.465,1.481,1.424,1.456
UMA,2020-06-08,1.456,1.486,1.456,1.471
UMA,2020-06-09,1.471,1.502,1.451,1.492
UMA,2020-06-10,1.492,1.555,1.404,1.409
UMA,2020-06-11,1.409,1.409,1.278,1.28
UMA,2020-06-12,1.28,1.331,1.28,1.295
UMA,2020-06-13,1.295,1.3,1.284,1.293
UMA,2020-06-14,1.293,1.293,1.243,1.252
UMA,2020-06-15,1.252,1.257,1.237,1.247
UMA,2020-06-16,1.247,1.278,1.247,1.261
UMA,2020-06-17,1.261,1.333,1.246,1.321
UMA,2020-06-18,1.321,1.353,1.307,1.353
UMA,2020-06-19,1.353,1.353,1.203,1.316
UMA,2020-06-20,1.316,1.357,1.316,1.355
UMA,2020-06-21,1.355,1.435,1.337,1.433
UMA,2020-06-22,1.433,1.777,1.433,1.777
UMA,2020-06-23,1.777,1.91,1.745,1.903
UMA,2020-06-24,1.903,2.112,1.836,2.112
UMA,2020-06-25,2.112,2.235,2.087,2.206
UMA,2020-06-26,2.206,2.347,2.173,2.297
UMA,2020-06-27,2.297,2.371,2.196,2.23
UMA,2020-06-28,2.23,2.284,1.711,1.941
UMA,2020-06-29,1.941,1.969,1.832,1.839
UMA,2020-06-30,1.839,1.947,1.821,1.947
UMA,2020-07-01,1.947,2.07,1.947,2.07
UMA,2020-07-02,2.07,2.153,1.915,2.146
UMA,2020-07-03,2.146,2.146,2.133,2.135
UMA,2020-07-04,2.135,2.181,2.135,2.16
UMA,2020-07-05,2.16,2.16,2.107,2.107
UMA,2020-07-06,2.107,2.279,2.107,2.257
UMA,2020-07-07,2.257,2.257,2.146,2.146
UMA,2020-07-08,2.146,2.216,2.133,2.205
UMA,2020-07-09,2.205,2.205,1.93,1.944
UMA,2020-07-10,1.944,2.06,1.937,2.06
UMA,2020-07-12,2.043,2.074,1.957,1.957
UMA,2020-07-13,1.957,2.01,1.77,1.786
UMA,2020-07-14,1.786,1.793,1.654,1.717
UMA,2020-07-15,1.717,1.827,1.697,1.805
UMA,2020-07-17,1.769,1.883,1.763,1.883
UMA,2020-07-18,1.883,1.907,1.846,1.846
UMA,2020-07-19,1.846,1.924,1.846,1.897
UMA,2020-07-20,1.897,2.095,1.872,2.095
UMA,2020-07-21,2.095,2.224,2.08,2.111
UMA,2020-07-22,2.111,2.552,2.111,2.503
UMA,2020-07-23,2.503,2.941,2.503,2.941
UMA,2020-07-24,2.941,3.621,2.941,3.607
UMA,2020-07-25,3.607,4.643,3.607,4.331
UMA,2020-07-26,4.331,4.414,3.896,4.086
UMA,2020-07-28,4.23,4.251,3.794,3.794
UMA,2020-07-29,3.794,3.953,3.794,3.867
UMA,2020-07-30,3.867,4.164,3.867,4.164
UMA,2020-07-31,4.609,4.695,3.854,4.21
UMA,2020-08-01,4.21,5.29,3.89,4.3
UMA,2020-08-02,4.3,4.853,3.999,4.853
UMA,2020-08-03,4.853,4.855,4.04,4.55
UMA,2020-08-04,4.55,4.55,4.13,4.15
UMA,2020-08-05,4.15,4.407,3.804,4.23
UMA,2020-08-06,4.23,4.529,4.052,4.052
UMA,2020-08-07,4.052,4.529,4.0,4.347
UMA,2020-08-08,4.347,4.53,4.202,4.53
UMA,2020-08-09,4.53,4.94,4.203,4.23
UMA,2020-08-10,4.23,5.606,4.23,5.586
UMA,2020-08-11,5.586,6.097,4.998,5.697
UMA,2020-08-12,5.697,6.55,4.875,5.76
UMA,2020-08-13,5.76,6.653,5.555,6.608
UMA,2020-08-14,6.608,8.008,6.602,7.265
UMA,2020-08-15,7.235,8.432,6.546,7.437
UMA,2020-08-16,7.164,8.109,6.265,7.571
UMA,2020-08-17,7.532,7.532,6.365,6.853
UMA,2020-08-18,7.136,8.889,7.129,7.322
UMA,2020-08-19,7.324,8.814,6.938,6.974
UMA,2020-08-20,6.974,7.609,6.974,7.16
UMA,2020-08-21,7.186,7.233,6.381,6.542
UMA,2020-08-22,6.542,6.583,6.036,6.315
UMA,2020-08-23,6.549,6.549,6.291,6.373
UMA,2020-08-24,6.373,6.969,6.373,6.896
UMA,2020-08-25,6.762,6.994,5.756,6.557
UMA,2020-08-26,6.557,7.14,6.383,7.083
UMA,2020-08-27,7.083,8.602,6.968,8.559
UMA,2020-08-28,8.559,12.82,8.368,12.21
UMA,2020-08-29,12.21,19.4,10.57,10.57
UMA,2020-08-30,10.57,17.18,10.47,15.79
UMA,2020-08-31,15.79,24.27,15.69,22.21
UMA,2020-09-01,22.21,28.03,20.53,24.5
UMA,2020-09-02,24.5,25.14,18.09,23.49
UMA,2020-09-03,23.49,24.39,16.44,16.92
UMA,2020-09-04,16.92,19.18,16.23,18.4
UMA,2020-09-05,18.4,19.91,9.889,12.24
UMA,2020-09-06,12.03,16.56,11.08,15.89
UMA,2020-09-07,16.26,16.48,13.67,15.15
UMA,2020-09-08,15.15,17.04,14.02,15.58
UMA,2020-09-09,15.58,18.0,15.12,16.17
UMA,2020-09-10,16.24,17.49,15.93,16.97
UMA,2020-09-11,16.97,18.19,15.3,17.65
UMA,2020-09-12,17.65,19.9,17.2,18.83
UMA,2020-09-13,18.83,19.32,15.85,17.21
UMA,2020-09-14,17.21,17.97,16.33,17.31
UMA,2020-09-15,17.57,17.75,15.24,15.91
UMA,2020-09-16,15.91,16.08,14.0,14.39
UMA,2020-09-17,14.39,15.05,12.82,12.86
UMA,2020-09-18,12.86,13.7,11.6,11.65
UMA,2020-09-19,11.65,13.65,11.28,12.5
UMA,2020-09-20,12.5,16.17,12.08,13.2
