ticker,date,open,high,low,close
USDC,2018-12-14,1.01,1.02,1.0,1.01
USDC,2018-12-15,1.01,1.02,1.01,1.01
USDC,2018-12-16,1.01,1.03,0.9821,1.02
USDC,2018-12-17,1.02,1.04,1.0,1.02
USDC,2018-12-18,1.02,1.03,1.01,1.01
USDC,2018-12-19,1.01,1.03,0.9813,1.01
USDC,2018-12-20,1.01,1.03,0.9968,1.01
USDC,2018-12-21,1.01,1.03,1.0,1.02
USDC,2018-12-22,1.02,1.03,1.01,1.02
USDC,2018-12-23,1.02,1.04,1.0,1.01
USDC,2018-12-24,1.01,1.03,0.9996,1.02
USDC,2018-12-25,1.02,1.04,1.0,1.02
USDC,2018-12-26,1.02,1.03,1.0,1.02
USDC,2018-12-27,1.02,1.03,1.01,1.02
USDC,2018-12-28,1.02,1.04,1.01,1.02
USDC,2018-12-29,1.02,1.04,1.01,1.02
USDC,2018-12-30,1.02,1.04,1.0,1.02
USDC,2018-12-31,1.02,1.03,1.01,1.02
USDC,2019-01-01,1.02,1.04,1.01,1.02
USDC,2019-01-02,1.02,1.03,1.01,1.02
USDC,2019-01-03,1.02,1.03,0.994,1.02
USDC,2019-01-04,1.02,1.03,1.01,1.02
USDC,2019-01-05,1.02,1.03,1.0,1.02
USDC,2019-01-06,1.02,1.03,1.01,1.02
USDC,2019-01-07,1.02,1.03,0.9952,1.02
USDC,2019-01-08,1.02,1.02,1.0,1.02
USDC,2019-01-09,1.02,1.04,1.0,1.01
USDC,2019-01-10,1.01,1.03,0.998,0.9991
USDC,2019-01-11,0.9991,1.0,0.9978,0.9985
USDC,2019-01-12,0.9985,1.01,0.997,0.9992
USDC,2019-01-13,0.9992,1.01,0.9904,1.01
USDC,2019-01-14,1.01,1.01,0.99,0.9986
USDC,2019-01-15,0.9986,1.02,0.9985,0.9988
USDC,2019-01-16,0.9988,1.01,0.9982,0.9986
USDC,2019-01-17,0.9986,1.01,0.9985,0.9986
USDC,2019-01-18,0.9986,1.01,0.9986,0.9995
USDC,2019-01-19,0.9995,1.02,0.998,0.9997
USDC,2019-01-20,0.9997,1.01,0.9991,0.9998
USDC,2019-01-21,0.9998,1.01,0.9989,0.9992
USDC,2019-01-22,0.9992,1.0,0.9975,0.9993
USDC,2019-01-23,0.9993,1.01,0.9989,0.9994
USDC,2019-01-24,0.9994,1.01,0.9989,0.9994
USDC,2019-01-25,0.9994,1.01,0.9994,1.0
USDC,2019-01-26,1.0,1.01,0.9997,1.0
USDC,2019-01-27,1.0,1.01,0.9992,1.0
USDC,2019-01-28,1.0,1.02,0.9972,1.01
USDC,2019-01-29,1.01,1.01,1.0,1.01
USDC,2019-01-30,1.01,1.03,1.0,1.01
USDC,2019-01-31,1.01,1.02,1.0,1.01
USDC,2019-02-01,1.01,1.02,0.9993,1.01
USDC,2019-02-02,1.01,1.02,1.01,1.01
USDC,2019-02-03,1.01,1.02,1.01,1.01
USDC,2019-02-04,1.01,1.02,1.0,1.01
USDC,2019-02-05,1.01,1.01,1.0,1.01
USDC,2019-02-06,1.01,1.02,0.9992,1.01
USDC,2019-02-07,1.01,1.02,1.0,1.01
USDC,2019-02-08,1.01,1.03,0.9902,1.02
USDC,2019-02-09,1.02,1.02,0.9972,1.01
USDC,2019-02-10,1.01,1.03,1.01,1.01
USDC,2019-02-11,1.01,1.02,1.01,1.01
USDC,2019-02-12,1.01,1.02,1.0,1.01
USDC,2019-02-13,1.01,1.02,1.0,1.01
USDC,2019-02-14,1.01,1.02,1.01,1.01
USDC,2019-02-15,1.01,1.02,1.01,1.01
USDC,2019-02-16,1.01,1.02,1.01,1.02
USDC,2019-02-17,1.02,1.04,1.01,1.01
USDC,2019-02-18,1.01,1.03,1.0,1.02
USDC,2019-02-19,1.02,1.02,1.0,1.01
USDC,2019-02-20,1.01,1.02,1.01,1.01
USDC,2019-02-21,1.01,1.03,1.01,1.01
USDC,2019-02-22,1.01,1.02,1.01,1.02
USDC,2019-02-23,1.02,1.04,1.01,1.02
