ticker,date,open,high,low,close
WAVES,2017-08-04,3.95,3.95,3.6,3.6
WAVES,2017-08-05,3.6,4.58,3.6,4.29
WAVES,2017-08-06,4.29,5.23,4.28,5.01
WAVES,2017-08-07,5.01,5.73,4.56,5.48
WAVES,2017-08-08,5.48,5.7,4.98,5.51
WAVES,2017-08-09,5.51,5.51,4.62,5.11
WAVES,2017-08-10,5.11,5.52,5.11,5.52
WAVES,2017-08-11,5.52,5.62,5.15,5.5
WAVES,2017-08-12,5.5,5.5,4.82,4.96
WAVES,2017-08-13,4.96,5.18,4.49,4.86
WAVES,2017-08-14,4.86,4.87,4.5,4.5
WAVES,2017-08-15,4.5,5.03,4.3,4.73
WAVES,2017-08-16,4.73,4.75,4.4,4.4
WAVES,2017-08-17,4.4,4.8,4.37,4.59
WAVES,2017-08-18,4.59,4.67,4.0,4.0
WAVES,2017-08-19,4.0,4.41,4.0,4.41
WAVES,2017-08-20,4.41,4.94,4.4,4.94
WAVES,2017-08-21,4.94,4.94,4.4,4.4
WAVES,2017-08-22,4.4,4.66,3.83,4.4
WAVES,2017-08-23,4.4,4.73,4.4,4.66
WAVES,2017-08-24,4.66,4.9,4.59,4.9
WAVES,2017-08-25,4.9,5.38,4.9,5.15
WAVES,2017-08-26,5.15,5.5,5.15,5.15
WAVES,2017-08-27,5.15,5.43,5.15,5.18
WAVES,2017-08-28,5.18,5.33,5.0,5.2
WAVES,2017-08-29,5.2,5.41,5.18,5.41
WAVES,2017-08-30,5.41,5.41,5.15,5.17
WAVES,2017-08-31,5.17,5.28,5.17,5.28
WAVES,2017-09-01,5.28,5.29,5.2,5.29
WAVES,2017-09-02,5.29,5.29,4.61,5.29
WAVES,2017-09-03,5.12,5.28,4.61,5.19
WAVES,2017-09-04,4.52,5.0,4.31,4.31
WAVES,2017-09-05,4.64,4.95,4.26,4.95
WAVES,2017-09-06,5.07,5.29,4.52,4.52
WAVES,2017-09-07,4.52,5.05,4.52,4.91
WAVES,2017-09-08,5.01,5.01,4.46,4.59
WAVES,2017-09-09,4.35,4.58,4.35,4.4
WAVES,2017-09-10,4.33,4.33,4.0,4.0
WAVES,2017-09-11,4.49,4.49,3.8,4.32
WAVES,2017-09-12,4.32,4.6,4.29,4.36
WAVES,2017-09-13,4.36,4.36,3.8,3.83
WAVES,2017-09-14,3.85,4.05,3.45,3.5
WAVES,2017-09-15,3.45,4.69,3.15,3.15
WAVES,2017-09-16,3.79,4.68,3.79,3.9
WAVES,2017-09-17,3.8,3.8,3.53,3.65
WAVES,2017-09-18,3.7,4.24,3.7,4.17
WAVES,2017-09-19,4.07,4.14,4.0,4.12
WAVES,2017-09-20,4.1,4.24,3.94,4.22
WAVES,2017-09-21,4.23,4.23,3.59,3.79
WAVES,2017-09-22,3.66,3.84,3.54,3.69
WAVES,2017-09-23,3.81,3.95,3.71,3.91
WAVES,2017-09-24,3.9,3.94,3.8,3.88
WAVES,2017-09-25,3.92,4.3,3.92,4.19
WAVES,2017-09-26,4.17,4.65,4.17,4.55
WAVES,2017-09-27,4.75,5.1,4.75,5.0
WAVES,2017-09-28,5.17,5.17,4.8,4.8
WAVES,2017-09-29,4.8,5.0,4.46,5.0
WAVES,2017-09-30,4.83,5.12,4.83,5.08
WAVES,2017-10-01,4.99,4.99,4.5,4.89
WAVES,2017-10-02,4.9,4.9,4.9,4.9
WAVES,2017-10-03,4.9,4.94,4.79,4.83
WAVES,2017-10-04,4.74,5.0,4.62,4.98
WAVES,2017-10-05,4.97,5.0,4.74,5.0
WAVES,2017-10-06,5.01,5.07,4.91,4.91
WAVES,2017-10-07,4.97,5.03,4.71,4.72
WAVES,2017-10-08,4.95,5.02,4.62,4.62
WAVES,2017-10-09,4.26,4.66,4.04,4.04
WAVES,2017-10-10,4.04,4.22,3.85,4.22
WAVES,2017-10-11,4.13,4.41,4.12,4.41
WAVES,2017-10-12,4.15,4.23,4.0,4.07
WAVES,2017-10-13,3.75,3.86,3.67,3.73
WAVES,2017-10-14,3.94,4.0,3.89,3.95
WAVES,2017-10-15,3.91,3.91,3.33,3.76
WAVES,2017-10-16,4.0,4.0,4.0,4.0
WAVES,2017-10-17,3.85,3.85,3.85,3.85
WAVES,2017-10-18,3.69,3.7,3.69,3.7
WAVES,2017-10-19,3.7,3.7,3.7,3.7
WAVES,2017-10-20,3.7,3.7,3.53,3.53
WAVES,2017-10-21,3.53,3.7,3.5,3.7
WAVES,2017-10-22,3.7,3.7,3.5,3.58
WAVES,2017-10-23,3.58,3.58,3.43,3.56
WAVES,2017-10-24,3.56,3.75,3.56,3.7
WAVES,2017-10-25,3.7,3.7,3.47,3.67
WAVES,2017-10-26,3.67,3.74,3.33,3.59
WAVES,2017-10-27,3.6,3.6,3.5,3.57
WAVES,2017-10-28,3.57,3.57,3.33,3.44
WAVES,2017-10-29,3.44,3.54,3.28,3.28
WAVES,2017-10-30,3.28,3.54,3.18,3.5
WAVES,2017-10-31,3.5,3.51,3.01,3.15
WAVES,2017-11-01,3.15,3.32,2.7,2.93
WAVES,2017-11-02,2.93,3.78,2.57,2.86
WAVES,2017-11-03,2.86,3.85,2.86,3.58
WAVES,2017-11-04,3.58,3.79,3.32,3.6
WAVES,2017-11-05,3.6,3.6,3.33,3.5
WAVES,2017-11-06,3.5,3.7,3.39,3.65
WAVES,2017-11-07,3.65,3.7,3.45,3.68
WAVES,2017-11-08,3.68,4.5,3.55,4.41
WAVES,2017-11-09,4.41,5.24,4.38,4.83
WAVES,2017-11-10,4.83,4.98,4.0,4.28
WAVES,2017-11-11,4.28,4.48,3.92,4.12
WAVES,2017-11-12,4.12,4.33,3.51,3.85
WAVES,2017-11-13,3.83,4.62,3.75,4.46
WAVES,2017-11-14,4.46,5.28,4.3,5.14
WAVES,2017-11-15,5.14,5.35,4.72,5.1
