ticker,date,open,high,low,close
WAXP,2020-01-29,0.02639,0.02684,0.02609,0.02684
WAXP,2020-01-31,0.02746,0.02746,0.02494,0.02494
WAXP,2020-02-03,0.02492,0.02508,0.0248,0.02508
WAXP,2020-02-04,0.02508,0.0266,0.02476,0.02623
WAXP,2020-02-05,0.02623,0.02797,0.02623,0.02797
WAXP,2020-02-06,0.02797,0.02878,0.0279,0.02878
WAXP,2020-02-07,0.02878,0.03217,0.02878,0.03168
WAXP,2020-02-08,0.03168,0.03197,0.03108,0.03128
WAXP,2020-02-10,0.0321,0.0321,0.02997,0.03115
WAXP,2020-02-11,0.03115,0.03594,0.03115,0.03142
WAXP,2020-02-12,0.03142,0.03632,0.03142,0.03508
WAXP,2020-02-13,0.03044,0.03192,0.03044,0.03055
WAXP,2020-02-14,0.03055,0.06625,0.02994,0.06304
WAXP,2020-02-15,0.06304,0.09727,0.05859,0.06159
WAXP,2020-02-16,0.06159,0.06956,0.05212,0.06
WAXP,2020-02-17,0.06,0.06107,0.0588,0.0595
WAXP,2020-02-18,0.0595,0.0595,0.05109,0.05109
WAXP,2020-02-19,0.05093,0.05093,0.04657,0.04838
WAXP,2020-02-20,0.04988,0.04988,0.04411,0.04411
WAXP,2020-02-21,0.04536,0.05628,0.04536,0.05206
WAXP,2020-02-22,0.05206,0.05299,0.04617,0.04669
WAXP,2020-02-23,0.04669,0.0543,0.04669,0.05017
WAXP,2020-02-24,0.05017,0.05017,0.04571,0.0465
WAXP,2020-02-25,0.04656,0.04656,0.04009,0.04009
WAXP,2020-02-26,0.03949,0.04251,0.03289,0.03915
WAXP,2020-02-27,0.03525,0.04785,0.03525,0.04776
WAXP,2020-02-28,0.04776,0.05382,0.0408,0.04371
WAXP,2020-02-29,0.04528,0.04528,0.03962,0.04158
WAXP,2020-03-01,0.04158,0.04831,0.04014,0.0426
WAXP,2020-03-02,0.04275,0.04553,0.03887,0.04553
WAXP,2020-03-03,0.0427,0.04766,0.04117,0.04498
WAXP,2020-03-04,0.04498,0.0492,0.04424,0.04622
WAXP,2020-03-05,0.04622,0.0478,0.04508,0.04757
WAXP,2020-03-06,0.04757,0.05456,0.04757,0.04869
WAXP,2020-03-07,0.04869,0.04869,0.04518,0.04556
WAXP,2020-03-08,0.04556,0.04556,0.03714,0.03814
WAXP,2020-03-09,0.03814,0.04123,0.03737,0.03899
WAXP,2020-03-10,0.03899,0.04233,0.03832,0.04113
WAXP,2020-03-11,0.04113,0.04113,0.03741,0.03897
WAXP,2020-03-12,0.03897,0.03897,0.01805,0.01897
WAXP,2020-03-13,0.019,0.02762,0.015,0.02362
WAXP,2020-03-14,0.02362,0.03262,0.02362,0.02978
WAXP,2020-03-15,0.02978,0.03082,0.02703,0.02703
WAXP,2020-03-16,0.02703,0.034,0.02295,0.03376
WAXP,2020-03-17,0.03376,0.04135,0.03346,0.0399
WAXP,2020-03-18,0.0399,0.04241,0.03438,0.03438
WAXP,2020-03-19,0.03438,0.08787,0.03244,0.03912
WAXP,2020-03-20,0.03912,0.05003,0.03201,0.03862
WAXP,2020-03-21,0.03862,0.04357,0.032,0.03647
WAXP,2020-03-22,0.03647,0.0378,0.0301,0.032
WAXP,2020-03-23,0.032,0.0335,0.02183,0.03223
WAXP,2020-03-24,0.03223,0.0335,0.0243,0.03309
WAXP,2020-03-25,0.03309,0.03349,0.0281,0.03149
WAXP,2020-03-26,0.03149,0.0335,0.02802,0.03131
WAXP,2020-03-27,0.03131,0.0334,0.02802,0.03139
WAXP,2020-03-28,0.03139,0.03139,0.026,0.02947
WAXP,2020-03-29,0.02947,0.0314,0.02702,0.028
WAXP,2020-03-30,0.028,0.03275,0.02703,0.03099
WAXP,2020-03-31,0.03099,0.0324,0.02815,0.02996
WAXP,2020-04-01,0.02996,0.03086,0.0271,0.03086
WAXP,2020-04-02,0.03086,0.0311,0.0254,0.03034
WAXP,2020-04-03,0.03034,0.0311,0.02852,0.03028
WAXP,2020-04-04,0.03028,0.0305,0.02875,0.03
WAXP,2020-04-05,0.03,0.03027,0.02855,0.03015
WAXP,2020-04-06,0.03015,0.0318,0.02905,0.0318
WAXP,2020-04-07,0.0318,0.033,0.02983,0.03107
WAXP,2020-04-08,0.03107,0.03161,0.03,0.03115
WAXP,2020-04-09,0.03115,0.03133,0.02985,0.0311
WAXP,2020-04-10,0.0311,0.03262,0.02799,0.02871
WAXP,2020-04-11,0.02871,0.031,0.02799,0.02905
WAXP,2020-04-12,0.02905,0.03037,0.02812,0.02963
WAXP,2020-04-13,0.02963,0.02976,0.02763,0.02857
WAXP,2020-04-14,0.02857,0.02916,0.02799,0.02912
WAXP,2020-04-15,0.02912,0.0302,0.02772,0.02821
WAXP,2020-04-16,0.02821,0.02999,0.02638,0.02869
WAXP,2020-04-17,0.02869,0.02949,0.0274,0.0279
WAXP,2020-04-18,0.0279,0.0292,0.02745,0.02912
WAXP,2020-04-19,0.02912,0.0294,0.0276,0.02825
WAXP,2020-04-20,0.02825,0.0295,0.027,0.0276
WAXP,2020-04-21,0.0276,0.0288,0.02671,0.02739
WAXP,2020-04-22,0.02739,0.0283,0.02672,0.02801
WAXP,2020-04-23,0.02801,0.0294,0.02733,0.0288
WAXP,2020-04-24,0.0288,0.0335,0.02783,0.03016
WAXP,2020-04-25,0.03016,0.0312,0.02872,0.02938
WAXP,2020-04-26,0.02938,0.0308,0.0289,0.03069
WAXP,2020-04-27,0.03069,0.032,0.02951,0.03104
WAXP,2020-04-28,0.03104,0.03109,0.0297,0.03079
WAXP,2020-04-29,0.03079,0.0335,0.0299,0.03228
WAXP,2020-04-30,0.03228,0.03734,0.03021,0.03087
WAXP,2020-05-01,0.03087,0.03689,0.03046,0.0347
WAXP,2020-05-02,0.0347,0.03899,0.03374,0.03898
WAXP,2020-05-03,0.03898,0.03898,0.0334,0.035
WAXP,2020-05-04,0.035,0.0389,0.03168,0.03478
WAXP,2020-05-05,0.03478,0.03478,0.033,0.03389
WAXP,2020-05-06,0.03389,0.03419,0.0327,0.03415
WAXP,2020-05-07,0.03415,0.03419,0.03267,0.03395
WAXP,2020-05-08,0.03395,0.0343,0.0321,0.03423
WAXP,2020-05-09,0.03423,0.03688,0.03369,0.03637
WAXP,2020-05-10,0.03637,0.04035,0.03019,0.03249
WAXP,2020-05-11,0.03249,0.03249,0.02979,0.03105
WAXP,2020-05-12,0.03105,0.03372,0.03034,0.03319
WAXP,2020-05-13,0.03319,0.03328,0.0316,0.03255
WAXP,2020-05-14,0.03255,0.03255,0.03059,0.03227
WAXP,2020-05-15,0.03227,0.03273,0.02933,0.03029
WAXP,2020-05-16,0.03029,0.032,0.02957,0.0312
WAXP,2020-05-17,0.0312,0.03269,0.03065,0.0319
WAXP,2020-05-18,0.0319,0.0345,0.03124,0.03377
WAXP,2020-05-19,0.03377,0.03379,0.03162,0.0336
WAXP,2020-05-20,0.0336,0.043,0.03311,0.0409
WAXP,2020-05-21,0.0409,0.05334,0.03701,0.04638
WAXP,2020-05-22,0.04638,0.0474,0.04011,0.04615
WAXP,2020-05-23,0.04615,0.04699,0.0425,0.0445
WAXP,2020-05-24,0.0445,0.05513,0.04336,0.049
WAXP,2020-05-25,0.049,0.0534,0.0452,0.04891
WAXP,2020-05-26,0.04891,0.05276,0.04465,0.04815
WAXP,2020-05-27,0.04815,0.04815,0.04321,0.047
WAXP,2020-05-28,0.047,0.047,0.0438,0.04522
WAXP,2020-05-29,0.04522,0.04553,0.04337,0.04485
WAXP,2020-05-30,0.04485,0.05083,0.04485,0.04882
WAXP,2020-05-31,0.04882,0.05148,0.04609,0.0473
WAXP,2020-06-01,0.0473,0.04976,0.04602,0.04975
WAXP,2020-06-02,0.04975,0.04975,0.0435,0.04561
WAXP,2020-06-03,0.04561,0.04727,0.04423,0.04727
WAXP,2020-06-04,0.04727,0.0795,0.04601,0.075
WAXP,2020-06-05,0.075,0.0818,0.06572,0.08001
WAXP,2020-06-06,0.08001,0.08179,0.07046,0.07595
WAXP,2020-06-07,0.07595,0.086,0.06923,0.08308
WAXP,2020-06-08,0.08308,0.086,0.076,0.08334
WAXP,2020-06-09,0.08334,0.08334,0.07279,0.078
WAXP,2020-06-10,0.078,0.09,0.0581,0.06298
WAXP,2020-06-11,0.06298,0.06298,0.049,0.05069
WAXP,2020-06-12,0.05069,0.07751,0.04876,0.05638
WAXP,2020-06-13,0.05638,0.05963,0.05502,0.05651
WAXP,2020-06-14,0.05651,0.05799,0.054,0.0547
WAXP,2020-06-15,0.0547,0.05838,0.04844,0.05522
WAXP,2020-06-16,0.05522,0.05711,0.05307,0.05693
WAXP,2020-06-17,0.05693,0.05963,0.0537,0.05961
WAXP,2020-06-18,0.05961,0.05998,0.05481,0.05662
WAXP,2020-06-19,0.05662,0.05662,0.05247,0.0542
WAXP,2020-06-20,0.0542,0.05446,0.05261,0.05402
WAXP,2020-06-21,0.05402,0.05651,0.05335,0.05557
WAXP,2020-06-22,0.05557,0.06127,0.05473,0.05895
WAXP,2020-06-23,0.05895,0.05895,0.05614,0.05717
WAXP,2020-06-24,0.05717,0.05744,0.05248,0.05447
WAXP,2020-06-25,0.05447,0.057,0.05001,0.05493
WAXP,2020-06-26,0.05493,0.05549,0.0514,0.05221
WAXP,2020-06-27,0.05221,0.05347,0.04803,0.04911
WAXP,2020-06-28,0.04911,0.05233,0.045,0.04976
WAXP,2020-06-29,0.04976,0.05225,0.04728,0.05097
