ticker,date,open,high,low,close
XMR,2015-01-29,0.35,0.35,0.3107,0.3107
XMR,2015-01-30,0.3107,0.35,0.3027,0.3027
XMR,2015-01-31,0.3027,0.3027,0.2896,0.2896
XMR,2015-02-01,0.2896,0.2896,0.2896,0.2896
XMR,2015-02-02,0.2896,0.3035,0.2867,0.3029
XMR,2015-02-03,0.3029,0.36,0.3021,0.3311
XMR,2015-02-04,0.3311,0.3311,0.2755,0.2922
XMR,2015-02-05,0.2922,0.368,0.2727,0.2755
XMR,2015-02-06,0.2755,0.2767,0.2737,0.2747
XMR,2015-02-07,0.2747,0.2747,0.2747,0.2747
XMR,2015-02-08,0.2747,0.2747,0.2747,0.2747
XMR,2015-02-09,0.2747,0.2747,0.2747,0.2747
XMR,2015-02-10,0.2747,0.2747,0.2747,0.2747
XMR,2015-02-11,0.2747,0.2747,0.2747,0.2747
XMR,2015-02-12,0.2747,0.2747,0.2747,0.2747
XMR,2015-02-13,0.2747,0.2747,0.2747,0.2747
XMR,2015-02-14,0.2747,0.2747,0.2747,0.2747
XMR,2015-02-15,0.2747,0.2747,0.2747,0.2747
XMR,2015-02-16,0.2747,0.2747,0.2747,0.2747
XMR,2015-02-17,0.2747,0.2747,0.099,0.099
XMR,2015-02-18,0.099,0.099,0.099,0.099
XMR,2015-02-19,0.099,0.35,0.0886,0.26
XMR,2015-02-20,0.26,0.26,0.25,0.25
XMR,2015-02-21,0.25,0.25,0.25,0.25
XMR,2015-02-22,0.25,0.32,0.25,0.295
XMR,2015-02-23,0.295,0.35,0.295,0.35
XMR,2015-02-24,0.35,0.38,0.25,0.25
XMR,2015-02-25,0.25,0.25,0.25,0.25
XMR,2015-02-26,0.25,0.38,0.25,0.25
XMR,2015-02-27,0.25,0.25,0.25,0.25
XMR,2015-02-28,0.25,0.5499,0.25,0.35
XMR,2015-03-01,0.35,0.35,0.35,0.35
XMR,2015-03-02,0.35,0.5399,0.35,0.5399
XMR,2015-03-03,0.5399,0.5399,0.35,0.497
XMR,2015-03-04,0.497,0.497,0.497,0.497
XMR,2015-03-05,0.497,0.497,0.26,0.26
XMR,2015-03-06,0.26,0.497,0.26,0.497
XMR,2015-03-07,0.497,0.497,0.497,0.497
XMR,2015-03-08,0.497,0.497,0.26,0.497
XMR,2015-03-09,0.497,0.5399,0.25,0.25
XMR,2015-03-10,0.25,0.5399,0.25,0.5399
XMR,2015-03-11,0.5399,0.5399,0.261,0.2611
XMR,2015-03-12,0.2611,0.2611,0.2611,0.2611
XMR,2015-03-13,0.2611,0.81,0.2611,0.8
XMR,2015-03-14,0.8,0.8,0.6,0.7998
XMR,2015-03-15,0.7998,0.7998,0.6,0.7998
XMR,2015-03-16,0.7998,0.7998,0.4,0.4
XMR,2015-03-17,0.4,0.4,0.4,0.4
XMR,2015-03-18,0.4,0.4,0.4,0.4
XMR,2015-03-19,0.4,0.4,0.4,0.4
XMR,2015-03-20,0.4,0.4,0.4,0.4
XMR,2015-03-21,0.4,1.0,0.4,1.0
XMR,2015-03-22,1.0,1.0,0.2611,0.2611
XMR,2015-03-23,0.2611,0.2611,0.2611,0.2611
XMR,2015-03-24,0.2611,0.278,0.2611,0.278
