ticker,date,open,high,low,close
XTZ,2018-07-05,2.1,2.1,1.89,2.0
XTZ,2018-07-06,2.0,2.13,1.4,1.92
XTZ,2018-07-07,1.92,2.05,1.84,1.84
XTZ,2018-07-08,1.84,2.88,1.84,2.67
XTZ,2018-07-09,2.67,2.67,2.1,2.35
XTZ,2018-07-10,2.35,2.69,2.26,2.62
XTZ,2018-07-11,2.62,2.7,2.18,2.22
XTZ,2018-07-12,2.22,2.27,1.83,1.88
XTZ,2018-07-13,1.88,2.2,1.81,2.02
XTZ,2018-07-14,2.02,2.12,1.93,1.97
XTZ,2018-07-15,1.97,2.33,1.93,2.26
XTZ,2018-07-16,2.26,2.49,2.2,2.35
XTZ,2018-07-17,2.35,2.55,2.28,2.36
XTZ,2018-07-18,2.36,2.57,2.31,2.35
XTZ,2018-07-19,2.35,2.42,2.25,2.27
XTZ,2018-07-20,2.27,2.33,2.07,2.09
XTZ,2018-07-21,2.09,2.21,2.0,2.19
XTZ,2018-07-22,2.19,2.3,2.13,2.16
XTZ,2018-07-23,2.17,2.3,2.15,2.2
XTZ,2018-07-24,2.2,2.3,2.1,2.14
XTZ,2018-07-25,2.14,2.2,2.02,2.18
XTZ,2018-07-26,2.18,2.22,2.03,2.1
XTZ,2018-07-27,2.1,2.17,2.03,2.13
XTZ,2018-07-28,2.13,2.21,2.04,2.07
XTZ,2018-07-29,2.07,2.16,2.04,2.11
XTZ,2018-07-30,2.11,2.16,1.98,2.1
XTZ,2018-07-31,2.1,2.23,1.84,1.87
XTZ,2018-08-01,1.87,2.04,1.74,1.86
XTZ,2018-08-02,1.86,2.0,1.67,1.7
XTZ,2018-08-03,1.7,1.96,1.57,1.87
XTZ,2018-08-04,1.87,1.98,1.75,1.88
XTZ,2018-08-05,1.88,1.96,1.82,1.88
XTZ,2018-08-06,1.88,1.98,1.8,1.82
XTZ,2018-08-07,1.82,1.99,1.74,1.76
XTZ,2018-08-08,1.76,1.84,1.53,1.68
XTZ,2018-08-09,1.68,1.73,1.54,1.67
XTZ,2018-08-10,1.67,1.72,1.48,1.5
XTZ,2018-08-11,1.5,1.58,1.4,1.52
XTZ,2018-08-12,1.52,1.63,1.48,1.5
XTZ,2018-08-13,1.5,1.59,1.22,1.29
XTZ,2018-08-14,1.29,1.44,1.17,1.24
XTZ,2018-08-15,1.24,1.49,1.22,1.35
XTZ,2018-08-16,1.35,1.57,1.25,1.28
XTZ,2018-08-17,1.28,1.55,1.26,1.37
XTZ,2018-08-18,1.37,1.59,1.31,1.36
XTZ,2018-08-19,1.36,1.52,1.35,1.4
XTZ,2018-08-20,1.4,1.68,1.37,1.57
XTZ,2018-08-21,1.57,1.58,1.27,1.36
XTZ,2018-08-22,1.36,1.51,1.28,1.3
XTZ,2018-08-23,1.3,1.39,1.25,1.31
XTZ,2018-08-24,1.31,1.39,1.3,1.36
XTZ,2018-08-25,1.36,1.46,1.3,1.33
XTZ,2018-08-26,1.33,1.42,1.29,1.38
XTZ,2018-08-27,1.38,1.46,1.31,1.36
XTZ,2018-08-28,1.36,1.44,1.3,1.41
XTZ,2018-08-29,1.41,1.46,1.34,1.38
XTZ,2018-08-30,1.38,1.4,1.28,1.35
XTZ,2018-08-31,1.35,1.43,1.3,1.36
XTZ,2018-09-01,1.36,1.49,1.34,1.46
XTZ,2018-09-02,1.46,1.47,1.33,1.4
XTZ,2018-09-03,1.4,1.46,1.38,1.42
XTZ,2018-09-04,1.42,1.45,1.4,1.43
XTZ,2018-09-05,1.43,1.46,1.32,1.33
XTZ,2018-09-06,1.33,1.33,1.2,1.22
XTZ,2018-09-07,1.23,1.26,1.21,1.22
XTZ,2018-09-08,1.22,1.25,1.14,1.14
XTZ,2018-09-09,1.14,1.24,1.11,1.22
XTZ,2018-09-10,1.22,1.48,1.17,1.37
XTZ,2018-09-11,1.37,1.52,1.25,1.33
XTZ,2018-09-12,1.33,1.33,1.15,1.23
XTZ,2018-09-13,1.23,1.33,1.23,1.32
XTZ,2018-09-14,1.32,1.68,1.28,1.57
XTZ,2018-09-15,1.57,1.77,1.52,1.66
XTZ,2018-09-16,1.66,1.7,1.54,1.63
XTZ,2018-09-17,1.63,1.71,1.43,1.52
XTZ,2018-09-18,1.52,1.58,1.41,1.54
XTZ,2018-09-19,1.58,1.59,1.47,1.54
XTZ,2018-09-20,1.54,1.69,1.49,1.69
XTZ,2018-09-21,1.69,1.8,1.64,1.69
XTZ,2018-09-22,1.69,1.74,1.6,1.65
XTZ,2018-09-23,1.65,1.79,1.64,1.68
XTZ,2018-09-24,1.68,1.78,1.52,1.65
XTZ,2018-09-25,1.65,1.67,1.45,1.46
XTZ,2018-09-26,1.46,1.6,1.45,1.46
XTZ,2018-09-27,1.46,1.62,1.38,1.47
XTZ,2018-09-28,1.47,1.65,1.4,1.45
XTZ,2018-09-29,1.45,1.6,1.39,1.46
XTZ,2018-09-30,1.46,1.58,1.42,1.43
XTZ,2018-10-01,1.43,1.56,1.33,1.36
XTZ,2018-10-02,1.36,1.52,1.3,1.34
XTZ,2018-10-03,1.34,1.45,1.3,1.32
XTZ,2018-10-04,1.32,1.47,1.28,1.31
XTZ,2018-10-05,1.31,1.46,1.29,1.34
XTZ,2018-10-06,1.46,1.47,1.31,1.37
XTZ,2018-10-07,1.37,1.43,1.3,1.34
XTZ,2018-10-08,1.34,1.43,1.3,1.38
XTZ,2018-10-09,1.38,1.59,1.35,1.48
XTZ,2018-10-10,1.48,1.59,1.33,1.41
XTZ,2018-10-11,1.41,1.5,1.24,1.28
