ticker,date,open,high,low,close
ZEC,2016-10-28,2100.0,5000.0,2100.0,5000.0
ZEC,2016-10-29,12001.0,30000.0,4000.0,4000.0
ZEC,2016-10-30,4000.0,4000.0,475.0,650.0
ZEC,2016-10-31,650.0,3000.0,475.0,1600.0
ZEC,2016-11-01,1600.0,2175.0,1200.0,1550.0
ZEC,2016-11-02,1550.0,1550.0,840.0,907.27
ZEC,2016-11-03,907.27,1099.99,835.0,835.01
ZEC,2016-11-04,835.01,900.0,547.5,600.0
ZEC,2016-11-05,600.0,624.34,501.01,507.0
ZEC,2016-11-06,507.0,515.99,275.0,309.11
ZEC,2016-11-07,309.11,334.82,229.03,240.0
ZEC,2016-11-08,240.0,275.0,166.79,275.0
ZEC,2016-11-09,275.0,400.0,210.05,267.0
ZEC,2016-11-10,267.0,278.88,210.05,212.09
ZEC,2016-11-11,212.09,229.93,179.01,181.23
ZEC,2016-11-12,181.23,198.98,139.0,140.95
ZEC,2016-11-13,140.95,162.52,110.0,120.0
ZEC,2016-11-14,120.0,120.0,89.24,105.1
ZEC,2016-11-15,105.1,134.98,90.06,113.9
ZEC,2016-11-16,113.9,118.0,93.5,93.56
ZEC,2016-11-17,93.56,98.98,84.47,84.47
ZEC,2016-11-18,84.47,86.2,68.07,68.07
ZEC,2016-11-19,68.07,70.92,62.86,62.92
ZEC,2016-11-20,62.92,74.75,60.66,60.66
ZEC,2016-11-21,60.66,60.66,55.0,55.01
ZEC,2016-11-22,55.01,73.42,55.0,59.59
ZEC,2016-11-23,59.59,99.72,56.19,81.19
ZEC,2016-11-24,81.19,105.46,69.85,100.0
ZEC,2016-11-25,100.0,123.0,83.79,90.54
ZEC,2016-11-26,90.54,94.0,75.0,75.0
ZEC,2016-11-27,75.0,77.95,66.1,73.65
ZEC,2016-11-28,73.65,74.11,65.05,74.11
ZEC,2016-11-29,74.11,77.37,65.0,68.0
ZEC,2016-11-30,68.0,73.3,65.0,67.21
ZEC,2016-12-01,67.21,68.59,62.16,63.0
ZEC,2016-12-02,63.0,65.14,60.0,60.0
ZEC,2016-12-03,60.0,67.2,57.41,58.0
ZEC,2016-12-04,58.0,62.31,57.38,57.85
ZEC,2016-12-05,57.85,57.85,50.0,50.0
ZEC,2016-12-06,50.0,52.0,46.74,49.25
ZEC,2016-12-07,49.25,62.36,46.08,55.9
ZEC,2016-12-08,55.9,56.93,52.21,53.99
ZEC,2016-12-09,53.99,53.99,49.48,49.48
ZEC,2016-12-10,49.48,52.53,47.44,47.86
ZEC,2016-12-11,47.86,50.65,47.14,48.95
ZEC,2016-12-12,48.95,50.49,47.79,48.39
ZEC,2016-12-13,48.39,49.7,46.69,46.69
ZEC,2016-12-14,46.69,46.69,42.55,44.0
ZEC,2016-12-15,44.0,44.0,39.44,39.45
ZEC,2016-12-16,39.45,42.18,39.45,39.65
ZEC,2016-12-17,39.65,40.47,35.68,35.9
ZEC,2016-12-18,35.9,41.35,35.0,36.06
ZEC,2016-12-19,36.06,36.89,33.44,34.18
ZEC,2016-12-20,34.18,39.99,33.89,36.83
ZEC,2016-12-21,36.83,38.94,35.2,35.44
ZEC,2016-12-22,35.44,48.99,35.44,48.99
ZEC,2016-12-23,48.99,62.82,45.25,53.55
ZEC,2016-12-24,53.55,54.41,46.77,46.77
ZEC,2016-12-25,46.77,48.78,42.72,45.56
ZEC,2016-12-26,45.56,45.56,41.99,43.01
ZEC,2016-12-27,43.01,47.33,35.0,44.01
ZEC,2016-12-28,44.01,54.22,43.02,48.87
ZEC,2016-12-29,48.87,54.99,47.98,50.2
ZEC,2016-12-30,50.2,52.77,49.55,52.0
ZEC,2016-12-31,52.0,52.0,48.0,48.0
ZEC,2017-01-01,48.0,49.01,47.38,49.0
ZEC,2017-01-02,49.0,53.01,47.41,50.08
ZEC,2017-01-03,50.08,55.3,47.5,50.0
ZEC,2017-01-04,50.0,54.7,49.11,53.14
ZEC,2017-01-05,53.14,58.01,44.01,49.99
ZEC,2017-01-06,49.99,51.01,45.65,46.29
ZEC,2017-01-07,46.29,48.0,44.45,46.75
ZEC,2017-01-08,46.75,47.88,45.15,45.15
ZEC,2017-01-09,45.15,47.5,45.15,45.49
ZEC,2017-01-10,45.49,47.01,45.3,45.3
ZEC,2017-01-11,45.3,45.6,38.85,40.04
ZEC,2017-01-12,40.04,47.88,39.84,43.0
ZEC,2017-01-13,43.0,45.01,42.21,43.04
ZEC,2017-01-14,43.04,50.0,43.04,44.98
ZEC,2017-01-15,44.98,45.01,43.4,44.21
ZEC,2017-01-16,44.21,50.0,43.4,43.42
ZEC,2017-01-17,43.42,45.87,43.41,45.01
ZEC,2017-01-18,45.01,45.01,42.5,43.24
ZEC,2017-01-19,43.24,44.39,43.06,43.99
ZEC,2017-01-20,43.99,44.5,43.01,43.28
ZEC,2017-01-21,43.28,45.0,43.07,43.26
ZEC,2017-01-22,43.26,44.59,42.9,42.9
ZEC,2017-01-23,42.9,43.98,42.56,42.56
ZEC,2017-01-24,42.56,43.9,41.04,41.05
ZEC,2017-01-25,41.05,41.11,39.02,39.11
ZEC,2017-01-26,39.11,41.97,37.11,37.11
ZEC,2017-01-27,37.11,40.35,37.11,38.81
ZEC,2017-01-28,38.81,38.81,37.86,38.0
ZEC,2017-01-29,38.0,40.9,37.97,38.72
ZEC,2017-01-30,38.72,40.4,38.16,40.3
ZEC,2017-01-31,40.3,40.4,38.0,39.72
ZEC,2017-02-01,39.72,40.13,38.93,39.3
ZEC,2017-02-02,39.3,40.39,38.75,39.78
ZEC,2017-02-03,39.78,39.78,37.25,38.5
ZEC,2017-02-04,38.5,39.41,37.86,39.0
ZEC,2017-02-05,39.0,39.13,37.52,37.52
ZEC,2017-02-06,37.52,38.0,37.0,37.1
ZEC,2017-02-07,37.1,37.1,34.89,36.29
ZEC,2017-02-08,36.29,36.56,34.33,34.56
ZEC,2017-02-09,34.56,35.52,32.0,32.57
ZEC,2017-02-10,32.57,33.24,32.1,32.51
ZEC,2017-02-11,32.51,33.95,32.38,32.58
ZEC,2017-02-12,32.58,32.9,31.04,31.04
ZEC,2017-02-13,31.04,31.68,30.03,30.71
ZEC,2017-02-14,30.71,33.15,30.24,33.15
ZEC,2017-02-15,33.15,34.08,31.22,33.67
ZEC,2017-02-16,33.67,34.35,32.65,33.0
ZEC,2017-02-17,33.0,33.44,31.63,32.0
ZEC,2017-02-18,32.0,32.0,30.62,30.62
ZEC,2017-02-19,30.62,30.84,30.18,30.28
ZEC,2017-02-20,30.28,31.53,30.28,31.13
ZEC,2017-02-21,31.13,31.13,22.0,30.21
ZEC,2017-02-22,30.21,30.21,27.0,27.0
ZEC,2017-02-23,27.0,33.01,26.43,30.01
ZEC,2017-02-24,30.01,32.01,28.01,30.35
ZEC,2017-02-25,30.35,30.72,28.58,29.02
ZEC,2017-02-26,29.02,30.01,28.01,29.24
ZEC,2017-02-27,29.24,38.94,29.24,36.16
ZEC,2017-02-28,36.16,38.52,34.7,36.87
ZEC,2017-03-01,36.87,42.01,36.87,41.65
ZEC,2017-03-02,41.65,42.9,35.0,39.7
ZEC,2017-03-03,39.7,42.2,37.71,41.38
ZEC,2017-03-04,41.38,43.01,35.0,41.5
ZEC,2017-03-05,41.5,41.5,38.83,39.4
ZEC,2017-03-06,39.4,40.03,37.67,39.49
ZEC,2017-03-07,39.49,40.63,37.4,37.83
ZEC,2017-03-08,37.83,37.83,34.88,36.0
ZEC,2017-03-09,36.0,37.49,34.15,36.55
ZEC,2017-03-10,36.55,39.01,32.01,34.4
ZEC,2017-03-11,34.4,39.44,34.4,38.91
ZEC,2017-03-12,38.91,44.0,37.27,39.14
ZEC,2017-03-13,39.14,48.99,39.14,48.0
ZEC,2017-03-14,48.0,49.0,42.89,44.03
ZEC,2017-03-15,44.03,50.0,43.02,46.3
ZEC,2017-03-16,46.3,53.0,45.01,47.85
ZEC,2017-03-17,47.85,53.01,40.1,45.02
ZEC,2017-03-18,45.02,80.41,45.0,64.0
ZEC,2017-03-19,64.0,78.74,50.0,65.01
ZEC,2017-03-20,65.01,78.0,65.01,71.68
ZEC,2017-03-21,71.68,75.0,63.0,65.04
ZEC,2017-03-22,65.04,70.27,63.51,66.42
ZEC,2017-03-23,66.42,68.14,64.68,65.49
ZEC,2017-03-24,65.49,80.0,60.4,62.89
ZEC,2017-03-25,62.89,66.32,61.78,61.94
ZEC,2017-03-26,61.94,63.79,58.0,58.26
ZEC,2017-03-27,58.26,61.2,53.0,56.42
ZEC,2017-03-28,56.42,74.77,52.79,63.11
ZEC,2017-03-29,63.11,67.68,61.0,62.54
ZEC,2017-03-30,62.54,64.1,60.56,60.56
ZEC,2017-03-31,60.56,64.91,60.12,62.22
ZEC,2017-04-01,62.22,64.33,61.38,61.57
ZEC,2017-04-02,61.57,62.4,59.15,59.25
ZEC,2017-04-03,59.25,63.81,59.25,59.26
ZEC,2017-04-04,59.26,60.45,57.52,59.55
ZEC,2017-04-05,59.55,61.5,57.79,59.99
ZEC,2017-04-06,59.99,64.0,54.01,59.31
ZEC,2017-04-07,59.31,62.84,55.54,60.56
ZEC,2017-04-08,60.56,66.44,58.13,63.41
ZEC,2017-04-09,63.41,78.95,62.82,63.48
ZEC,2017-04-10,63.48,70.24,62.53,64.86
ZEC,2017-04-11,64.86,66.64,60.03,61.78
ZEC,2017-04-12,61.78,64.86,60.93,62.32
ZEC,2017-04-13,62.32,65.01,59.28,64.13
ZEC,2017-04-14,64.13,73.51,63.28,72.09
ZEC,2017-04-15,72.09,77.5,62.0,75.24
ZEC,2017-04-16,75.24,75.24,70.0,71.0
ZEC,2017-04-17,71.0,72.35,69.0,69.66
ZEC,2017-04-18,69.66,72.5,69.29,69.71
ZEC,2017-04-19,69.71,72.04,69.4,70.0
ZEC,2017-04-20,70.0,70.5,65.63,65.96
ZEC,2017-04-21,65.96,70.17,65.96,68.83
ZEC,2017-04-22,68.83,69.67,67.21,68.0
ZEC,2017-04-23,68.0,69.15,66.89,68.53
ZEC,2017-04-24,68.53,69.64,66.88,67.58
ZEC,2017-04-25,67.58,70.0,67.58,69.9
ZEC,2017-04-26,69.9,75.89,69.08,72.5
ZEC,2017-04-27,72.5,81.0,71.67,78.4
ZEC,2017-04-28,78.4,88.66,77.05,85.0
ZEC,2017-04-29,85.0,98.6,83.21,96.0
ZEC,2017-04-30,96.0,100.72,86.66,92.72
ZEC,2017-05-01,92.72,108.0,76.0,87.06
ZEC,2017-05-02,87.06,95.9,86.31,93.5
ZEC,2017-05-03,93.5,95.0,86.0,92.93
ZEC,2017-05-04,92.93,103.68,90.01,98.75
ZEC,2017-05-05,98.75,113.5,97.05,100.25
ZEC,2017-05-06,100.25,109.0,100.25,105.32
ZEC,2017-05-07,105.32,107.09,90.0,95.0
ZEC,2017-05-08,95.0,108.5,95.0,103.25
ZEC,2017-05-09,103.25,103.97,85.01,94.39
ZEC,2017-05-10,94.39,102.0,92.0,96.89
ZEC,2017-05-11,96.89,99.71,92.0,93.52
ZEC,2017-05-12,93.52,101.8,93.49,96.52
ZEC,2017-05-13,96.52,99.0,93.0,95.75
ZEC,2017-05-14,95.75,98.0,93.0,95.95
ZEC,2017-05-15,95.95,97.96,92.66,94.0
ZEC,2017-05-16,94.0,95.2,90.0,91.32
