ticker,date,open,high,low,close
ZEN,2017-06-06,18.37,19.52,15.79,16.81
ZEN,2017-06-07,16.81,16.81,12.71,13.0
ZEN,2017-06-08,13.0,15.53,5.399,8.307
ZEN,2017-06-09,8.307,11.39,8.153,8.997
ZEN,2017-06-10,8.997,10.15,7.976,8.176
ZEN,2017-06-11,8.176,10.93,7.481,10.41
ZEN,2017-06-12,10.41,10.91,7.97,9.511
ZEN,2017-06-13,9.511,10.85,8.893,10.23
ZEN,2017-06-14,10.23,10.56,8.142,8.823
ZEN,2017-06-15,8.823,9.489,8.06,8.622
ZEN,2017-06-16,8.622,9.131,8.278,8.421
ZEN,2017-06-17,8.421,9.42,8.236,8.337
ZEN,2017-06-18,8.337,8.604,6.39,6.857
ZEN,2017-06-19,6.857,7.654,6.568,6.861
ZEN,2017-06-20,6.861,7.988,6.861,7.101
ZEN,2017-06-21,7.101,8.25,6.857,6.964
ZEN,2017-06-22,6.964,7.872,6.964,7.477
ZEN,2017-06-23,7.477,9.988,7.443,9.242
ZEN,2017-06-24,9.242,9.242,8.081,8.159
ZEN,2017-06-25,8.159,8.248,6.862,7.119
ZEN,2017-06-26,7.119,7.226,6.115,6.702
ZEN,2017-06-27,6.702,7.079,6.201,6.573
ZEN,2017-06-28,6.573,6.625,5.155,6.269
ZEN,2017-06-29,6.269,7.036,5.628,5.692
ZEN,2017-06-30,5.692,6.003,5.209,5.234
ZEN,2017-07-01,5.234,5.577,4.486,4.767
ZEN,2017-07-02,4.767,5.707,4.54,5.048
ZEN,2017-07-03,5.048,5.454,4.605,4.89
ZEN,2017-07-04,4.89,6.282,4.89,5.632
ZEN,2017-07-05,5.632,6.149,5.563,5.563
ZEN,2017-07-06,5.563,5.563,4.993,5.15
ZEN,2017-07-07,5.15,5.953,4.877,5.028
ZEN,2017-07-08,5.028,5.363,4.619,4.627
ZEN,2017-07-09,4.627,5.191,4.523,4.531
ZEN,2017-07-10,4.531,4.845,3.793,4.297
